route_variant,seq,from_station,to_station,distance_miles,run_min,wait_min
WOKING - ALTON,1,BROOKWOOD,ASH VALE,4.3,5,1
WOKING - ALTON,2,ASH VALE,ALDERSHOT,2,4,1
WOKING - ALTON,3,ALDERSHOT,FARNHAM,3,5,1
FARNHAM - WOKING,1,FARNHAM,ALDERSHOT,3,6,0
FARNHAM - WOKING,2,ALDERSHOT,ASH VALE,2,4,0
FARNHAM - WOKING,3,ASH VALE,BROOKWOOD,4.3,5,1
ALTON - WOKING,1,FARNHAM,ALDERSHOT,3,6,3
ALTON - WOKING,2,ALDERSHOT,ASH VALE,2,4,0
ALTON - WOKING,3,ASH VALE,BROOKWOOD,4.3,5,1
ALTON - SURBITON,1,FARNHAM,ALDERSHOT,3,6,5
ALTON - SURBITON,2,ALDERSHOT,ASH VALE,2,4,0
ALTON - SURBITON,3,ASH VALE,BROOKWOOD,4.3,5,1
GUILDFORD - ASCOT,1,WANBOROUGH,ASH,2.3,4,0
GUILDFORD - ASCOT,2,ASH,ALDERSHOT,3,7,0
GUILDFORD - ASCOT,3,ALDERSHOT,ASH VALE,2,4,6
GUILDFORD - ASCOT,4,ASH VALE,FRIMLEY,1.55,4,1
ASCOT - FARNHAM,1,FRIMLEY,ASH VALE,1.55,4,0
ASCOT - FARNHAM,2,ASH VALE,ALDERSHOT,2,5,0
ASCOT - FARNHAM,3,ALDERSHOT,FARNHAM,3,5,1
EARLSFIELD - FARNHAM,1,BROOKWOOD,ASH VALE,4.3,5,0
EARLSFIELD - FARNHAM,2,ASH VALE,ALDERSHOT,2,4,1
EARLSFIELD - FARNHAM,3,ALDERSHOT,FARNHAM,3,5,1
ALDERSHOT - GUILDFORD,1,ALDERSHOT,ASH,3,7,0
ALDERSHOT - GUILDFORD,2,ASH,WANBOROUGH,2.3,4,0
ASCOT - GUILDFORD,1,FRIMLEY,ASH VALE,1.55,4,0
ASCOT - GUILDFORD,2,ASH VALE,ALDERSHOT,2,5,0
ASCOT - GUILDFORD,3,ALDERSHOT,ASH,3,7,7
ASCOT - GUILDFORD,4,ASH,WANBOROUGH,2.3,4,0
SURBITON - ALTON,1,BROOKWOOD,ASH VALE,4.3,5,0
SURBITON - ALTON,2,ASH VALE,ALDERSHOT,2,5,0
SURBITON - ALTON,3,ALDERSHOT,FARNHAM,3,5,1
SURBITON - ALTON,4,FARNHAM,BENTLEY,1.24,2,1
WEST BYFLEET - ALTON,1,BROOKWOOD,ASH VALE,4.3,5,0
WEST BYFLEET - ALTON,2,ASH VALE,ALDERSHOT,2,5,0
WEST BYFLEET - ALTON,3,ALDERSHOT,FARNHAM,3,5,1
WEST BYFLEET - ALTON,4,FARNHAM,BENTLEY,1.24,2,1
FARNHAM - RICHMOND,1,FARNHAM,ALDERSHOT,3,6,0
FARNHAM - RICHMOND,2,ALDERSHOT,ASH VALE,2,4,1
FARNHAM - RICHMOND,3,ASH VALE,FRIMLEY,1.55,5,0
GUILDFORD - FARNHAM,1,WANBOROUGH,ASH,2.3,4,0
GUILDFORD - FARNHAM,2,ASH,ALDERSHOT,3,7,0
GUILDFORD - FARNHAM,3,ALDERSHOT,FARNHAM,3,5,1
ALDERSHOT - ASCOT,1,ALDERSHOT,ASH VALE,2,4,0
ALDERSHOT - ASCOT,2,ASH VALE,FRIMLEY,1.55,4,1
ALTON - WALTON-ON-THAMES,1,BENTLEY,FARNHAM,1.24,2,1
ALTON - WALTON-ON-THAMES,2,FARNHAM,ALDERSHOT,3,6,1
ALTON - WALTON-ON-THAMES,3,ALDERSHOT,ASH VALE,2,4,0
ALTON - WALTON-ON-THAMES,4,ASH VALE,BROOKWOOD,4.3,5,1
FARNHAM - GUILDFORD,1,FARNHAM,ALDERSHOT,3,6,0
FARNHAM - GUILDFORD,2,ALDERSHOT,ASH,3,7,0
FARNHAM - GUILDFORD,3,ASH,WANBOROUGH,2.3,4,0
GUILDFORD - ALTON,1,WANBOROUGH,ASH,2.3,4,0
GUILDFORD - ALTON,2,ASH,ALDERSHOT,3,6,1
GUILDFORD - ALTON,3,ALDERSHOT,FARNHAM,3,5,1
GUILDFORD - ALTON,4,FARNHAM,BENTLEY,1.24,6,1
ALTON - GUILDFORD,1,BENTLEY,FARNHAM,1.24,4,1
ALTON - GUILDFORD,2,FARNHAM,ALDERSHOT,3,6,2
ALTON - GUILDFORD,3,ALDERSHOT,ASH,3,7,2
ALTON - GUILDFORD,4,ASH,WANBOROUGH,2.3,4,0
ALDERSHOT - WEYBRIDGE,1,ALDERSHOT,ASH VALE,2,4,0
ALDERSHOT - WEYBRIDGE,2,ASH VALE,BROOKWOOD,4.3,5,0
