route_variant,date,departure_time,train_class,number_of_coaches
ALDERSHOT - ASCOT,2026-03-09,05:58:00,450,4
ALDERSHOT - ASCOT,2026-03-09,06:46:00,450,4
ALDERSHOT - ASCOT,2026-03-09,07:11:00,450,4
ALDERSHOT - ASCOT,2026-03-09,07:30:00,450,4
ALDERSHOT - ASCOT,2026-03-09,08:00:00,450,4
ALDERSHOT - ASCOT,2026-03-09,08:30:00,450,4
ALDERSHOT - ASCOT,2026-03-09,09:00:00,450,4
ALDERSHOT - ASCOT,2026-03-09,09:30:00,450,4
ALDERSHOT - ASCOT,2026-03-09,10:00:00,450,4
ALDERSHOT - ASCOT,2026-03-09,10:30:00,450,4
ALDERSHOT - ASCOT,2026-03-09,11:00:00,450,4
ALDERSHOT - ASCOT,2026-03-09,11:30:00,450,4
ALDERSHOT - ASCOT,2026-03-09,12:00:00,450,4
ALDERSHOT - ASCOT,2026-03-09,12:30:00,450,4
ALDERSHOT - ASCOT,2026-03-09,13:00:00,450,4
ALDERSHOT - ASCOT,2026-03-09,13:30:00,450,4
ALDERSHOT - ASCOT,2026-03-09,14:00:00,450,4
ALDERSHOT - ASCOT,2026-03-09,14:30:00,450,4
ALDERSHOT - ASCOT,2026-03-09,15:00:00,450,4
ALDERSHOT - ASCOT,2026-03-09,15:30:00,450,4
ALDERSHOT - ASCOT,2026-03-09,16:00:00,450,4
ALDERSHOT - ASCOT,2026-03-09,16:30:00,450,4
ALDERSHOT - ASCOT,2026-03-09,17:00:00,450,4
ALDERSHOT - ASCOT,2026-03-09,17:30:00,450,4
ALDERSHOT - ASCOT,2026-03-09,18:09:00,450,4
ALDERSHOT - ASCOT,2026-03-09,18:39:00,450,4
ALDERSHOT - ASCOT,2026-03-09,19:09:00,450,4
ALDERSHOT - ASCOT,2026-03-09,19:39:00,450,4
ALDERSHOT - ASCOT,2026-03-09,20:00:00,450,4
ALDERSHOT - ASCOT,2026-03-09,20:30:00,450,4
ALDERSHOT - ASCOT,2026-03-09,21:00:00,450,4
ALDERSHOT - ASCOT,2026-03-09,21:30:00,450,4
ALDERSHOT - ASCOT,2026-03-09,22:00:00,450,4
ALDERSHOT - ASCOT,2026-03-09,22:30:00,450,4
ALDERSHOT - ASCOT,2026-03-09,23:00:00,450,4
ALDERSHOT - ASCOT,2026-03-10,05:58:00,450,4
ALDERSHOT - ASCOT,2026-03-10,06:46:00,450,4
ALDERSHOT - ASCOT,2026-03-10,07:11:00,450,4
ALDERSHOT - ASCOT,2026-03-10,07:30:00,450,4
ALDERSHOT - ASCOT,2026-03-10,08:00:00,450,4
ALDERSHOT - ASCOT,2026-03-10,08:30:00,450,4
ALDERSHOT - ASCOT,2026-03-10,09:00:00,450,4
ALDERSHOT - ASCOT,2026-03-10,09:30:00,450,4
ALDERSHOT - ASCOT,2026-03-10,10:00:00,450,4
ALDERSHOT - ASCOT,2026-03-10,10:30:00,450,4
ALDERSHOT - ASCOT,2026-03-10,11:00:00,450,4
ALDERSHOT - ASCOT,2026-03-10,11:30:00,450,4
ALDERSHOT - ASCOT,2026-03-10,12:00:00,450,4
ALDERSHOT - ASCOT,2026-03-10,12:30:00,450,4
ALDERSHOT - ASCOT,2026-03-10,13:00:00,450,4
ALDERSHOT - ASCOT,2026-03-10,13:30:00,450,4
ALDERSHOT - ASCOT,2026-03-10,14:00:00,450,4
ALDERSHOT - ASCOT,2026-03-10,14:30:00,450,4
ALDERSHOT - ASCOT,2026-03-10,15:00:00,450,4
ALDERSHOT - ASCOT,2026-03-10,15:30:00,450,4
ALDERSHOT - ASCOT,2026-03-10,16:00:00,450,4
ALDERSHOT - ASCOT,2026-03-10,16:30:00,450,4
ALDERSHOT - ASCOT,2026-03-10,17:00:00,450,4
ALDERSHOT - ASCOT,2026-03-10,17:30:00,450,4
ALDERSHOT - ASCOT,2026-03-10,18:09:00,450,4
ALDERSHOT - ASCOT,2026-03-10,18:39:00,450,4
ALDERSHOT - ASCOT,2026-03-10,19:09:00,450,4
ALDERSHOT - ASCOT,2026-03-10,19:39:00,450,4
ALDERSHOT - ASCOT,2026-03-10,20:00:00,450,4
ALDERSHOT - ASCOT,2026-03-10,20:30:00,450,4
ALDERSHOT - ASCOT,2026-03-10,21:00:00,450,4
ALDERSHOT - ASCOT,2026-03-10,21:30:00,450,4
ALDERSHOT - ASCOT,2026-03-10,22:00:00,450,4
ALDERSHOT - ASCOT,2026-03-10,22:30:00,450,4
ALDERSHOT - ASCOT,2026-03-10,23:00:00,450,4
ALDERSHOT - ASCOT,2026-03-11,05:58:00,450,4
ALDERSHOT - ASCOT,2026-03-11,06:46:00,450,4
ALDERSHOT - ASCOT,2026-03-11,07:11:00,450,4
ALDERSHOT - ASCOT,2026-03-11,07:30:00,450,4
ALDERSHOT - ASCOT,2026-03-11,08:00:00,450,4
ALDERSHOT - ASCOT,2026-03-11,08:30:00,450,4
ALDERSHOT - ASCOT,2026-03-11,09:00:00,450,4
ALDERSHOT - ASCOT,2026-03-11,09:30:00,450,4
ALDERSHOT - ASCOT,2026-03-11,10:00:00,450,4
ALDERSHOT - ASCOT,2026-03-11,10:30:00,450,4
ALDERSHOT - ASCOT,2026-03-11,11:00:00,450,4
ALDERSHOT - ASCOT,2026-03-11,11:30:00,450,4
ALDERSHOT - ASCOT,2026-03-11,12:00:00,450,4
ALDERSHOT - ASCOT,2026-03-11,12:30:00,450,4
ALDERSHOT - ASCOT,2026-03-11,13:00:00,450,4
ALDERSHOT - ASCOT,2026-03-11,13:30:00,450,4
ALDERSHOT - ASCOT,2026-03-11,14:00:00,450,4
ALDERSHOT - ASCOT,2026-03-11,14:30:00,450,4
