route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
ALDERSHOT - ALDERSHOT,1,ALDERSHOT,ASH VALE,stop,2,80,4,0
ALDERSHOT - ASCOT,1,ALDERSHOT,ASH VALE,stop,2,80,4,0
ALDERSHOT - ASCOT,2,ASH VALE,FRIMLEY,stop,3,60,6,1
ALDERSHOT - FARNHAM E M U T DPT,1,ALDERSHOT,FARNHAM E M U T DPT,stop,7,80,14,0
ALDERSHOT - GUILDFORD,1,ALDERSHOT,ASH,stop,4,80,7,0
ALDERSHOT - GUILDFORD,2,ASH,WANBOROUGH,stop,2,70,4,0
ALDERSHOT - GUILDFORD,3,WANBOROUGH,GUILDFORD,stop,4,62,7,0
ALDERSHOT - WEYBRIDGE,1,ALDERSHOT,ASH VALE,stop,5,80,10,0
ALDERSHOT - WEYBRIDGE,2,ASH VALE,BROOKWOOD,stop,8,60,15,0
ALDERSHOT - WOKING,1,ALDERSHOT,ASH VALE,stop,5,80,10,0
ALDERSHOT - WOKING,2,ASH VALE,BROOKWOOD,stop,8,60,15,0
ALTON - ALTON,1,BENTLEY,ASH VALE,stop,8,125,15,0
ALTON - ALTON,1,BENTLEY,ALDERSHOT,stop,6,125,12,0
ALTON - GUILDFORD,1,BENTLEY,FARNHAM,stop,2,125,5,1
ALTON - GUILDFORD,2,FARNHAM,ALDERSHOT,stop,2,70,6,2
ALTON - GUILDFORD,3,ALDERSHOT,ASH,stop,4,80,7,2
ALTON - GUILDFORD,4,ASH,WANBOROUGH,stop,2,70,4,0
ALTON - GUILDFORD,5,WANBOROUGH,GUILDFORD,stop,4,62,7,0
ALTON - SURBITON,1,BENTLEY,FARNHAM,stop,2,125,5,0
ALTON - SURBITON,2,FARNHAM,ALDERSHOT,stop,3,70,6,5
ALTON - SURBITON,3,ALDERSHOT,ASH VALE,stop,2,80,4,0
ALTON - SURBITON,4,ASH VALE,BROOKWOOD,stop,4,60,7,1
ALTON - WALTON-ON-THAMES,1,BENTLEY,FARNHAM,stop,2,125,5,1
ALTON - WALTON-ON-THAMES,2,FARNHAM,ALDERSHOT,stop,3,70,6,1
ALTON - WALTON-ON-THAMES,3,ALDERSHOT,ASH VALE,stop,2,80,4,0
ALTON - WALTON-ON-THAMES,4,ASH VALE,BROOKWOOD,stop,4,60,7,1
ALTON - WOKING,1,BENTLEY,FARNHAM,stop,2,125,5,1
ALTON - WOKING,2,FARNHAM,ALDERSHOT,stop,3,70,6,3
ALTON - WOKING,3,ALDERSHOT,ASH VALE,stop,2,80,4,0
ALTON - WOKING,4,ASH VALE,BROOKWOOD,stop,4,60,7,1
ASCOT - ALDERSHOT,1,FRIMLEY,ASH VALE,stop,2,75,6,0
ASCOT - ALDERSHOT,2,ASH VALE,ALDERSHOT,stop,3,60,6,0
ASCOT - FARNHAM,1,FRIMLEY,ASH VALE,stop,2,75,7,0
ASCOT - FARNHAM,2,ASH VALE,ALDERSHOT,stop,3,60,5,0
ASCOT - FARNHAM,3,ALDERSHOT,FARNHAM,stop,3,80,5,1
ASCOT - GUILDFORD,1,FRIMLEY,ASH VALE,stop,2,75,7,0
ASCOT - GUILDFORD,2,ASH VALE,ALDERSHOT,stop,3,60,5,0
ASCOT - GUILDFORD,3,ALDERSHOT,ASH,stop,4,80,7,7
ASCOT - GUILDFORD,4,ASH,WANBOROUGH,stop,2,70,4,0
ASCOT - GUILDFORD,5,WANBOROUGH,GUILDFORD,stop,4,62,7,0
EARLSFIELD - FARNHAM,1,BROOKWOOD,ASH VALE,stop,4,50,7,0
EARLSFIELD - FARNHAM,2,ASH VALE,ALDERSHOT,stop,2,60,4,1
EARLSFIELD - FARNHAM,3,ALDERSHOT,FARNHAM,stop,3,80,5,1
FARNHAM - GUILDFORD,1,FARNHAM,ALDERSHOT,stop,3,70,6,0
FARNHAM - GUILDFORD,2,ALDERSHOT,ASH,stop,4,80,7,0
FARNHAM - GUILDFORD,3,ASH,WANBOROUGH,stop,2,70,4,0
FARNHAM - GUILDFORD,4,WANBOROUGH,GUILDFORD,stop,4,62,7,0
FARNHAM - RICHMOND,1,FARNHAM,ALDERSHOT,stop,3,70,6,0
FARNHAM - RICHMOND,2,ALDERSHOT,ASH VALE,stop,2,80,4,1
FARNHAM - RICHMOND,3,ASH VALE,FRIMLEY,stop,3,60,6,0
FARNHAM - SURBITON,1,FARNHAM,ALDERSHOT,stop,3,70,6,0
FARNHAM - SURBITON,2,ALDERSHOT,ASH VALE,stop,2,80,4,3
FARNHAM - SURBITON,3,ASH VALE,BROOKWOOD,stop,4,60,7,1
FARNHAM - WOKING,1,FARNHAM,ALDERSHOT,stop,3,70,6,0
FARNHAM - WOKING,2,ALDERSHOT,ASH VALE,stop,2,80,4,0
FARNHAM - WOKING,3,ASH VALE,BROOKWOOD,stop,4,60,7,1
FARNHAM E M U T DPT - ASCOT,1,FARNHAM E M U T DPT,ASH VALE,stop,11,70,22,0
FARNHAM E M U T DPT - ASCOT,2,ASH VALE,ASCOT,pass,8,60,15,0
FARNHAM E M U T DPT - ASCOT,1,FARNHAM E M U T DPT,ALDERSHOT,stop,10,70,19,0
FARNHAM E M U T DPT - ASCOT,2,ALDERSHOT,ASCOT,pass,9,80,18,0
FARNHAM E M U T DPT - FARNHAM E M U T DPT,1,FARNHAM E M U T DPT,ASH VALE,stop,9,70,17,0
FARNHAM E M U T DPT - FARNHAM E M U T DPT,1,FARNHAM E M U T DPT,ALDERSHOT,stop,7,70,14,0
FARNHAM E M U T DPT - GUILDFORD,1,FARNHAM E M U T DPT,ALDERSHOT,stop,7,70,14,0
FARNHAM E M U T DPT - GUILDFORD,2,ALDERSHOT,GUILDFORD,pass,6,80,12,0
FARNHAM E M U T DPT - HASLEMERE,1,FARNHAM E M U T DPT,ALDERSHOT,stop,7,70,13,0
FARNHAM E M U T DPT - HASLEMERE,2,ALDERSHOT,HASLEMERE,pass,20,80,40,0
FARNHAM E M U T DPT - HAVANT,1,FARNHAM E M U T DPT,ALDERSHOT,stop,7,70,13,0
FARNHAM E M U T DPT - HAVANT,2,ALDERSHOT,HAVANT,pass,31,80,61,0
FARNHAM E M U T DPT - WOKING,1,FARNHAM E M U T DPT,ASH VALE,stop,9,70,17,0
FARNHAM E M U T DPT - WOKING,2,ASH VALE,WOKING,pass,7,60,14,0
FARNHAM E M U T DPT - WOKING,1,FARNHAM E M U T DPT,ALDERSHOT,stop,7,70,14,0
FARNHAM E M U T DPT - WOKING,2,ALDERSHOT,WOKING,pass,16,80,31,0
GUILDFORD - ALDERSHOT,1,GUILDFORD,WANBOROUGH,stop,2,55,4,0
GUILDFORD - ALDERSHOT,2,WANBOROUGH,ASH,stop,2,62,4,0
GUILDFORD - ALDERSHOT,3,ASH,ALDERSHOT,stop,4,70,7,0
GUILDFORD - ALTON,1,GUILDFORD,WANBOROUGH,stop,2,55,4,0
GUILDFORD - ALTON,2,WANBOROUGH,ASH,stop,2,62,4,0
GUILDFORD - ALTON,3,ASH,ALDERSHOT,stop,3,70,6,1
GUILDFORD - ALTON,4,ALDERSHOT,FARNHAM,stop,3,80,5,1
GUILDFORD - ALTON,5,FARNHAM,BENTLEY,stop,3,70,6,1
GUILDFORD - ASCOT,1,GUILDFORD,WANBOROUGH,stop,2,55,4,0
GUILDFORD - ASCOT,2,WANBOROUGH,ASH,stop,2,62,4,0
GUILDFORD - ASCOT,3,ASH,ALDERSHOT,stop,4,70,7,0
GUILDFORD - ASCOT,4,ALDERSHOT,ASH VALE,stop,2,80,4,6
GUILDFORD - ASCOT,5,ASH VALE,FRIMLEY,stop,3,60,6,1
GUILDFORD - FARNHAM,1,GUILDFORD,WANBOROUGH,stop,2,55,4,0
GUILDFORD - FARNHAM,2,WANBOROUGH,ASH,stop,2,62,4,0
GUILDFORD - FARNHAM,3,ASH,ALDERSHOT,stop,4,70,7,0
GUILDFORD - FARNHAM,4,ALDERSHOT,FARNHAM,stop,3,80,5,1
GUILDFORD - FARNHAM E M U T DPT,1,GUILDFORD,ASH VALE,stop,10,55,20,0
GUILDFORD - FARNHAM E M U T DPT,2,ASH VALE,FARNHAM E M U T DPT,pass,12,60,23,0
GUILDFORD - FARNHAM E M U T DPT,1,GUILDFORD,ALDERSHOT,stop,11,55,23,0
GUILDFORD - FARNHAM E M U T DPT,2,ALDERSHOT,FARNHAM E M U T DPT,pass,10,80,20,0
HAVANT - FARNHAM E M U T DPT,1,FARNHAM,ALDERSHOT,stop,28,70,55,0
HAVANT - FARNHAM E M U T DPT,2,ALDERSHOT,FARNHAM E M U T DPT,pass,6,80,12,0
PORTSMOUTH HARBOUR - FARNHAM E M U T DPT,1,FARNHAM,ALDERSHOT,stop,37,70,74,0
PORTSMOUTH HARBOUR - FARNHAM E M U T DPT,2,ALDERSHOT,FARNHAM E M U T DPT,pass,7,80,13,0
PUTNEY - ALDERSHOT,1,FRIMLEY,ASH VALE,stop,2,75,6,0
PUTNEY - ALDERSHOT,2,ASH VALE,ALDERSHOT,stop,4,60,7,1
SURBITON - ALDERSHOT,1,WOKING,ASH VALE,stop,7,40,13,1
SURBITON - ALDERSHOT,1,WOKING,ALDERSHOT,stop,9,40,17,1
SURBITON - ALDERSHOT,1,ASH VALE,ALDERSHOT,pass,2,60,4,0
SURBITON - ALTON,1,BROOKWOOD,ASH VALE,stop,4,50,8,0
SURBITON - ALTON,2,ASH VALE,ALDERSHOT,stop,3,60,5,0
SURBITON - ALTON,3,ALDERSHOT,FARNHAM,stop,3,80,5,1
SURBITON - ALTON,4,FARNHAM,BENTLEY,stop,3,70,6,1
SURBITON - FARNHAM,1,ASH VALE,ALDERSHOT,stop,5,60,10,0
SURBITON - FARNHAM,2,ALDERSHOT,FARNHAM,stop,5,80,10,0
SURBITON - FARNHAM,3,BROOKWOOD,ASH VALE,stop,4,50,8,0
WEST BYFLEET - ALTON,1,BROOKWOOD,ASH VALE,stop,4,50,8,0
WEST BYFLEET - ALTON,2,ASH VALE,ALDERSHOT,stop,3,60,5,0
WEST BYFLEET - ALTON,3,ALDERSHOT,FARNHAM,stop,3,80,5,1
WEST BYFLEET - ALTON,4,FARNHAM,BENTLEY,stop,3,70,6,1
WEYBRIDGE - ALDERSHOT,1,BROOKWOOD,ASH VALE,stop,4,50,8,0
WEYBRIDGE - ALDERSHOT,2,ASH VALE,ALDERSHOT,stop,8,60,15,0
WEYBRIDGE - FARNHAM,1,BROOKWOOD,ASH VALE,stop,4,50,8,0
WEYBRIDGE - FARNHAM,2,ASH VALE,ALDERSHOT,stop,5,60,10,0
WEYBRIDGE - FARNHAM,3,ALDERSHOT,FARNHAM,stop,5,80,10,0
WOKING - ALDERSHOT,1,WOKING,ASH VALE,stop,7,40,14,0
WOKING - ALDERSHOT,2,ASH VALE,ALDERSHOT,pass,2,60,4,0
WOKING - ALDERSHOT,1,WOKING,ALDERSHOT,stop,9,40,18,0
WOKING - ALTON,1,BROOKWOOD,ASH VALE,stop,4,50,8,1
WOKING - ALTON,2,ASH VALE,ALDERSHOT,stop,2,60,4,1
WOKING - ALTON,3,ALDERSHOT,FARNHAM,stop,3,80,5,1
WOKING - ALTON,4,FARNHAM,ALTON,stop,6,70,11,1
WOKING - FARNHAM,1,BROOKWOOD,ASH VALE,stop,4,50,8,0
WOKING - FARNHAM,2,ASH VALE,ALDERSHOT,stop,2,60,4,1
