route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
BALHAM - BRIGHTON,1,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,2,1
BALHAM - BRIGHTON,2,EAST CROYDON,PURLEY,stop,3.07,36.1,4,1
BALHAM - SOUTH CROYDON,1,EAST CROYDON,SOUTH CROYDON,pass,4.39,48.5,1,0
BEDFORD MIDLAND - BRIGHTON,1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,1
BEDFORD MIDLAND - BRIGHTON (10),1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,1
BEDFORD MIDLAND - BRIGHTON (11),1,EAST CROYDON,PURLEY,stop,3.07,36.1,6,1
BEDFORD MIDLAND - BRIGHTON (11),2,PURLEY,COULSDON SOUTH,stop,2.12,17.4,4,0.5
BEDFORD MIDLAND - BRIGHTON (12),1,EAST CROYDON,PURLEY,stop,3.07,36.1,6,1
BEDFORD MIDLAND - BRIGHTON (13),1,EAST CROYDON,PURLEY,stop,3.07,36.1,5,1
BEDFORD MIDLAND - BRIGHTON (14),1,EAST CROYDON,PURLEY,stop,3.07,36.1,6,1
BEDFORD MIDLAND - BRIGHTON (15),1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,1
BEDFORD MIDLAND - BRIGHTON (2),1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,1
BEDFORD MIDLAND - BRIGHTON (3),1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,1
BEDFORD MIDLAND - BRIGHTON (4),1,EAST CROYDON,PURLEY,stop,3.07,36.1,6,1
BEDFORD MIDLAND - BRIGHTON (5),1,EAST CROYDON,PURLEY,stop,3.07,36.1,5,1
BEDFORD MIDLAND - BRIGHTON (6),1,EAST CROYDON,PURLEY,stop,3.07,36.1,5,0.5
BEDFORD MIDLAND - BRIGHTON (7),1,EAST CROYDON,PURLEY,stop,3.07,36.1,6,1
BEDFORD MIDLAND - BRIGHTON (8),1,EAST CROYDON,PURLEY,stop,3.07,36.1,5,0.5
BEDFORD MIDLAND - BRIGHTON (8),2,PURLEY,COULSDON SOUTH,stop,2.12,17.4,4,0.5
BEDFORD MIDLAND - BRIGHTON (9),1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,1
BEDFORD MIDLAND - EAST GRINSTEAD (3),1,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,2,1
BEDFORD MIDLAND - EAST GRINSTEAD (3),2,SOUTH CROYDON,SANDERSTEAD,stop,5.44,29.6,3,1
BEDFORD MIDLAND - EAST GRINSTEAD (3),3,SANDERSTEAD,RIDDLESDOWN,stop,1.32,17.3,3,0.5
BEDFORD MIDLAND - EAST GRINSTEAD (3),4,RIDDLESDOWN,UPPER WARLINGHAM,stop,2.24,17.4,4,0.5
BEDFORD MIDLAND - GATWICK AIRPORT,1,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,3,0.5
BEDFORD MIDLAND - GATWICK AIRPORT,2,SOUTH CROYDON,PURLEY,stop,4.85,29.6,4,0.5
BEDFORD MIDLAND - GATWICK AIRPORT (2),1,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,3,0.5
BEDFORD MIDLAND - GATWICK AIRPORT (2),2,SOUTH CROYDON,PURLEY,stop,4.85,29.6,4,0.5
BEDFORD MIDLAND - GATWICK AIRPORT (3),1,EAST CROYDON,PURLEY,stop,3.07,36.1,5,1
BEDFORD MIDLAND - GATWICK AIRPORT (3),2,PURLEY,COULSDON SOUTH,stop,2.12,17.4,4,0.5
BEDFORD MIDLAND - HORSHAM,1,EAST CROYDON,PURLEY,stop,3.07,36.1,5,1
BEDFORD MIDLAND - HORSHAM,2,PURLEY,COULSDON SOUTH,stop,2.12,17.4,4,0.5
BEDFORD MIDLAND - THREE BRIDGES,1,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,3,0.5
BEDFORD MIDLAND - THREE BRIDGES,2,SOUTH CROYDON,PURLEY,stop,4.85,29.6,4,0.5
BEDFORD MIDLAND - THREE BRIDGES,3,PURLEY,COULSDON SOUTH,stop,2.12,17.4,4,0.5
BEDFORD MIDLAND - THREE BRIDGES (10),1,EAST CROYDON,PURLEY,stop,3.07,36.1,5,1
BEDFORD MIDLAND - THREE BRIDGES (11),1,EAST CROYDON,PURLEY,stop,3.07,36.1,6,1
BEDFORD MIDLAND - THREE BRIDGES (12),1,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,3,0.5
BEDFORD MIDLAND - THREE BRIDGES (12),2,SOUTH CROYDON,PURLEY,stop,4.85,29.6,4,0.5
BEDFORD MIDLAND - THREE BRIDGES (13),1,EAST CROYDON,PURLEY,stop,3.07,36.1,6,0.5
BEDFORD MIDLAND - THREE BRIDGES (14),1,EAST CROYDON,PURLEY,stop,3.07,36.1,5,1
BEDFORD MIDLAND - THREE BRIDGES (14),2,PURLEY,COULSDON SOUTH,stop,2.12,17.4,4,0.5
BEDFORD MIDLAND - THREE BRIDGES (15),1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,1
BEDFORD MIDLAND - THREE BRIDGES (16),1,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,2,1
BEDFORD MIDLAND - THREE BRIDGES (16),2,SOUTH CROYDON,PURLEY,stop,4.85,29.6,4,0.5
BEDFORD MIDLAND - THREE BRIDGES (16),3,PURLEY,COULSDON SOUTH,pass,2.12,17.4,2,0
BEDFORD MIDLAND - THREE BRIDGES (16),4,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,2,1
BEDFORD MIDLAND - THREE BRIDGES (16),5,SOUTH CROYDON,COULSDON SOUTH,stop,5.15,29.7,6,0.5
BEDFORD MIDLAND - THREE BRIDGES (2),1,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,3,0.5
BEDFORD MIDLAND - THREE BRIDGES (2),2,SOUTH CROYDON,PURLEY,stop,4.85,29.6,4,0.5
BEDFORD MIDLAND - THREE BRIDGES (3),1,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,3,0.5
BEDFORD MIDLAND - THREE BRIDGES (3),2,SOUTH CROYDON,PURLEY,stop,4.85,29.6,4,0.5
BEDFORD MIDLAND - THREE BRIDGES (3),3,PURLEY,COULSDON SOUTH,stop,2.12,17.4,4,0.5
BEDFORD MIDLAND - THREE BRIDGES (4),1,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,2,1
BEDFORD MIDLAND - THREE BRIDGES (4),2,SOUTH CROYDON,PURLEY,stop,4.85,29.6,4,0.5
