route_variant,seq,from_station,to_station,distance,run_min,wait_min
WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,1,WOLVERHAMPTON_STATION,PIPER'S_ROW,0.269675,2,0.5
WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,2,PIPER'S_ROW,THE_ROYAL,0.121789,4,0.5
WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,3,THE_ROYAL,PRIESTFIELD,1.038311,3,0.5
WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,4,PRIESTFIELD,THE_CRESCENT,0.801569,1,0.5
WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,5,THE_CRESCENT,BILSTON_CENTRAL,0.315035,1,0.5
WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,6,BILSTON_CENTRAL,LOXDALE,0.527544,2,0.5
WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,7,LOXDALE,BRADLEY_LANE,0.315035,1,0.5
WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,8,BRADLEY_LANE,WEDNESBURY_PARKWAY,1.209188,3,0.5
WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,9,WEDNESBURY_PARKWAY,WEDNESBURY_GREAT_WESTERN_STREET,0.274025,1,0.5
WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,10,WEDNESBURY_GREAT_WESTERN_STREET,BLACK_LAKE,1.412377,3,0.5
WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,11,BLACK_LAKE,DUDLEY_STREET_/_GUNS_VILLAGE,0.419426,1,0.5
WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,12,DUDLEY_STREET_/_GUNS_VILLAGE,DARTMOUTH_STREET,0.370959,1,0.5
WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,13,DARTMOUTH_STREET,LODGE_ROAD,0.229286,1,0.5
WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,14,LODGE_ROAD,WEST_BROMWICH_CENTRAL,0.269054,1,0.5
WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,15,WEST_BROMWICH_CENTRAL,TRINITY_WAY,0.42129,1,0.5
WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,16,TRINITY_WAY,KENRICK_PARK,0.328084,1,0.5
WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,17,KENRICK_PARK,THE_HAWTHORNS,0.766151,2,0.5
WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,18,THE_HAWTHORNS,HANDSWORTH_BOOTH_STREET,0.597759,1,0.5
WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,19,HANDSWORTH_BOOTH_STREET,WINSON_GREEN,0.60273,2,0.5
