route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
ADDLESTONE - BARNES,1,ADDLESTONE,CHERTSEY,stop,1.67,17.1,3,0
ADDLESTONE - QUEENSTOWN ROAD(BATTERSEA),1,ADDLESTONE,CHERTSEY,stop,1.67,17.1,3,0
ADDLESTONE - STAINES,1,ADDLESTONE,CHERTSEY,stop,1.67,17.1,3,0
ADDLESTONE - WANDSWORTH TOWN,1,ADDLESTONE,CHERTSEY,stop,1.67,17.1,3,0
ALDERSHOT - WEYBRIDGE,1,BROOKWOOD,WOKING,stop,3.79,65.0,15,0
ALDERSHOT - WEYBRIDGE,2,WOKING,WEYBRIDGE,stop,11.17,40.0,25,5
ALDERSHOT - WOKING,1,BROOKWOOD,WOKING,stop,3.79,65.0,15,0
ALTON - SURBITON,1,BROOKWOOD,WOKING,stop,3.79,65.0,5,0
ALTON - SURBITON,2,WOKING,WEST BYFLEET,stop,3.0,79.0,5,1
ALTON - SURBITON,3,BROOKWOOD,WOKING,stop,3.79,65.0,5,0
ALTON - SURBITON,4,WOKING,WEST BYFLEET,stop,3.0,79.0,5,1
ALTON - SURBITON,5,WEST BYFLEET,BYFLEET & NEW HAW,stop,2.0,57.6,3,0
ALTON - SURBITON,6,BROOKWOOD,WOKING,stop,3.79,65.0,5,0
ALTON - SURBITON,7,WOKING,WEST BYFLEET,stop,3.0,79.0,5,1
ALTON - SURBITON,8,WEST BYFLEET,WEYBRIDGE,stop,3.0,59.0,4,0
ALTON - SURBITON (2),1,BROOKWOOD,WOKING,stop,3.79,65.0,5,0
ALTON - SURBITON (2),2,WOKING,WEST BYFLEET,stop,3.0,79.0,5,1
ALTON - SURBITON (2),3,BROOKWOOD,WOKING,stop,3.79,65.0,5,0
ALTON - SURBITON (2),4,WOKING,WEST BYFLEET,stop,3.0,79.0,5,1
ALTON - SURBITON (2),5,WEST BYFLEET,BYFLEET & NEW HAW,stop,2.0,57.6,3,0
ALTON - SURBITON (2),6,BROOKWOOD,WOKING,stop,3.79,65.0,5,0
ALTON - SURBITON (2),7,WOKING,WEST BYFLEET,stop,3.0,79.0,5,1
ALTON - SURBITON (2),8,WEST BYFLEET,WEYBRIDGE,stop,3.0,59.0,4,0
ALTON - SURBITON (3),1,BROOKWOOD,WOKING,stop,3.79,65.0,5,0
ALTON - SURBITON (3),2,WOKING,WEYBRIDGE,stop,11.17,40.0,6,5
ALTON - SURBITON (3),3,BROOKWOOD,WOKING,stop,3.79,65.0,5,0
ALTON - SURBITON (3),4,WOKING,BYFLEET & NEW HAW,stop,4.59,38.6,4,5
ALTON - SURBITON (3),5,BYFLEET & NEW HAW,WEYBRIDGE,pass,6.79,18.6,2,0
ALTON - SURBITON (4),1,BROOKWOOD,WOKING,stop,3.79,65.0,5,0
ALTON - SURBITON (4),2,WOKING,WEST BYFLEET,stop,3.0,79.0,4,2
ALTON - SURBITON (4),3,WEST BYFLEET,WEYBRIDGE,stop,3.0,59.0,4,1
ALTON - SURBITON (4),4,BROOKWOOD,WOKING,stop,3.79,65.0,5,0
ALTON - SURBITON (4),5,WOKING,WEST BYFLEET,stop,3.0,79.0,4,2
ALTON - SURBITON (4),6,WEST BYFLEET,BYFLEET & NEW HAW,stop,2.0,57.6,2,1
ALTON - SURBITON (4),7,BYFLEET & NEW HAW,WEYBRIDGE,pass,6.79,18.6,2,0
ALTON - SURBITON (5),1,BROOKWOOD,WOKING,stop,3.79,65.0,5,0
ALTON - SURBITON (5),2,WOKING,WEST BYFLEET,stop,3.0,79.0,4,2
ALTON - SURBITON (5),3,WEST BYFLEET,WEYBRIDGE,stop,3.0,59.0,4,1
ALTON - SURBITON (5),4,BROOKWOOD,WOKING,stop,3.79,65.0,5,0
ALTON - SURBITON (5),5,WOKING,WEST BYFLEET,stop,3.0,79.0,4,2
ALTON - SURBITON (5),6,WEST BYFLEET,BYFLEET & NEW HAW,stop,2.0,57.6,2,1
ALTON - SURBITON (5),7,BYFLEET & NEW HAW,WEYBRIDGE,pass,6.79,18.6,2,0
ALTON - WALTON-ON-THAMES,1,BROOKWOOD,WOKING,stop,3.79,65.0,6,0
ALTON - WALTON-ON-THAMES,2,BROOKWOOD,WOKING,stop,3.79,65.0,6,0
ALTON - WALTON-ON-THAMES,3,WOKING,BYFLEET & NEW HAW,stop,4.59,38.6,5,1
ALTON - WALTON-ON-THAMES,4,BROOKWOOD,WOKING,stop,3.79,65.0,6,0
ALTON - WALTON-ON-THAMES,5,WOKING,WEYBRIDGE,stop,11.17,40.0,6,1
