Station,TSS
ADDLESTONE,X
CHERTSEY,X
VIRGINIA WATER,Camberley_2248
EGHAM,Camberley_2248
STAINES,Camberley_2248
ASHFORD (MIDDLESEX),X
FELTHAM,X
HOUNSLOW,X
ISLEWORTH,X
SYON LANE,X
BRENTFORD,X
KEW BRIDGE,X
CHISWICK,X
BARNES BRIDGE,X
BARNES,X
PUTNEY,X
WANDSWORTH TOWN,X
ASCOT,Camberley_2248
SUNNINGDALE,Camberley_2248
LONGCROSS,Camberley_2248
TWICKENHAM,X
RICHMOND,X
BRACKNELL,X
MARTINS HERON,X
FARNHAM,X
ALDERSHOT,X
ASH VALE,X
FRIMLEY,Camberley_2249
CAMBERLEY,Camberley_2249
BAGSHOT,Camberley_2248
WHITTON,X
GUILDFORD,X
WORPLESDON,X
WOKING,X
WEST BYFLEET,X
BYFLEET & NEW HAW,X
WOKINGHAM,X
WINNERSH,X
WINNERSH TRIANGLE,X
EARLEY,X
QUEENSTOWN ROAD(BATTERSEA),X
READING PLATFORMS 4A&B,X
MORTLAKE,X
NORTH SHEEN,X
ST MARGARETS (GREATER LONDON),X
WEYBRIDGE,X
ASH,X
WANBOROUGH,X
B R CARRIAGE SIDINGS,X
FARNHAM E M U T DPT,X
FLEET,Camberley_2249
BASINGSTOKE,X
HOOK,X
WINCHFIELD,X
FARNBOROUGH (MAIN),Camberley_2249
BROOKWOOD,X
WALTON-ON-THAMES,X
BOURNEMOUTH MAINTENANCE,X
FAREHAM,X
BOTLEY,X
HEDGE END,X
EASTLEIGH,X
SHAWFORD,X
WINCHESTER,X
MICHELDEVER,X
PORTCHESTER,X
COSHAM,X
HILSEA PORTSMOUTH,X
FRATTON PORTSMOUTH,X
PORTSMOUTH & SOUTHSEA,X
NORTHAM DEPOT,X
POOLE,X
PARKSTONE,X
BRANKSOME,X
BOURNEMOUTH,X
POKESDOWN,X
CHRISTCHURCH,X
HINTON ADMIRAL,X
NEW MILTON,X
SWAY,X
BROCKENHURST,X
ASHURST NEW FOREST,X
TOTTON,X
SOUTHAMPTON CENTRAL,X
SOUTHAMPTON AIRPORT (PARKWAY),X
PORTSMOUTH HARBOUR,X
ST DENYS,X
SWAYTHLING,X
SURBITON,X
WEYMOUTH,X
UPWEY,X
DORCHESTER SOUTH,X
MORETON (DORSET),X
WOOL,X
WAREHAM,X
HAMWORTHY,X
OVERTON,X
WHITCHURCH (HAMPSHIRE),X
ANDOVER,X
GRATELEY,X
