route_variant,from_station,to_station,missing_side,from_tss_resolved,to_tss_resolved,suggestion_from,suggestion_to
PUTNEY - READING PLATFORMS 4A&B,EARLEY,READING PLATFORMS 4A&B,unknown,nan,nan,ok,ok
PUTNEY - READING PLATFORMS 4A&B (3),EARLEY,READING PLATFORMS 4A&B,unknown,nan,nan,ok,ok
RICHMOND - READING PLATFORMS 4A&B,EARLEY,READING PLATFORMS 4A&B,unknown,nan,nan,ok,ok
RICHMOND - READING PLATFORMS 4A&B (2),EARLEY,READING PLATFORMS 4A&B,unknown,nan,nan,ok,ok
READING PLATFORMS 4A&B - STAINES (2),READING PLATFORMS 4A&B,WOKINGHAM,unknown,nan,nan,ok,ok
RICHMOND - READING PLATFORMS 4A&B (3),WOKINGHAM,READING PLATFORMS 4A&B,unknown,nan,nan,ok,ok
READING PLATFORMS 4A&B - B R CARRIAGE SIDINGS,READING PLATFORMS 4A&B,ASCOT,unknown,nan,nan,ok,ok
READING PLATFORMS 4A&B - READING PLATFORMS 4A&B,READING PLATFORMS 4A&B,ASCOT,unknown,nan,nan,ok,ok
READING PLATFORMS 4A&B - PUTNEY (2),READING PLATFORMS 4A&B,EARLEY,unknown,nan,nan,ok,ok
READING PLATFORMS 4A&B - PUTNEY (4),READING PLATFORMS 4A&B,EARLEY,unknown,nan,nan,ok,ok
READING PLATFORMS 4A&B - RICHMOND,READING PLATFORMS 4A&B,EARLEY,unknown,nan,nan,ok,ok
PUTNEY - READING PLATFORMS 4A&B (2),EARLEY,READING PLATFORMS 4A&B,unknown,nan,nan,ok,ok
PUTNEY - READING PLATFORMS 4A&B (4),EARLEY,READING PLATFORMS 4A&B,unknown,nan,nan,ok,ok
READING PLATFORMS 4A&B - PUTNEY (3),READING PLATFORMS 4A&B,EARLEY,unknown,nan,nan,ok,ok
READING PLATFORMS 4A&B - PUTNEY,READING PLATFORMS 4A&B,EARLEY,unknown,nan,nan,ok,ok
NORTHAM DEPOT - NORTHAM DEPOT,FLEET,NORTHAM DEPOT,unknown,nan,nan,ok,ok
NORTHAM DEPOT - NORTHAM DEPOT (2),NORTHAM DEPOT,FLEET,unknown,nan,nan,ok,ok
READING PLATFORMS 4A&B - RICHMOND (2),READING PLATFORMS 4A&B,EARLEY,unknown,nan,nan,ok,ok
READING PLATFORMS 4A&B - STAINES,READING PLATFORMS 4A&B,EARLEY,unknown,nan,nan,ok,ok
STAINES - READING PLATFORMS 4A&B (2),EARLEY,READING PLATFORMS 4A&B,unknown,nan,nan,ok,ok
STAINES - READING PLATFORMS 4A&B,EARLEY,READING PLATFORMS 4A&B,unknown,nan,nan,ok,ok
