route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
EARLSFIELD - GUILDFORD,1,EARLSFIELD,SURBITON,stop,6.95,16.9,13,0
EARLSFIELD - GUILDFORD,2,SURBITON,HINCHLEY WOOD,stop,2.29,17.1,4,1
EARLSFIELD - GUILDFORD,3,HINCHLEY WOOD,CLAYGATE,stop,1.2,17.1,2,0
EARLSFIELD - GUILDFORD,4,CLAYGATE,OXSHOTT,stop,2.03,17.2,4,0
EARLSFIELD - GUILDFORD,5,OXSHOTT,COBHAM AND STOKE D'ABERNON,stop,2.02,17.4,3,0
EARLSFIELD - GUILDFORD,6,COBHAM AND STOKE D'ABERNON,EFFINGHAM JUNCTION,stop,2.57,17.4,4,0
EARLSFIELD - GUILDFORD,7,EFFINGHAM JUNCTION,HORSLEY,stop,1.23,17.6,2,1
EARLSFIELD - GUILDFORD,8,HORSLEY,CLANDON,stop,3.65,17.6,5,0
EARLSFIELD - GUILDFORD,9,CLANDON,LONDON ROAD GUILDFORD,stop,3.57,17.8,5,0
EARLSFIELD - GUILDFORD,10,LONDON ROAD GUILDFORD,GUILDFORD,stop,0.77,36.4,7,0
EARLSFIELD - GUILDFORD (2),1,EARLSFIELD,RAYNES PARK,stop,3.24,18.4,7,0
EARLSFIELD - GUILDFORD (2),2,RAYNES PARK,NEW MALDEN,stop,6.04,15.0,3,0
EARLSFIELD - GUILDFORD (2),3,NEW MALDEN,BERRYLANDS,stop,6.02,13.5,3,0
EARLSFIELD - GUILDFORD (2),4,BERRYLANDS,SURBITON,stop,1.19,17.0,4,0
EARLSFIELD - GUILDFORD (2),5,SURBITON,HINCHLEY WOOD,stop,2.29,17.1,4,1
EARLSFIELD - GUILDFORD (2),6,HINCHLEY WOOD,CLAYGATE,stop,1.2,17.1,2,0
EARLSFIELD - GUILDFORD (2),7,CLAYGATE,OXSHOTT,stop,2.03,17.2,4,0
EARLSFIELD - GUILDFORD (2),8,OXSHOTT,COBHAM AND STOKE D'ABERNON,stop,2.02,17.4,3,0
EARLSFIELD - GUILDFORD (2),9,COBHAM AND STOKE D'ABERNON,EFFINGHAM JUNCTION,stop,2.57,17.4,4,0
