route_variant,train_uid,origin_departure,stop_type,date,departure_time,train_class,number_of_coaches
GUILDFORD - EARLSFIELD,P61757,2337,stop,2026-04-24,00:01:00,,
EARLSFIELD - GUILDFORD,L74840,2333,stop,2026-04-10,00:01:00,,
GUILDFORD - EARLSFIELD,P61757,2337,stop,2026-04-10,00:01:00,,
EARLSFIELD - GUILDFORD,L74840,2333,stop,2026-04-17,00:01:00,,
EARLSFIELD - GUILDFORD,L74840,2333,stop,2026-04-03,00:01:00,,
GUILDFORD - EARLSFIELD,P61757,2337,stop,2026-04-17,00:01:00,,
EARLSFIELD - GUILDFORD,L74840,2333,stop,2026-04-24,00:01:00,,
GUILDFORD - EARLSFIELD,P61757,2337,stop,2026-04-03,00:01:00,,
EARLSFIELD - GUILDFORD,L74841,2333,stop,2026-04-11,00:02:00,,
EARLSFIELD - GUILDFORD,L74841,2333,stop,2026-04-18,00:02:00,,
EARLSFIELD - GUILDFORD,L74841,2333,stop,2026-04-04,00:02:00,,
EARLSFIELD - GUILDFORD,L74841,2333,stop,2026-04-25,00:02:00,,
EARLSFIELD - GUILDFORD,Q38173,2333,stop,2026-04-03,00:02:00,,
GUILDFORD - EARLSFIELD,P61758,2334,stop,2026-04-25,00:03:00,,
GUILDFORD - EARLSFIELD,P61758,2334,stop,2026-04-04,00:03:00,,
GUILDFORD - EARLSFIELD,Q88836,2334,stop,2026-04-03,00:03:00,,
GUILDFORD - EARLSFIELD,P61758,2334,stop,2026-04-11,00:03:00,,
GUILDFORD - EARLSFIELD,P61758,2334,stop,2026-04-18,00:03:00,,
EARLSFIELD - GUILDFORD,L74846,2350,stop,2026-04-22,00:18:00,,
EARLSFIELD - GUILDFORD,L74846,2350,stop,2026-04-14,00:18:00,,
EARLSFIELD - GUILDFORD,L74846,2350,stop,2026-04-21,00:18:00,,
EARLSFIELD - GUILDFORD,L74846,2350,stop,2026-04-13,00:18:00,,
EARLSFIELD - GUILDFORD,L74846,2350,stop,2026-04-08,00:18:00,,
EARLSFIELD - GUILDFORD,L74846,2350,stop,2026-04-01,00:18:00,,
EARLSFIELD - GUILDFORD,L74846,2350,stop,2026-04-02,00:18:00,,
EARLSFIELD - GUILDFORD,L74846,2350,stop,2026-04-20,00:18:00,,
EARLSFIELD - GUILDFORD,L74846,2350,stop,2026-04-09,00:18:00,,
EARLSFIELD - GUILDFORD,L74846,2350,stop,2026-04-06,00:18:00,,
EARLSFIELD - GUILDFORD,Q48039,2350,stop,2026-04-06,00:18:00,,
EARLSFIELD - GUILDFORD,L74846,2350,stop,2026-04-07,00:18:00,,
EARLSFIELD - GUILDFORD,L74846,2350,stop,2026-04-16,00:18:00,,
EARLSFIELD - GUILDFORD,L74846,2350,stop,2026-04-15,00:18:00,,
EARLSFIELD - GUILDFORD,L74846,2350,stop,2026-04-23,00:18:00,,
EARLSFIELD - GUILDFORD,L74846,2350,stop,2026-04-29,00:18:00,,
EARLSFIELD - GUILDFORD,L74846,2350,stop,2026-04-28,00:18:00,,
EARLSFIELD - GUILDFORD,L74846,2350,stop,2026-04-27,00:18:00,,
