route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
EPSOM DOWNS - BATTERSEA PARK LONDON,1,EPSOM DOWNS,BANSTEAD,stop,1.59,17.4,3,0
EPSOM DOWNS - BATTERSEA PARK LONDON,2,BANSTEAD,BELMONT SURREY,stop,1.35,17.4,3,0
EPSOM DOWNS - BATTERSEA PARK LONDON,3,BELMONT SURREY,SUTTON (SURREY),stop,1.35,17.2,3,0
EPSOM DOWNS - BATTERSEA PARK LONDON,4,SUTTON (SURREY),CARSHALTON BEECHES,stop,1.02,17.2,3,4
EPSOM DOWNS - BATTERSEA PARK LONDON,5,CARSHALTON BEECHES,WALLINGTON,stop,0.97,17.2,3,0
EPSOM DOWNS - BATTERSEA PARK LONDON,6,WALLINGTON,WADDON,stop,1.8,17.2,3,0
EPSOM DOWNS - BATTERSEA PARK LONDON,7,WADDON,WEST CROYDON,stop,2.71,27.6,5,0
EPSOM DOWNS - BATTERSEA PARK LONDON,8,WEST CROYDON,SELHURST,stop,4.18,27.5,5,0
EPSOM DOWNS - BATTERSEA PARK LONDON,9,SELHURST,THORNTON HEATH,stop,0.76,17.0,3,0
EPSOM DOWNS - BATTERSEA PARK LONDON,10,THORNTON HEATH,NORBURY,stop,0.85,31.0,3,0
EPSOM DOWNS - BATTERSEA PARK LONDON,11,NORBURY,STREATHAM COMMON,stop,1.78,30.9,2,0
EPSOM DOWNS - BATTERSEA PARK LONDON,12,STREATHAM COMMON,BALHAM,stop,2.11,16.9,6,1
EPSOM DOWNS - BATTERSEA PARK LONDON,13,BALHAM,WANDSWORTH COMMON LONDON,stop,0.68,16.8,2,1
EPSOM DOWNS - BATTERSEA PARK LONDON,14,WANDSWORTH COMMON LONDON,BATTERSEA PARK LONDON,stop,2.62,16.7,8,0
EPSOM DOWNS - STREATHAM HILL,1,EPSOM DOWNS,BANSTEAD,stop,1.59,17.4,3,0
EPSOM DOWNS - STREATHAM HILL,2,BANSTEAD,BELMONT SURREY,stop,1.35,17.4,3,0
EPSOM DOWNS - STREATHAM HILL,3,BELMONT SURREY,SUTTON (SURREY),stop,1.35,17.2,3,0
EPSOM DOWNS - STREATHAM HILL,4,SUTTON (SURREY),CARSHALTON BEECHES,stop,1.02,17.2,3,4
EPSOM DOWNS - STREATHAM HILL,5,CARSHALTON BEECHES,WALLINGTON,stop,0.97,17.2,3,0
EPSOM DOWNS - STREATHAM HILL,6,WALLINGTON,WADDON,stop,1.8,17.2,3,0
EPSOM DOWNS - STREATHAM HILL,7,WADDON,WEST CROYDON,stop,2.71,27.6,5,0
EPSOM DOWNS - STREATHAM HILL,8,WEST CROYDON,NORWOOD JUNCTION,stop,4.97,27.5,6,0
EPSOM DOWNS - STREATHAM HILL,9,NORWOOD JUNCTION,CRYSTAL PALACE,stop,1.64,16.9,5,0
EPSOM DOWNS - STREATHAM HILL,10,CRYSTAL PALACE,GIPSY HILL,stop,0.81,16.9,2,1
EPSOM DOWNS - STREATHAM HILL,11,GIPSY HILL,WEST NORWOOD,stop,2.48,17.4,3,0
EPSOM DOWNS - STREATHAM HILL,12,WEST NORWOOD,STREATHAM HILL,stop,8.3,34.0,4,0
EPSOM DOWNS - SUTTON (SURREY),1,EPSOM DOWNS,SUTTON (SURREY),stop,4.06,17.3,7,0
EPSOM DOWNS - WANDSWORTH COMMON LONDON,1,EPSOM DOWNS,BANSTEAD,stop,1.59,17.4,3,0
EPSOM DOWNS - WANDSWORTH COMMON LONDON,2,BANSTEAD,BELMONT SURREY,stop,1.35,17.4,3,0
EPSOM DOWNS - WANDSWORTH COMMON LONDON,3,BELMONT SURREY,SUTTON (SURREY),stop,1.35,17.2,3,0
EPSOM DOWNS - WANDSWORTH COMMON LONDON,4,SUTTON (SURREY),CARSHALTON BEECHES,stop,1.02,17.2,3,4
EPSOM DOWNS - WANDSWORTH COMMON LONDON,5,CARSHALTON BEECHES,WALLINGTON,stop,0.97,17.2,3,0
EPSOM DOWNS - WANDSWORTH COMMON LONDON,6,WALLINGTON,WADDON,stop,1.8,17.2,3,0
EPSOM DOWNS - WANDSWORTH COMMON LONDON,7,WADDON,WEST CROYDON,stop,2.71,27.6,5,0
EPSOM DOWNS - WANDSWORTH COMMON LONDON,8,WEST CROYDON,SELHURST,stop,4.18,27.5,4,1
EPSOM DOWNS - WANDSWORTH COMMON LONDON,9,SELHURST,THORNTON HEATH,stop,0.76,17.0,2,1
EPSOM DOWNS - WANDSWORTH COMMON LONDON,10,THORNTON HEATH,NORBURY,stop,0.85,31.0,3,0
EPSOM DOWNS - WANDSWORTH COMMON LONDON,11,NORBURY,STREATHAM COMMON,stop,1.78,30.9,3,0
EPSOM DOWNS - WANDSWORTH COMMON LONDON,12,STREATHAM COMMON,BALHAM,stop,2.11,16.9,5,0
EPSOM DOWNS - WANDSWORTH COMMON LONDON,13,BALHAM,WANDSWORTH COMMON LONDON,stop,0.68,16.8,2,1
EPSOM DOWNS - WEST CROYDON,1,EPSOM DOWNS,BANSTEAD,stop,1.59,17.4,3,0
EPSOM DOWNS - WEST CROYDON,2,BANSTEAD,BELMONT SURREY,stop,1.35,17.4,3,0
EPSOM DOWNS - WEST CROYDON,3,BELMONT SURREY,SUTTON (SURREY),stop,1.35,17.2,3,0
EPSOM DOWNS - WEST CROYDON,4,SUTTON (SURREY),CARSHALTON BEECHES,stop,1.02,17.2,3,1
EPSOM DOWNS - WEST CROYDON,5,CARSHALTON BEECHES,WALLINGTON,stop,0.97,17.2,2,0
EPSOM DOWNS - WEST CROYDON,6,WALLINGTON,WADDON,stop,1.8,17.2,3,1
EPSOM DOWNS - WEST CROYDON,7,WADDON,WEST CROYDON,stop,2.71,27.6,3,0
BATTERSEA PARK LONDON - EPSOM DOWNS,1,BATTERSEA PARK LONDON,WANDSWORTH COMMON LONDON,stop,2.62,16.7,8,0
BATTERSEA PARK LONDON - EPSOM DOWNS,2,WANDSWORTH COMMON LONDON,BALHAM,stop,0.68,16.8,3,0
BATTERSEA PARK LONDON - EPSOM DOWNS,3,BALHAM,STREATHAM COMMON,stop,2.11,16.9,4,0
BATTERSEA PARK LONDON - EPSOM DOWNS,4,STREATHAM COMMON,NORBURY,stop,1.78,30.9,2,1
BATTERSEA PARK LONDON - EPSOM DOWNS,5,NORBURY,THORNTON HEATH,stop,0.85,31.0,3,0
BATTERSEA PARK LONDON - EPSOM DOWNS,6,THORNTON HEATH,SELHURST,stop,0.76,17.0,3,0
BATTERSEA PARK LONDON - EPSOM DOWNS,7,SELHURST,WEST CROYDON,stop,4.18,27.5,5,0
BATTERSEA PARK LONDON - EPSOM DOWNS,8,WEST CROYDON,WADDON,stop,2.71,27.6,2,1
BATTERSEA PARK LONDON - EPSOM DOWNS,9,WADDON,WALLINGTON,stop,1.8,17.2,4,0
BATTERSEA PARK LONDON - EPSOM DOWNS,10,WALLINGTON,CARSHALTON BEECHES,stop,0.97,17.2,3,0
BATTERSEA PARK LONDON - EPSOM DOWNS,11,CARSHALTON BEECHES,SUTTON (SURREY),stop,1.02,17.2,3,0
BATTERSEA PARK LONDON - EPSOM DOWNS,12,SUTTON (SURREY),BELMONT SURREY,stop,1.35,17.2,3,3
BATTERSEA PARK LONDON - EPSOM DOWNS,13,BELMONT SURREY,BANSTEAD,stop,1.35,17.4,4,0
BATTERSEA PARK LONDON - EPSOM DOWNS,14,BANSTEAD,EPSOM DOWNS,stop,1.59,17.4,3,0
SELHURST - EPSOM DOWNS,1,SELHURST,WEST CROYDON,stop,4.18,27.5,4,0
SELHURST - EPSOM DOWNS,2,WEST CROYDON,WADDON,stop,2.71,27.6,3,4
SELHURST - EPSOM DOWNS,3,WADDON,WALLINGTON,stop,1.8,17.2,3,0
SELHURST - EPSOM DOWNS,4,WALLINGTON,CARSHALTON BEECHES,stop,0.97,17.2,2,1
SELHURST - EPSOM DOWNS,5,CARSHALTON BEECHES,SUTTON (SURREY),stop,1.02,17.2,6,0
SELHURST - EPSOM DOWNS,6,SUTTON (SURREY),BELMONT SURREY,stop,1.35,17.2,3,1
SELHURST - EPSOM DOWNS,7,BELMONT SURREY,BANSTEAD,stop,1.35,17.4,4,0
SELHURST - EPSOM DOWNS,8,BANSTEAD,EPSOM DOWNS,stop,1.59,17.4,3,0
