route_variant,train_uid,origin_departure,stop_type,date,departure_time,train_class,number_of_coaches
BATTERSEA PARK LONDON - EPSOM DOWNS,P26175,2300,stop,2026-04-30,23:56:00,,
EPSOM DOWNS - SUTTON (SURREY),P43746,5,stop,2026-04-01,00:05:00,,
EPSOM DOWNS - SUTTON (SURREY),P43745,5,stop,2026-04-04,00:05:00,,
EPSOM DOWNS - SUTTON (SURREY),X99152,5,stop,2026-04-04,00:05:00,,
EPSOM DOWNS - SUTTON (SURREY),P26201,5,stop,2026-04-05,00:05:00,,
EPSOM DOWNS - SUTTON (SURREY),P43746,5,stop,2026-04-30,00:05:00,,
EPSOM DOWNS - SUTTON (SURREY),P43746,5,stop,2026-04-29,00:05:00,,
EPSOM DOWNS - SUTTON (SURREY),P43746,5,stop,2026-04-28,00:05:00,,
EPSOM DOWNS - SUTTON (SURREY),P26201,5,stop,2026-04-26,00:05:00,,
EPSOM DOWNS - SUTTON (SURREY),P43745,5,stop,2026-04-25,00:05:00,,
BATTERSEA PARK LONDON - EPSOM DOWNS,P26175,2300,stop,2026-04-20,23:56:00,,
BATTERSEA PARK LONDON - EPSOM DOWNS,P26175,2300,stop,2026-04-08,23:56:00,,
STREATHAM HILL - EPSOM DOWNS,P26176,2313,stop,2026-04-18,23:56:00,,
BATTERSEA PARK LONDON - EPSOM DOWNS,P26175,2300,stop,2026-04-09,23:56:00,,
BATTERSEA PARK LONDON - EPSOM DOWNS,P26175,2300,stop,2026-04-17,23:56:00,,
BATTERSEA PARK LONDON - EPSOM DOWNS,P26175,2300,stop,2026-04-10,23:56:00,,
BATTERSEA PARK LONDON - EPSOM DOWNS,P26175,2300,stop,2026-04-16,23:56:00,,
BATTERSEA PARK LONDON - EPSOM DOWNS,P26176,2300,stop,2026-04-11,23:56:00,,
BATTERSEA PARK LONDON - EPSOM DOWNS,P26175,2300,stop,2026-04-15,23:56:00,,
BATTERSEA PARK LONDON - EPSOM DOWNS,P26175,2300,stop,2026-04-14,23:56:00,,
BATTERSEA PARK LONDON - EPSOM DOWNS,P26175,2301,stop,2026-04-02,23:56:00,,
BATTERSEA PARK LONDON - EPSOM DOWNS,P26175,2300,stop,2026-04-13,23:56:00,,
BATTERSEA PARK LONDON - EPSOM DOWNS,P26175,2300,stop,2026-04-21,23:52:00,,
BATTERSEA PARK LONDON - EPSOM DOWNS,P26175,2300,stop,2026-04-29,23:52:00,,
SELHURST - EPSOM DOWNS,P26006,556,stop,2026-04-15,06:23:00,,
SELHURST - EPSOM DOWNS,P26006,556,stop,2026-04-01,06:23:00,,
SELHURST - EPSOM DOWNS,P26006,556,stop,2026-04-30,06:23:00,,
SELHURST - EPSOM DOWNS,P26006,556,stop,2026-04-09,06:23:00,,
SELHURST - EPSOM DOWNS,P26006,556,stop,2026-04-17,06:23:00,,
EPSOM DOWNS - STREATHAM HILL,P26026,611,stop,2026-04-18,06:17:00,,
EPSOM DOWNS - SUTTON (SURREY),X06686,47,stop,2026-04-19,00:47:00,,
STREATHAM HILL - EPSOM DOWNS,P26189,2357,stop,2026-04-18,00:40:00,,
EPSOM DOWNS - SUTTON (SURREY),P43746,5,stop,2026-04-08,00:05:00,,
EPSOM DOWNS - SUTTON (SURREY),P43746,5,stop,2026-04-02,00:05:00,,
SELHURST - EPSOM DOWNS,P26006,556,stop,2026-04-29,06:23:00,,
SELHURST - EPSOM DOWNS,P26006,556,stop,2026-04-03,06:23:00,,
SELHURST - EPSOM DOWNS,P26006,556,stop,2026-04-13,06:23:00,,
