route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
EARLSFIELD - GUILDFORD,1,EARLSFIELD,RAYNES PARK,stop,3.24,18.4,8,0
EARLSFIELD - GUILDFORD,2,RAYNES PARK,MOTSPUR PARK,stop,1.26,18.5,3,0
EARLSFIELD - GUILDFORD,3,MOTSPUR PARK,WORCESTER PARK,stop,1.11,17.1,2,0
EARLSFIELD - GUILDFORD,4,WORCESTER PARK,STONELEIGH,stop,1.43,17.1,3,0
EARLSFIELD - GUILDFORD,5,STONELEIGH,EWELL WEST,stop,1.22,17.2,3,0
EARLSFIELD - GUILDFORD,6,EWELL WEST,EPSOM,stop,1.36,42.6,3,0
EARLSFIELD - GUILDFORD,7,EPSOM,ASHTEAD,stop,25.77,79.0,4,1
EARLSFIELD - GUILDFORD,8,ASHTEAD,LEATHERHEAD,stop,22.01,76.0,3,0
EARLSFIELD - GUILDFORD,9,LEATHERHEAD,BOOKHAM,stop,2.74,39.8,6,0
EARLSFIELD - GUILDFORD,10,BOOKHAM,EFFINGHAM JUNCTION,stop,1.72,17.6,3,0
EARLSFIELD - GUILDFORD,11,EFFINGHAM JUNCTION,LONDON ROAD GUILDFORD,stop,8.29,17.6,9,1
EARLSFIELD - GUILDFORD,12,LONDON ROAD GUILDFORD,GUILDFORD,stop,0.77,36.4,4,0
EARLSFIELD - GUILDFORD (2),1,EARLSFIELD,RAYNES PARK,stop,3.24,18.4,8,0
EARLSFIELD - GUILDFORD (2),2,RAYNES PARK,MOTSPUR PARK,stop,1.26,18.5,3,0
EARLSFIELD - GUILDFORD (2),3,MOTSPUR PARK,WORCESTER PARK,stop,1.11,17.1,2,0
EARLSFIELD - GUILDFORD (2),4,WORCESTER PARK,STONELEIGH,stop,1.43,17.1,3,0
EARLSFIELD - GUILDFORD (2),5,STONELEIGH,EWELL WEST,stop,1.22,17.2,3,0
EARLSFIELD - GUILDFORD (2),6,EWELL WEST,EPSOM,stop,1.36,42.6,3,0
EARLSFIELD - GUILDFORD (2),7,EPSOM,ASHTEAD,stop,25.77,79.0,4,4
EARLSFIELD - GUILDFORD (2),8,ASHTEAD,LEATHERHEAD,stop,22.01,76.0,3,0
EARLSFIELD - GUILDFORD (2),9,LEATHERHEAD,BOOKHAM,stop,2.74,39.8,6,2
EARLSFIELD - GUILDFORD (2),10,BOOKHAM,EFFINGHAM JUNCTION,stop,1.72,17.6,3,0
EARLSFIELD - GUILDFORD (2),11,EFFINGHAM JUNCTION,HORSLEY,stop,1.23,17.6,2,1
EARLSFIELD - GUILDFORD (2),12,HORSLEY,CLANDON,stop,3.65,17.6,5,1
EARLSFIELD - GUILDFORD (2),13,CLANDON,LONDON ROAD GUILDFORD,stop,3.57,17.8,5,0
EARLSFIELD - GUILDFORD (2),14,LONDON ROAD GUILDFORD,GUILDFORD,stop,0.77,36.4,7,1
EFFINGHAM JUNCTION - WORCESTER PARK,1,EFFINGHAM JUNCTION,BOOKHAM,stop,1.72,17.6,9,0
EFFINGHAM JUNCTION - WORCESTER PARK,2,BOOKHAM,LEATHERHEAD,stop,2.74,39.8,11,0
EFFINGHAM JUNCTION - WORCESTER PARK,3,LEATHERHEAD,ASHTEAD,stop,22.01,76.0,11,0
EFFINGHAM JUNCTION - WORCESTER PARK,4,ASHTEAD,EPSOM,stop,25.77,79.0,10,0
EFFINGHAM JUNCTION - WORCESTER PARK,5,EPSOM,EWELL WEST,stop,1.36,42.6,8,0
EFFINGHAM JUNCTION - WORCESTER PARK,6,EWELL WEST,STONELEIGH,stop,1.22,17.2,7,0
EFFINGHAM JUNCTION - WORCESTER PARK,7,STONELEIGH,WORCESTER PARK,stop,1.43,17.1,11,0
GUILDFORD - EARLSFIELD,1,GUILDFORD,LONDON ROAD GUILDFORD,stop,0.77,36.4,4,0
GUILDFORD - EARLSFIELD,2,LONDON ROAD GUILDFORD,CLANDON,stop,3.57,17.8,5,0
GUILDFORD - EARLSFIELD,3,CLANDON,HORSLEY,stop,3.65,17.6,4,0
GUILDFORD - EARLSFIELD,4,HORSLEY,EFFINGHAM JUNCTION,stop,1.23,17.6,3,0
GUILDFORD - EARLSFIELD,5,EFFINGHAM JUNCTION,BOOKHAM,stop,1.72,17.6,3,1
GUILDFORD - EARLSFIELD,6,BOOKHAM,LEATHERHEAD,stop,2.74,39.8,5,0
GUILDFORD - EARLSFIELD,7,LEATHERHEAD,ASHTEAD,stop,22.01,76.0,3,1
GUILDFORD - EARLSFIELD,8,ASHTEAD,EPSOM,stop,25.77,79.0,5,0
GUILDFORD - EARLSFIELD,9,EPSOM,EWELL WEST,stop,1.36,42.6,3,5
GUILDFORD - EARLSFIELD,10,EWELL WEST,STONELEIGH,stop,1.22,17.2,3,0
GUILDFORD - EARLSFIELD,11,STONELEIGH,WORCESTER PARK,stop,1.43,17.1,3,0
GUILDFORD - EARLSFIELD,12,WORCESTER PARK,MOTSPUR PARK,stop,1.11,17.1,2,0
GUILDFORD - EARLSFIELD,13,MOTSPUR PARK,RAYNES PARK,stop,1.26,18.5,3,1
GUILDFORD - EARLSFIELD,14,RAYNES PARK,EARLSFIELD,stop,3.24,18.4,8,0
GUILDFORD - RAYNES PARK,1,GUILDFORD,LONDON ROAD GUILDFORD,stop,0.77,36.4,4,0
GUILDFORD - RAYNES PARK,2,LONDON ROAD GUILDFORD,CLANDON,stop,3.57,17.8,5,0
GUILDFORD - RAYNES PARK,3,CLANDON,HORSLEY,stop,3.65,17.6,4,0
GUILDFORD - RAYNES PARK,4,HORSLEY,EFFINGHAM JUNCTION,stop,1.23,17.6,3,0
GUILDFORD - RAYNES PARK,5,EFFINGHAM JUNCTION,BOOKHAM,stop,1.72,17.6,3,1
GUILDFORD - RAYNES PARK,6,BOOKHAM,LEATHERHEAD,stop,2.74,39.8,5,0
GUILDFORD - RAYNES PARK,7,LEATHERHEAD,ASHTEAD,stop,22.01,76.0,3,0
