route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
BALHAM - DORKING,1,BALHAM,MITCHAM EASTFIELDS,stop,2.82,16.9,7,0
BALHAM - DORKING,2,MITCHAM EASTFIELDS,MITCHAM JUNCTION,stop,1.19,17.0,3,0
BALHAM - DORKING,3,MITCHAM JUNCTION,HACKBRIDGE,stop,7.56,48.5,3,0
BALHAM - DORKING,4,HACKBRIDGE,CARSHALTON,stop,6.49,48.6,3,0
BALHAM - DORKING,5,CARSHALTON,SUTTON (SURREY),stop,1.31,17.2,4,0
BALHAM - DORKING,6,SUTTON (SURREY),CHEAM,stop,1.26,17.2,3,0
BALHAM - DORKING,7,CHEAM,EPSOM,stop,3.19,42.6,6,0
BALHAM - DORKING,8,EPSOM,ASHTEAD,stop,25.77,79.0,5,0
BALHAM - DORKING,9,ASHTEAD,LEATHERHEAD,stop,22.01,76.0,3,0
BALHAM - DORKING,10,LEATHERHEAD,DORKING,stop,4.26,39.9,6,1
BALHAM - DORKING (2),1,BALHAM,MITCHAM EASTFIELDS,stop,2.82,16.9,7,0
BALHAM - DORKING (2),2,MITCHAM EASTFIELDS,MITCHAM JUNCTION,stop,1.19,17.0,3,0
BALHAM - DORKING (2),3,MITCHAM JUNCTION,HACKBRIDGE,stop,7.56,48.5,3,0
BALHAM - DORKING (2),4,HACKBRIDGE,CARSHALTON,stop,6.49,48.6,3,0
BALHAM - DORKING (2),5,CARSHALTON,SUTTON (SURREY),stop,1.31,17.2,4,0
BALHAM - DORKING (2),6,SUTTON (SURREY),CHEAM,stop,1.26,17.2,3,0
BALHAM - DORKING (2),7,CHEAM,EWELL EAST,stop,1.54,17.2,3,0
BALHAM - DORKING (2),8,EWELL EAST,EPSOM,stop,1.65,42.6,4,1
BALHAM - DORKING (2),9,EPSOM,ASHTEAD,stop,25.77,79.0,5,0
BALHAM - DORKING (2),10,ASHTEAD,LEATHERHEAD,stop,22.01,76.0,3,0
BALHAM - DORKING (2),11,LEATHERHEAD,DORKING,stop,4.26,39.9,6,1
