route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
ALTON - SURBITON,1,ALTON,BENTLEY,stop,5.45,18.1,6,0
ALTON - SURBITON,2,BENTLEY,FARNHAM,stop,4.31,66.5,5,1
ALTON - SURBITON,3,FARNHAM,ALDERSHOT,stop,3.22,66.4,6,2
ALTON - SURBITON,4,ALDERSHOT,ASH VALE,stop,4.04,41.4,4,0
ALTON - SURBITON,5,ASH VALE,BROOKWOOD,stop,4.4,67.5,7,1
ALTON - SURBITON,6,BROOKWOOD,WOKING,stop,3.79,65.0,5,0
ALTON - SURBITON,7,WOKING,WEST BYFLEET,stop,123.77,79.0,5,1
ALTON - SURBITON,8,WEST BYFLEET,SURBITON,stop,126.89,57.5,10,0
ALTON - SURBITON (2),1,ALTON,FARNHAM,stop,9.7,66.6,10,0
ALTON - SURBITON (2),2,FARNHAM,ALDERSHOT,stop,3.22,66.4,6,3
ALTON - SURBITON (2),3,ALDERSHOT,ASH VALE,stop,4.04,41.4,4,0
ALTON - SURBITON (2),4,ASH VALE,BROOKWOOD,stop,4.4,67.5,7,1
ALTON - SURBITON (2),5,BROOKWOOD,WOKING,stop,3.79,65.0,5,0
ALTON - SURBITON (2),6,WOKING,WEST BYFLEET,stop,123.77,79.0,5,1
ALTON - SURBITON (2),7,WEST BYFLEET,SURBITON,stop,126.89,57.5,10,0
ALTON - SURBITON (3),1,ALTON,FARNHAM,stop,9.7,66.6,10,0
ALTON - SURBITON (3),2,FARNHAM,ALDERSHOT,stop,3.22,66.4,6,5
ALTON - SURBITON (3),3,ALDERSHOT,ASH VALE,stop,4.04,41.4,4,0
ALTON - SURBITON (3),4,ASH VALE,BROOKWOOD,stop,4.4,67.5,7,1
ALTON - SURBITON (3),5,BROOKWOOD,WOKING,stop,3.79,65.0,5,0
ALTON - SURBITON (3),6,WOKING,WEYBRIDGE,stop,11.17,40.0,6,5
ALTON - SURBITON (3),7,WEYBRIDGE,WALTON-ON-THAMES,stop,5.45,32.5,4,0
ALTON - SURBITON (3),8,WALTON-ON-THAMES,SURBITON,stop,3.9,31.0,6,0
ALTON - SURBITON (4),1,ALTON,BENTLEY,stop,5.45,18.1,6,0
ALTON - SURBITON (4),2,BENTLEY,FARNHAM,stop,4.31,66.5,5,1
ALTON - SURBITON (4),3,FARNHAM,ALDERSHOT,stop,3.22,66.4,6,2
ALTON - SURBITON (4),4,ALDERSHOT,ASH VALE,stop,4.04,41.4,4,0
ALTON - SURBITON (4),5,ASH VALE,BROOKWOOD,stop,4.4,67.5,7,1
ALTON - SURBITON (4),6,BROOKWOOD,WOKING,stop,3.79,65.0,5,0
ALTON - SURBITON (4),7,WOKING,WEST BYFLEET,stop,123.77,79.0,4,2
ALTON - SURBITON (4),8,WEST BYFLEET,WEYBRIDGE,stop,127.38,59.0,4,1
ALTON - SURBITON (4),9,WEYBRIDGE,WALTON-ON-THAMES,stop,5.45,32.5,3,1
ALTON - SURBITON (4),10,WALTON-ON-THAMES,SURBITON,stop,3.9,31.0,6,1
ALTON - SURBITON (5),1,ALTON,FARNHAM,stop,9.7,66.6,10,0
ALTON - SURBITON (5),2,FARNHAM,ALDERSHOT,stop,3.22,66.4,6,3
ALTON - SURBITON (5),3,ALDERSHOT,ASH VALE,stop,4.04,41.4,4,0
ALTON - SURBITON (5),4,ASH VALE,BROOKWOOD,stop,4.4,67.5,7,1
ALTON - SURBITON (5),5,BROOKWOOD,WOKING,stop,3.79,65.0,5,0
ALTON - SURBITON (5),6,WOKING,WEST BYFLEET,stop,123.77,79.0,4,2
ALTON - SURBITON (5),7,WEST BYFLEET,WEYBRIDGE,stop,127.38,59.0,4,1
ALTON - SURBITON (5),8,WEYBRIDGE,WALTON-ON-THAMES,stop,5.45,32.5,3,1
ALTON - SURBITON (5),9,WALTON-ON-THAMES,SURBITON,stop,3.9,31.0,6,2
ALTON - WALTON-ON-THAMES,1,ALTON,BENTLEY,stop,5.45,18.1,6,0
ALTON - WALTON-ON-THAMES,2,BENTLEY,FARNHAM,stop,4.31,66.5,5,1
ALTON - WALTON-ON-THAMES,3,FARNHAM,ALDERSHOT,stop,3.22,66.4,6,1
ALTON - WALTON-ON-THAMES,4,ALDERSHOT,ASH VALE,stop,4.04,41.4,4,0
ALTON - WALTON-ON-THAMES,5,ASH VALE,BROOKWOOD,stop,4.4,67.5,7,1
ALTON - WALTON-ON-THAMES,6,BROOKWOOD,WOKING,stop,3.79,65.0,6,0
ALTON - WALTON-ON-THAMES,7,WOKING,WALTON-ON-THAMES,stop,16.52,52.5,8,1
ALTON - WOKING,1,ALTON,BENTLEY,stop,5.45,18.1,6,0
ALTON - WOKING,2,BENTLEY,FARNHAM,stop,4.31,66.5,5,1
ALTON - WOKING,3,FARNHAM,ALDERSHOT,stop,3.22,66.4,6,2
ALTON - WOKING,4,ALDERSHOT,ASH VALE,stop,4.04,41.4,4,0
ALTON - WOKING,5,ASH VALE,BROOKWOOD,stop,4.4,67.5,7,1
ALTON - WOKING,6,BROOKWOOD,WOKING,stop,3.79,65.0,5,0
ANDOVER - WOKING,1,ANDOVER,WHITCHURCH (HAMPSHIRE),stop,7.97,30.0,8,0
ANDOVER - WOKING,2,WHITCHURCH (HAMPSHIRE),OVERTON,stop,4.16,60.0,6,0
ANDOVER - WOKING,3,OVERTON,BASINGSTOKE,stop,8.72,92.5,9,0
ANDOVER - WOKING,4,BASINGSTOKE,WOKING,stop,26.55,77.5,18,1
ANDOVER - WOKING (2),1,ANDOVER,BASINGSTOKE,stop,20.68,62.5,16,0
ANDOVER - WOKING (2),2,BASINGSTOKE,WOKING,stop,26.55,77.5,19,1
BASINGSTOKE - SURBITON,1,BASINGSTOKE,HOOK,stop,6.3,56.3,7,0
BASINGSTOKE - SURBITON,2,HOOK,WINCHFIELD,stop,2.74,17.6,4,0
BASINGSTOKE - SURBITON,3,WINCHFIELD,FLEET,stop,3.04,56.3,5,0
BASINGSTOKE - SURBITON,4,FLEET,FARNBOROUGH (MAIN),stop,4.46,85.0,5,0
BASINGSTOKE - SURBITON,5,FARNBOROUGH (MAIN),BROOKWOOD,stop,6.26,72.5,7,1
BASINGSTOKE - SURBITON,6,BROOKWOOD,WOKING,stop,3.79,65.0,5,0
BASINGSTOKE - SURBITON,7,WOKING,SURBITON,stop,13.92,38.5,11,1
BASINGSTOKE - SURBITON (2),1,BASINGSTOKE,HOOK,stop,6.3,56.3,7,0
BASINGSTOKE - SURBITON (2),2,HOOK,WINCHFIELD,stop,2.74,17.6,4,0
BASINGSTOKE - SURBITON (2),3,WINCHFIELD,FLEET,stop,3.04,56.3,5,0
BASINGSTOKE - SURBITON (2),4,FLEET,FARNBOROUGH (MAIN),stop,4.46,85.0,5,0
BASINGSTOKE - SURBITON (2),5,FARNBOROUGH (MAIN),BROOKWOOD,stop,6.26,72.5,7,1
BASINGSTOKE - SURBITON (2),6,BROOKWOOD,WOKING,stop,3.79,65.0,5,0
BASINGSTOKE - SURBITON (2),7,WOKING,WEYBRIDGE,stop,11.17,40.0,6,1
BASINGSTOKE - SURBITON (2),8,WEYBRIDGE,WALTON-ON-THAMES,stop,5.45,32.5,3,1
BASINGSTOKE - SURBITON (2),9,WALTON-ON-THAMES,SURBITON,stop,3.9,31.0,6,1
BASINGSTOKE - SURBITON (3),1,BASINGSTOKE,HOOK,stop,6.3,56.3,7,0
BASINGSTOKE - SURBITON (3),2,HOOK,WINCHFIELD,stop,2.74,17.6,4,0
BASINGSTOKE - SURBITON (3),3,WINCHFIELD,FLEET,stop,3.04,56.3,5,0
BASINGSTOKE - SURBITON (3),4,FLEET,FARNBOROUGH (MAIN),stop,4.46,85.0,5,0
BASINGSTOKE - SURBITON (3),5,FARNBOROUGH (MAIN),BROOKWOOD,stop,6.26,72.5,7,1
BASINGSTOKE - SURBITON (3),6,BROOKWOOD,WOKING,stop,3.79,65.0,5,0
BASINGSTOKE - SURBITON (3),7,WOKING,WEST BYFLEET,stop,123.77,79.0,4,4
BASINGSTOKE - SURBITON (3),8,WEST BYFLEET,WEYBRIDGE,stop,127.38,59.0,4,1
BASINGSTOKE - SURBITON (3),9,WEYBRIDGE,WALTON-ON-THAMES,stop,5.45,32.5,4,0
BASINGSTOKE - SURBITON (3),10,WALTON-ON-THAMES,SURBITON,stop,3.9,31.0,6,0
BASINGSTOKE - SURBITON (4),1,BASINGSTOKE,FLEET,stop,12.07,95.0,10,0
BASINGSTOKE - SURBITON (4),2,FLEET,FARNBOROUGH (MAIN),stop,4.46,85.0,5,2
BASINGSTOKE - SURBITON (4),3,FARNBOROUGH (MAIN),BROOKWOOD,stop,6.26,72.5,7,1
BASINGSTOKE - SURBITON (4),4,BROOKWOOD,WOKING,stop,3.79,65.0,5,0
BASINGSTOKE - SURBITON (4),5,WOKING,WEYBRIDGE,stop,11.17,40.0,6,8
BASINGSTOKE - SURBITON (4),6,WEYBRIDGE,WALTON-ON-THAMES,stop,5.45,32.5,4,0
BASINGSTOKE - SURBITON (4),7,WALTON-ON-THAMES,SURBITON,stop,3.9,31.0,7,0
BASINGSTOKE - WEYBRIDGE,1,BASINGSTOKE,HOOK,stop,6.3,56.3,7,0
BASINGSTOKE - WEYBRIDGE,2,HOOK,WINCHFIELD,stop,2.74,17.6,4,0
BASINGSTOKE - WEYBRIDGE,3,WINCHFIELD,FLEET,stop,3.04,56.3,5,0
BASINGSTOKE - WEYBRIDGE,4,FLEET,FARNBOROUGH (MAIN),stop,4.46,85.0,5,0
BASINGSTOKE - WEYBRIDGE,5,FARNBOROUGH (MAIN),WEYBRIDGE,stop,21.16,47.5,14,1
BASINGSTOKE - WOKING,1,BASINGSTOKE,FLEET,stop,12.07,95.0,10,0
BASINGSTOKE - WOKING,2,FLEET,FARNBOROUGH (MAIN),stop,4.46,85.0,5,1
BASINGSTOKE - WOKING,3,FARNBOROUGH (MAIN),WOKING,stop,10.04,67.5,9,1
BASINGSTOKE - WOKING (2),1,BASINGSTOKE,HOOK,stop,6.3,56.3,7,0
BASINGSTOKE - WOKING (2),2,HOOK,WINCHFIELD,stop,2.74,17.6,4,0
BASINGSTOKE - WOKING (2),3,WINCHFIELD,FLEET,stop,3.04,56.3,5,0
BASINGSTOKE - WOKING (2),4,FLEET,FARNBOROUGH (MAIN),stop,4.46,85.0,5,0
BASINGSTOKE - WOKING (2),5,FARNBOROUGH (MAIN),BROOKWOOD,stop,6.26,72.5,7,1
BASINGSTOKE - WOKING (2),6,BROOKWOOD,WOKING,stop,3.79,65.0,5,0
BOURNEMOUTH - WINCHESTER,1,BOURNEMOUTH,POKESDOWN,stop,2.93,21.5,4,0
BOURNEMOUTH - WINCHESTER,2,POKESDOWN,CHRISTCHURCH,stop,2.14,30.0,3,0
BOURNEMOUTH - WINCHESTER,3,CHRISTCHURCH,HINTON ADMIRAL,stop,3.74,30.0,5,1
BOURNEMOUTH - WINCHESTER,4,HINTON ADMIRAL,NEW MILTON,stop,2.99,23.0,4,0
BOURNEMOUTH - WINCHESTER,5,NEW MILTON,SWAY,stop,3.21,15.5,5,0
BOURNEMOUTH - WINCHESTER,6,SWAY,BROCKENHURST,stop,6.83,22.5,5,0
BOURNEMOUTH - WINCHESTER,7,BROCKENHURST,ASHURST NEW FOREST,stop,6.24,30.0,7,1
BOURNEMOUTH - WINCHESTER,8,ASHURST NEW FOREST,TOTTON,stop,3.16,30.0,4,1
BOURNEMOUTH - WINCHESTER,9,TOTTON,SOUTHAMPTON CENTRAL,stop,3.5,21.0,5,1
BOURNEMOUTH - WINCHESTER,10,SOUTHAMPTON CENTRAL,SOUTHAMPTON AIRPORT (PARKWAY),stop,4.18,21.0,7,10
BOURNEMOUTH - WINCHESTER,11,SOUTHAMPTON AIRPORT (PARKWAY),WINCHESTER,stop,9.6,62.5,9,1
BOURNEMOUTH - WOKING,1,BOURNEMOUTH,POKESDOWN,stop,2.93,21.5,4,0
BOURNEMOUTH - WOKING,2,POKESDOWN,CHRISTCHURCH,stop,2.14,30.0,3,0
BOURNEMOUTH - WOKING,3,CHRISTCHURCH,HINTON ADMIRAL,stop,3.74,30.0,5,1
BOURNEMOUTH - WOKING,4,HINTON ADMIRAL,NEW MILTON,stop,2.99,23.0,4,0
BOURNEMOUTH - WOKING,5,NEW MILTON,SWAY,stop,3.21,15.5,5,0
BOURNEMOUTH - WOKING,6,SWAY,BROCKENHURST,stop,6.83,22.5,4,0
BOURNEMOUTH - WOKING,7,BROCKENHURST,BEAULIEU ROAD,stop,1.55,22.5,6,1
BOURNEMOUTH - WOKING,8,BEAULIEU ROAD,ASHURST NEW FOREST,stop,4.72,22.5,4,0
BOURNEMOUTH - WOKING,9,ASHURST NEW FOREST,TOTTON,stop,3.16,30.0,4,0
BOURNEMOUTH - WOKING,10,TOTTON,SOUTHAMPTON CENTRAL,stop,3.5,21.0,5,1
BOURNEMOUTH - WOKING,11,SOUTHAMPTON CENTRAL,SOUTHAMPTON AIRPORT (PARKWAY),stop,4.18,21.0,7,2
BOURNEMOUTH - WOKING,12,SOUTHAMPTON AIRPORT (PARKWAY),EASTLEIGH,stop,1.91,30.0,3,1
BOURNEMOUTH - WOKING,13,EASTLEIGH,WINCHESTER,stop,7.7,62.5,9,1
BOURNEMOUTH - WOKING,14,WINCHESTER,BASINGSTOKE,stop,19.61,95.0,16,1
BOURNEMOUTH - WOKING,15,BASINGSTOKE,WOKING,stop,26.55,77.5,18,2
BOURNEMOUTH - WOKING (2),1,BOURNEMOUTH,POKESDOWN,stop,2.93,21.5,4,0
BOURNEMOUTH - WOKING (2),2,POKESDOWN,CHRISTCHURCH,stop,2.14,30.0,3,0
BOURNEMOUTH - WOKING (2),3,CHRISTCHURCH,HINTON ADMIRAL,stop,3.74,30.0,5,1
BOURNEMOUTH - WOKING (2),4,HINTON ADMIRAL,NEW MILTON,stop,2.99,23.0,4,0
BOURNEMOUTH - WOKING (2),5,NEW MILTON,SWAY,stop,3.21,15.5,5,0
BOURNEMOUTH - WOKING (2),6,SWAY,BROCKENHURST,stop,6.83,22.5,4,0
BOURNEMOUTH - WOKING (2),7,BROCKENHURST,ASHURST NEW FOREST,stop,6.24,30.0,10,1
BOURNEMOUTH - WOKING (2),8,ASHURST NEW FOREST,TOTTON,stop,3.16,30.0,4,0
BOURNEMOUTH - WOKING (2),9,TOTTON,SOUTHAMPTON CENTRAL,stop,3.5,21.0,6,1
BOURNEMOUTH - WOKING (2),10,SOUTHAMPTON CENTRAL,SOUTHAMPTON AIRPORT (PARKWAY),stop,4.18,21.0,7,2
BOURNEMOUTH - WOKING (2),11,SOUTHAMPTON AIRPORT (PARKWAY),WINCHESTER,stop,9.6,62.5,8,1
BOURNEMOUTH - WOKING (2),12,WINCHESTER,BASINGSTOKE,stop,19.61,95.0,18,1
BOURNEMOUTH - WOKING (2),13,BASINGSTOKE,FLEET,stop,12.07,95.0,11,1
BOURNEMOUTH - WOKING (2),14,FLEET,FARNBOROUGH (MAIN),stop,4.46,85.0,5,0
BOURNEMOUTH - WOKING (2),15,FARNBOROUGH (MAIN),WOKING,stop,10.04,67.5,9,1
BOURNEMOUTH - WOKING (3),1,BOURNEMOUTH,NEW MILTON,stop,7.37,14.5,11,0
BOURNEMOUTH - WOKING (3),2,NEW MILTON,BROCKENHURST,stop,10.01,23.0,7,0
BOURNEMOUTH - WOKING (3),3,BROCKENHURST,SOUTHAMPTON CENTRAL,stop,10.86,21.0,15,1
BOURNEMOUTH - WOKING (3),4,SOUTHAMPTON CENTRAL,SOUTHAMPTON AIRPORT (PARKWAY),stop,4.18,21.0,7,1
BOURNEMOUTH - WOKING (3),5,SOUTHAMPTON AIRPORT (PARKWAY),WINCHESTER,stop,9.6,62.5,8,1
BOURNEMOUTH - WOKING (3),6,WINCHESTER,BASINGSTOKE,stop,19.61,95.0,16,1
BOURNEMOUTH - WOKING (3),7,BASINGSTOKE,WOKING,stop,26.55,77.5,19,2
BOURNEMOUTH - WOKING (4),1,BOURNEMOUTH,POKESDOWN,stop,2.93,21.5,4,0
BOURNEMOUTH - WOKING (4),2,POKESDOWN,CHRISTCHURCH,stop,2.14,30.0,3,0
BOURNEMOUTH - WOKING (4),3,CHRISTCHURCH,HINTON ADMIRAL,stop,3.74,30.0,5,1
BOURNEMOUTH - WOKING (4),4,HINTON ADMIRAL,NEW MILTON,stop,2.99,23.0,4,0
BOURNEMOUTH - WOKING (4),5,NEW MILTON,SWAY,stop,3.21,15.5,5,0
BOURNEMOUTH - WOKING (4),6,SWAY,BROCKENHURST,stop,6.83,22.5,4,0
BOURNEMOUTH - WOKING (4),7,BROCKENHURST,ASHURST NEW FOREST,stop,6.24,30.0,8,1
BOURNEMOUTH - WOKING (4),8,ASHURST NEW FOREST,TOTTON,stop,3.16,30.0,4,0
BOURNEMOUTH - WOKING (4),9,TOTTON,SOUTHAMPTON CENTRAL,stop,3.5,21.0,5,1
BOURNEMOUTH - WOKING (4),10,SOUTHAMPTON CENTRAL,SOUTHAMPTON AIRPORT (PARKWAY),stop,4.18,21.0,7,2
BOURNEMOUTH - WOKING (4),11,SOUTHAMPTON AIRPORT (PARKWAY),EASTLEIGH,stop,1.91,30.0,6,1
BOURNEMOUTH - WOKING (4),12,EASTLEIGH,SHAWFORD,stop,3.99,30.0,6,2
BOURNEMOUTH - WOKING (4),13,SHAWFORD,WINCHESTER,stop,3.74,62.5,5,0
BOURNEMOUTH - WOKING (4),14,WINCHESTER,MICHELDEVER,stop,9.51,62.5,9,1
BOURNEMOUTH - WOKING (4),15,MICHELDEVER,BASINGSTOKE,stop,10.98,62.5,10,0
BOURNEMOUTH - WOKING (4),16,BASINGSTOKE,WOKING,stop,26.55,77.5,18,2
EARLSFIELD - GUILDFORD,1,EARLSFIELD,RAYNES PARK,stop,3.24,18.4,7,0
EARLSFIELD - GUILDFORD,2,RAYNES PARK,NEW MALDEN,stop,6.04,15.0,3,0
EARLSFIELD - GUILDFORD,3,NEW MALDEN,BERRYLANDS,stop,6.02,13.5,3,0
EARLSFIELD - GUILDFORD,4,BERRYLANDS,SURBITON,stop,1.19,17.0,4,0
EARLSFIELD - GUILDFORD,5,SURBITON,HINCHLEY WOOD,stop,2.29,17.1,4,1
EARLSFIELD - GUILDFORD,6,HINCHLEY WOOD,CLAYGATE,stop,1.2,17.1,2,0
EARLSFIELD - GUILDFORD,7,CLAYGATE,OXSHOTT,stop,2.03,17.2,4,0
EARLSFIELD - GUILDFORD,8,OXSHOTT,COBHAM AND STOKE D'ABERNON,stop,2.02,17.4,3,0
EARLSFIELD - GUILDFORD,9,COBHAM AND STOKE D'ABERNON,EFFINGHAM JUNCTION,stop,2.57,17.4,4,0
EARLSFIELD - GUILDFORD,10,EFFINGHAM JUNCTION,HORSLEY,stop,1.23,17.6,2,1
EARLSFIELD - GUILDFORD,11,HORSLEY,CLANDON,stop,3.65,17.6,5,0
EARLSFIELD - GUILDFORD,12,CLANDON,LONDON ROAD GUILDFORD,stop,3.57,17.8,5,0
EARLSFIELD - GUILDFORD,13,LONDON ROAD GUILDFORD,GUILDFORD,stop,0.77,36.4,4,0
EARLSFIELD - HAMPTON COURT,1,EARLSFIELD,RAYNES PARK,stop,3.24,18.4,7,0
EARLSFIELD - HAMPTON COURT,2,RAYNES PARK,NEW MALDEN,stop,6.04,15.0,3,0
EARLSFIELD - HAMPTON COURT,3,NEW MALDEN,BERRYLANDS,stop,6.02,13.5,3,0
EARLSFIELD - HAMPTON COURT,4,BERRYLANDS,SURBITON,stop,1.19,17.0,4,0
EARLSFIELD - HAMPTON COURT,5,SURBITON,THAMES DITTON,stop,1.79,17.1,4,1
EARLSFIELD - HAMPTON COURT,6,THAMES DITTON,HAMPTON COURT,stop,1.08,17.1,3,0
EARLSFIELD - WOKING,1,EARLSFIELD,RAYNES PARK,stop,3.24,18.4,7,0
EARLSFIELD - WOKING,2,RAYNES PARK,NEW MALDEN,stop,6.04,15.0,3,0
EARLSFIELD - WOKING,3,NEW MALDEN,BERRYLANDS,stop,6.02,13.5,3,0
EARLSFIELD - WOKING,4,BERRYLANDS,SURBITON,stop,1.19,17.0,3,0
EARLSFIELD - WOKING,5,SURBITON,ESHER,stop,2.7,17.1,4,3
EARLSFIELD - WOKING,6,ESHER,HERSHAM,stop,1.72,17.1,3,0
EARLSFIELD - WOKING,7,HERSHAM,WALTON-ON-THAMES,stop,7.63,31.1,2,0
EARLSFIELD - WOKING,8,WALTON-ON-THAMES,WEYBRIDGE,stop,5.45,32.5,3,1
EARLSFIELD - WOKING,9,WEYBRIDGE,BYFLEET & NEW HAW,stop,6.79,18.6,2,1
