route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
REIGATE - EAST CROYDON,1,REIGATE,REDHILL,stop,1.88,47.9,5,0
REIGATE - EAST CROYDON,2,REDHILL,MERSTHAM,stop,1.98,47.9,4,3
REIGATE - EAST CROYDON,3,MERSTHAM,COULSDON SOUTH,stop,4.1,17.5,5,0
REIGATE - EAST CROYDON,4,COULSDON SOUTH,PURLEY,stop,2.12,17.4,4,0
REIGATE - EAST CROYDON,5,PURLEY,EAST CROYDON,stop,3.07,36.1,5,1
REIGATE - REDHILL,1,REIGATE,REDHILL,stop,1.88,47.9,5,0
REIGATE - THREE BRIDGES,1,REIGATE,THREE BRIDGES,stop,10.13,18.1,46,0
REDHILL - TONBRIDGE,1,REDHILL,NUTFIELD,stop,2.01,48.0,4,0
REDHILL - TONBRIDGE,2,NUTFIELD,GODSTONE,stop,4.11,17.9,6,0
REDHILL - TONBRIDGE,3,GODSTONE,EDENBRIDGE,stop,5.59,17.9,5,0
REDHILL - TONBRIDGE,4,EDENBRIDGE,PENSHURST,stop,5.74,18.0,7,0
REDHILL - TONBRIDGE,5,PENSHURST,LEIGH,stop,1.86,18.0,3,0
REDHILL - TONBRIDGE,6,LEIGH,TONBRIDGE,stop,2.93,31.5,5,0
TONBRIDGE - REDHILL,1,TONBRIDGE,LEIGH,stop,2.93,31.5,4,0
TONBRIDGE - REDHILL,2,LEIGH,PENSHURST,stop,1.86,18.0,4,0
TONBRIDGE - REDHILL,3,PENSHURST,EDENBRIDGE,stop,5.74,18.0,7,0
TONBRIDGE - REDHILL,4,EDENBRIDGE,GODSTONE,stop,5.59,17.9,6,0
TONBRIDGE - REDHILL,5,GODSTONE,NUTFIELD,stop,4.11,17.9,5,1
TONBRIDGE - REDHILL,6,NUTFIELD,REDHILL,stop,2.01,48.0,4,1
