route_variant,train_uid,origin_departure,stop_type,date,departure_time,train_class,number_of_coaches
REIGATE - REDHILL,G72554,2359,stop,2026-04-28,23:59:00,,
REIGATE - REDHILL,G72553,1,stop,2026-04-12,00:01:00,,
REIGATE - REDHILL,G72553,1,stop,2026-04-26,00:01:00,,
REIGATE - REDHILL,X99156,1,stop,2026-04-04,00:01:00,,
REIGATE - REDHILL,X02745,1,stop,2026-04-07,00:01:00,,
REIGATE - REDHILL,G72554,2359,stop,2026-04-17,23:59:00,,
REIGATE - REDHILL,G72554,2359,stop,2026-04-09,23:59:00,,
REIGATE - REDHILL,G72554,2359,stop,2026-04-30,23:59:00,,
REIGATE - REDHILL,G72554,2359,stop,2026-04-29,23:59:00,,
REIGATE - REDHILL,G72554,2359,stop,2026-04-08,23:59:00,,
REIGATE - REDHILL,G72554,2359,stop,2026-04-22,23:59:00,,
REDHILL - TONBRIDGE,P43503,2329,stop,2026-04-26,23:33:00,,
REIGATE - REDHILL,X05887,2331,stop,2026-04-18,23:31:00,,
TONBRIDGE - REDHILL,P43507,2304,stop,2026-04-19,23:31:00,,
TONBRIDGE - REDHILL,P43504,2302,stop,2026-04-14,23:30:00,,
TONBRIDGE - REDHILL,P43504,2302,stop,2026-04-13,23:30:00,,
REIGATE - REDHILL,W58397,2330,stop,2026-04-18,23:30:00,,
REIGATE - REDHILL,W58397,2330,stop,2026-04-04,23:30:00,,
TONBRIDGE - REDHILL,P43504,2302,stop,2026-04-15,23:30:00,,
REIGATE - REDHILL,W58397,2330,stop,2026-04-25,23:30:00,,
REIGATE - REDHILL,X93537,2330,stop,2026-04-03,23:30:00,,
REIGATE - REDHILL,X04998,5,stop,2026-04-14,00:05:00,,
REIGATE - REDHILL,X04998,5,stop,2026-04-16,00:05:00,,
REIGATE - REDHILL,X04998,5,stop,2026-04-17,00:05:00,,
TONBRIDGE - REDHILL,P43505,2337,stop,2026-04-25,00:04:00,,
TONBRIDGE - REDHILL,X01709,2336,stop,2026-04-06,00:03:00,,
TONBRIDGE - REDHILL,P43506,2336,stop,2026-04-09,00:03:00,,
TONBRIDGE - REDHILL,P43506,2336,stop,2026-04-08,00:03:00,,
TONBRIDGE - REDHILL,P43506,2336,stop,2026-04-20,00:03:00,,
TONBRIDGE - REDHILL,P43506,2336,stop,2026-04-27,00:03:00,,
TONBRIDGE - REDHILL,P43506,2336,stop,2026-04-29,00:03:00,,
TONBRIDGE - REDHILL,P43506,2336,stop,2026-04-23,00:03:00,,
TONBRIDGE - REDHILL,P43506,2336,stop,2026-04-21,00:03:00,,
