route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
DORKING - EARLSFIELD,1,DORKING,BOX HILL & WESTHUMBLE,stop,0.97,17.8,3,0
DORKING - EARLSFIELD,2,BOX HILL & WESTHUMBLE,LEATHERHEAD,stop,3.31,39.9,5,0
DORKING - EARLSFIELD,3,LEATHERHEAD,ASHTEAD,stop,22.01,76.0,3,0
DORKING - EARLSFIELD,4,ASHTEAD,EPSOM,stop,25.77,79.0,5,0
DORKING - EARLSFIELD,5,EPSOM,EWELL WEST,stop,1.36,42.6,3,1
DORKING - EARLSFIELD,6,EWELL WEST,STONELEIGH,stop,1.22,17.2,3,0
DORKING - EARLSFIELD,7,STONELEIGH,WORCESTER PARK,stop,1.43,17.1,3,0
DORKING - EARLSFIELD,8,WORCESTER PARK,MOTSPUR PARK,stop,1.11,17.1,3,0
DORKING - EARLSFIELD,9,MOTSPUR PARK,RAYNES PARK,stop,1.26,18.5,3,1
DORKING - EARLSFIELD,10,RAYNES PARK,EARLSFIELD,stop,3.24,18.4,7,1
DORKING - WORCESTER PARK,1,DORKING,BOX HILL & WESTHUMBLE,stop,0.97,17.8,5,0
DORKING - WORCESTER PARK,2,BOX HILL & WESTHUMBLE,LEATHERHEAD,stop,3.31,39.9,10,0
DORKING - WORCESTER PARK,3,LEATHERHEAD,ASHTEAD,stop,22.01,76.0,11,0
DORKING - WORCESTER PARK,4,ASHTEAD,EPSOM,stop,25.77,79.0,10,0
DORKING - WORCESTER PARK,5,EPSOM,EWELL WEST,stop,1.36,42.6,8,0
DORKING - WORCESTER PARK,6,EWELL WEST,STONELEIGH,stop,1.22,17.2,7,0
DORKING - WORCESTER PARK,7,STONELEIGH,WORCESTER PARK,stop,1.43,17.1,11,0
EARLSFIELD - DORKING,1,EARLSFIELD,RAYNES PARK,stop,3.24,18.4,8,0
EARLSFIELD - DORKING,2,RAYNES PARK,MOTSPUR PARK,stop,1.26,18.5,3,0
EARLSFIELD - DORKING,3,MOTSPUR PARK,WORCESTER PARK,stop,1.11,17.1,2,0
EARLSFIELD - DORKING,4,WORCESTER PARK,STONELEIGH,stop,1.43,17.1,3,0
EARLSFIELD - DORKING,5,STONELEIGH,EWELL WEST,stop,1.22,17.2,3,0
EARLSFIELD - DORKING,6,EWELL WEST,EPSOM,stop,1.36,42.6,4,0
EARLSFIELD - DORKING,7,EPSOM,ASHTEAD,stop,25.77,79.0,4,1
EARLSFIELD - DORKING,8,ASHTEAD,LEATHERHEAD,stop,22.01,76.0,3,0
EARLSFIELD - DORKING,9,LEATHERHEAD,BOX HILL & WESTHUMBLE,stop,3.31,39.9,5,0
EARLSFIELD - DORKING,10,BOX HILL & WESTHUMBLE,DORKING,stop,0.97,17.8,5,0
EARLSFIELD - EPSOM,1,EARLSFIELD,RAYNES PARK,stop,3.24,18.4,8,0
EARLSFIELD - EPSOM,2,RAYNES PARK,MOTSPUR PARK,stop,1.26,18.5,3,1
EARLSFIELD - EPSOM,3,MOTSPUR PARK,WORCESTER PARK,stop,1.11,17.1,2,0
EARLSFIELD - EPSOM,4,WORCESTER PARK,STONELEIGH,stop,1.43,17.1,3,0
EARLSFIELD - EPSOM,5,STONELEIGH,EWELL WEST,stop,1.22,17.2,3,0
EARLSFIELD - EPSOM,6,EWELL WEST,EPSOM,stop,1.36,42.6,3,0
EARLSFIELD - GUILDFORD,1,EARLSFIELD,RAYNES PARK,stop,3.24,18.4,8,0
EARLSFIELD - GUILDFORD,2,RAYNES PARK,MOTSPUR PARK,stop,1.26,18.5,3,0
EARLSFIELD - GUILDFORD,3,MOTSPUR PARK,WORCESTER PARK,stop,1.11,17.1,2,0
EARLSFIELD - GUILDFORD,4,WORCESTER PARK,STONELEIGH,stop,1.43,17.1,3,0
EARLSFIELD - GUILDFORD,5,STONELEIGH,EWELL WEST,stop,1.22,17.2,3,0
EARLSFIELD - GUILDFORD,6,EWELL WEST,EPSOM,stop,1.36,42.6,3,0
EARLSFIELD - GUILDFORD,7,EPSOM,ASHTEAD,stop,25.77,79.0,4,1
EARLSFIELD - GUILDFORD,8,ASHTEAD,LEATHERHEAD,stop,22.01,76.0,3,0
EARLSFIELD - GUILDFORD,9,LEATHERHEAD,BOOKHAM,stop,2.74,39.8,6,0
EARLSFIELD - GUILDFORD,10,BOOKHAM,EFFINGHAM JUNCTION,stop,1.72,17.6,3,0
EARLSFIELD - GUILDFORD,11,EFFINGHAM JUNCTION,LONDON ROAD GUILDFORD,stop,8.29,17.6,9,1
EARLSFIELD - GUILDFORD,12,LONDON ROAD GUILDFORD,GUILDFORD,stop,0.77,36.4,4,0
