route_variant,train_uid,origin_departure,stop_type,date,departure_time,train_class,number_of_coaches
BALHAM - DORKING,P26581,611,stop,2026-04-08,06:43:00,377,4
BALHAM - DORKING,P26581,611,stop,2026-04-07,06:43:00,377,4
BALHAM - DORKING,X01848,611,stop,2026-04-06,06:43:00,377,4
BALHAM - DORKING,P26581,611,stop,2026-04-06,06:43:00,377,4
BALHAM - DORKING,P26582,611,stop,2026-04-11,06:43:00,377,4
BALHAM - DORKING,P26581,611,stop,2026-04-27,06:43:00,377,4
BALHAM - DORKING,P26582,611,stop,2026-04-25,06:43:00,377,4
BALHAM - DORKING,P26581,611,stop,2026-04-24,06:43:00,377,4
BALHAM - DORKING,P26581,611,stop,2026-04-28,06:43:00,377,4
BALHAM - DORKING,P26581,611,stop,2026-04-17,06:43:00,377,4
BALHAM - DORKING,P26581,611,stop,2026-04-15,06:43:00,377,4
BALHAM - DORKING,P26581,611,stop,2026-04-02,06:43:00,377,4
BALHAM - DORKING,P26581,611,stop,2026-04-16,06:43:00,377,4
BALHAM - DORKING,P26581,611,stop,2026-04-14,06:43:00,377,4
BALHAM - DORKING,P26581,611,stop,2026-04-01,06:43:00,377,4
BALHAM - DORKING,P26581,611,stop,2026-04-30,06:43:00,377,4
BALHAM - DORKING,P26581,611,stop,2026-04-03,06:43:00,377,4
BALHAM - DORKING,X96949,611,stop,2026-04-03,06:43:00,377,4
BALHAM - DORKING,P26581,611,stop,2026-04-29,06:43:00,377,4
BALHAM - DORKING,P26581,611,stop,2026-04-13,06:43:00,377,4
BALHAM - DORKING,P26581,611,stop,2026-04-23,06:43:00,377,4
BALHAM - DORKING,P26581,611,stop,2026-04-09,06:43:00,377,4
BALHAM - DORKING,P26581,611,stop,2026-04-20,06:43:00,377,4
BALHAM - DORKING,P26581,611,stop,2026-04-21,06:43:00,377,4
BALHAM - DORKING,P26581,611,stop,2026-04-10,06:43:00,377,4
BALHAM - DORKING,P26582,611,stop,2026-04-04,06:43:00,377,4
BALHAM - DORKING,P26581,611,stop,2026-04-22,06:43:00,377,4
BALHAM - DORKING,P26590,711,stop,2026-04-20,07:43:00,377,4
BALHAM - DORKING,P26590,711,stop,2026-04-02,07:43:00,377,4
BALHAM - DORKING,P26590,711,stop,2026-04-29,07:43:00,377,4
BALHAM - DORKING,P26590,711,stop,2026-04-08,07:43:00,377,4
BALHAM - DORKING,P26590,711,stop,2026-04-14,07:43:00,377,4
BALHAM - DORKING,P26590,711,stop,2026-04-15,07:43:00,377,4
