route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
BALHAM - DORKING,1,CHEAM,EPSOM,stop,3.19,42.6,6,0.5
BALHAM - DORKING,2,EPSOM,ASHTEAD,stop,3,79,5,1
BALHAM - DORKING,3,ASHTEAD,LEATHERHEAD,stop,2.2,76,3,0.5
BALHAM - DORKING,4,LEATHERHEAD,DORKING,stop,4.26,39.9,6,1
BALHAM - DORKING (2),1,CHEAM,EWELL EAST,stop,1.54,17.2,3,0.5
BALHAM - DORKING (2),2,EWELL EAST,EPSOM,stop,1.65,42.6,4,1
BALHAM - DORKING (2),3,EPSOM,ASHTEAD,stop,3,79,5,1
BALHAM - DORKING (2),4,ASHTEAD,LEATHERHEAD,stop,2.2,76,3,0.5
BALHAM - DORKING (2),5,LEATHERHEAD,DORKING,stop,4.26,39.9,6,1
BALHAM - DORKING (3),1,CHEAM,EWELL EAST,stop,1.54,17.2,3,0.5
BALHAM - DORKING (3),2,EWELL EAST,EPSOM,stop,1.65,42.6,4,0.5
BALHAM - DORKING (3),3,EPSOM,ASHTEAD,stop,3,79,5,1
BALHAM - DORKING (3),4,ASHTEAD,LEATHERHEAD,stop,2.2,76,3,0.5
BALHAM - DORKING (3),5,LEATHERHEAD,BOX HILL & WESTHUMBLE,stop,3.31,39.9,5,0.5
BALHAM - DORKING (3),6,BOX HILL & WESTHUMBLE,DORKING,stop,0.97,17.8,2,0.5
BALHAM - DORKING (4),1,CHEAM,EPSOM,stop,3.19,42.6,5,0.5
BALHAM - DORKING (4),2,EPSOM,ASHTEAD,stop,3,79,5,1
BALHAM - DORKING (4),3,ASHTEAD,LEATHERHEAD,stop,2.2,76,3,0.5
BALHAM - DORKING (4),4,LEATHERHEAD,BOX HILL & WESTHUMBLE,stop,3.31,39.9,5,0.5
BALHAM - DORKING (4),5,BOX HILL & WESTHUMBLE,DORKING,stop,0.97,17.8,2,0.5
BALHAM - DORKING (5),1,CHEAM,EWELL EAST,stop,1.54,17.2,3,0.5
BALHAM - DORKING (5),2,EWELL EAST,EPSOM,stop,1.65,42.6,4,0.5
BALHAM - DORKING (5),3,EPSOM,ASHTEAD,stop,3,79,5,1
BALHAM - DORKING (5),4,ASHTEAD,LEATHERHEAD,stop,2.2,76,3,0.5
BALHAM - DORKING (5),5,LEATHERHEAD,DORKING,stop,4.26,39.9,6,0.5
BALHAM - DORKING (6),1,CHEAM,EWELL EAST,stop,1.54,17.2,3,0.5
BALHAM - DORKING (6),2,EWELL EAST,EPSOM,stop,1.65,42.6,4,0.5
BALHAM - DORKING (6),3,EPSOM,ASHTEAD,stop,3,79,5,1
BALHAM - DORKING (6),4,ASHTEAD,LEATHERHEAD,stop,2.2,76,3,0.5
BALHAM - DORKING (6),5,LEATHERHEAD,BOX HILL & WESTHUMBLE,stop,3.31,39.9,5,0.5
BALHAM - DORKING (6),6,BOX HILL & WESTHUMBLE,DORKING,stop,0.97,17.8,2,0.5
BALHAM - DORKING (7),1,CHEAM,EWELL EAST,stop,1.54,17.2,3,0.5
BALHAM - DORKING (7),2,EWELL EAST,EPSOM,stop,1.65,42.6,4,0.5
BALHAM - DORKING (7),3,EPSOM,ASHTEAD,stop,3,79,5,1
BALHAM - DORKING (7),4,ASHTEAD,LEATHERHEAD,stop,2.2,76,3,0.5
BALHAM - DORKING (7),5,LEATHERHEAD,BOX HILL & WESTHUMBLE,stop,3.31,39.9,5,0.5
BALHAM - DORKING (7),6,BOX HILL & WESTHUMBLE,DORKING,stop,0.97,17.8,2,0.5
BALHAM - DORKING (8),1,CHEAM,EPSOM,stop,3.19,42.6,6,0.5
BALHAM - DORKING (8),2,EPSOM,ASHTEAD,stop,3,79,5,1
BALHAM - DORKING (8),3,ASHTEAD,LEATHERHEAD,stop,2.2,76,3,0.5
BALHAM - DORKING (8),4,LEATHERHEAD,BOX HILL & WESTHUMBLE,stop,3.31,39.9,5,0.5
BALHAM - DORKING (8),5,BOX HILL & WESTHUMBLE,DORKING,stop,0.97,17.8,3,0.5
BALHAM - EPSOM,1,CHEAM,EWELL EAST,stop,1.54,17.2,3,0.5
BALHAM - EPSOM,2,EWELL EAST,EPSOM,stop,1.65,42.6,4,0.5
BALHAM - EPSOM (2),1,CHEAM,EWELL EAST,stop,1.54,17.2,3,0.5
BALHAM - EPSOM (2),2,EWELL EAST,EPSOM,stop,1.65,42.6,4,0.5
BALHAM - HORSHAM,1,CHEAM,EWELL EAST,stop,1.54,17.2,3,0.5
BALHAM - HORSHAM,2,EWELL EAST,EPSOM,stop,1.65,42.6,4,0.5
BALHAM - HORSHAM,3,EPSOM,ASHTEAD,stop,3,79,5,1
BALHAM - HORSHAM,4,ASHTEAD,LEATHERHEAD,stop,2.2,76,3,0.5
BALHAM - HORSHAM,5,LEATHERHEAD,BOX HILL & WESTHUMBLE,stop,3.31,39.9,5,0.5
BALHAM - HORSHAM,6,BOX HILL & WESTHUMBLE,DORKING,stop,0.97,17.8,3,0.5
BALHAM - HORSHAM,7,DORKING,HOLMWOOD,stop,4.86,18,7,0.5
BALHAM - HORSHAM,8,HOLMWOOD,OCKLEY,stop,2.44,18.1,4,0.5
BALHAM - HORSHAM (2),1,CHEAM,EWELL EAST,stop,1.54,17.2,3,0.5
BALHAM - HORSHAM (2),2,EWELL EAST,EPSOM,stop,1.65,42.6,4,0.5
BALHAM - HORSHAM (2),3,EPSOM,ASHTEAD,stop,3,79,5,1
BALHAM - HORSHAM (2),4,ASHTEAD,LEATHERHEAD,stop,2.2,76,3,0.5
BALHAM - HORSHAM (2),5,LEATHERHEAD,BOX HILL & WESTHUMBLE,stop,3.31,39.9,5,0.5
BALHAM - HORSHAM (2),6,BOX HILL & WESTHUMBLE,DORKING,stop,0.97,17.8,4,0.5
BALHAM - HORSHAM (2),7,DORKING,HOLMWOOD,stop,4.86,18,7,2
BALHAM - HORSHAM (2),8,HOLMWOOD,OCKLEY,stop,2.44,18.1,4,0.5
BATTERSEA PARK LONDON - EPSOM DOWNS,1,SUTTON (SURREY),BELMONT SURREY,stop,1.35,17.2,3,3
BATTERSEA PARK LONDON - EPSOM DOWNS,2,BELMONT SURREY,BANSTEAD,stop,1.35,17.4,4,0.5
BATTERSEA PARK LONDON - EPSOM DOWNS,3,BANSTEAD,EPSOM DOWNS,stop,1.59,17.4,3,0.5
CARSHALTON - EPSOM,1,CHEAM,EPSOM,stop,3.19,42.6,5,0.5
CHESSINGTON SOUTH - EARLSFIELD,1,TOLWORTH,MALDEN MANOR,stop,0.3,29.6,2,0.5
CHESSINGTON SOUTH - RAYNES PARK,1,TOLWORTH,MALDEN MANOR,stop,0.3,29.6,2,0.5
DORKING - BALHAM,1,DORKING,BOX HILL & WESTHUMBLE,stop,0.97,17.8,3,0.5
DORKING - BALHAM,2,BOX HILL & WESTHUMBLE,LEATHERHEAD,stop,3.31,39.9,5,0.5
DORKING - BALHAM,3,LEATHERHEAD,ASHTEAD,stop,2.2,76,4,0.5
DORKING - BALHAM,4,ASHTEAD,EPSOM,stop,3,79,4,1
DORKING - BALHAM,5,EPSOM,CHEAM,stop,3.19,42.6,5,0.5
DORKING - BALHAM,6,CHEAM,SUTTON (SURREY),stop,1.26,17.2,2,1
DORKING - BALHAM (2),1,DORKING,LEATHERHEAD,stop,4.26,39.9,7,0.5
DORKING - BALHAM (2),2,LEATHERHEAD,ASHTEAD,stop,2.2,76,4,0.5
DORKING - BALHAM (2),3,ASHTEAD,EPSOM,stop,3,79,5,1
DORKING - BALHAM (2),4,EPSOM,EWELL EAST,stop,1.65,42.6,5,1
DORKING - BALHAM (2),5,EWELL EAST,CHEAM,stop,1.54,17.2,3,0.5
DORKING - BALHAM (2),6,CHEAM,SUTTON (SURREY),stop,1.26,17.2,2,0.5
DORKING - BALHAM (3),1,DORKING,LEATHERHEAD,stop,4.26,39.9,7,0.5
DORKING - BALHAM (3),2,LEATHERHEAD,ASHTEAD,stop,2.2,76,4,0.5
DORKING - BALHAM (3),3,ASHTEAD,EPSOM,stop,3,79,5,1
DORKING - BALHAM (3),4,EPSOM,CHEAM,stop,3.19,42.6,5,0.5
DORKING - BALHAM (3),5,CHEAM,SUTTON (SURREY),stop,1.26,17.2,2,0.5
DORKING - BALHAM (4),1,DORKING,BOX HILL & WESTHUMBLE,stop,0.97,17.8,3,0.5
DORKING - BALHAM (4),2,BOX HILL & WESTHUMBLE,LEATHERHEAD,stop,3.31,39.9,4,0.5
DORKING - BALHAM (4),3,LEATHERHEAD,ASHTEAD,stop,2.2,76,4,0.5
DORKING - BALHAM (4),4,ASHTEAD,EPSOM,stop,3,79,5,1
DORKING - BALHAM (4),5,EPSOM,EWELL EAST,stop,1.65,42.6,5,0.5
DORKING - BALHAM (4),6,EWELL EAST,CHEAM,,1.54,17.2,3,0.5
DORKING - BALHAM (4),7,CHEAM,SUTTON (SURREY),stop,1.26,17.2,2,0.5
DORKING - BALHAM (5),1,DORKING,BOX HILL & WESTHUMBLE,stop,0.97,17.8,3,0.5
DORKING - BALHAM (5),2,BOX HILL & WESTHUMBLE,LEATHERHEAD,stop,3.31,39.9,4,0.5
DORKING - BALHAM (5),3,LEATHERHEAD,ASHTEAD,stop,2.2,76,4,0.5
DORKING - BALHAM (5),4,ASHTEAD,EPSOM,stop,3,79,4,1
DORKING - BALHAM (5),5,EPSOM,EWELL EAST,stop,1.65,42.6,4,1
DORKING - BALHAM (5),6,EWELL EAST,CHEAM,,1.54,17.2,3,1
DORKING - BALHAM (5),7,CHEAM,SUTTON (SURREY),stop,1.26,17.2,3,0.5
DORKING - BATTERSEA PARK LONDON,1,DORKING,BOX HILL & WESTHUMBLE,stop,0.97,17.8,3,0.5
DORKING - BATTERSEA PARK LONDON,2,BOX HILL & WESTHUMBLE,LEATHERHEAD,stop,3.31,39.9,4,0.5
DORKING - BATTERSEA PARK LONDON,3,LEATHERHEAD,ASHTEAD,stop,2.2,76,4,0.5
DORKING - BATTERSEA PARK LONDON,4,ASHTEAD,EPSOM,stop,3,79,4,1
DORKING - BATTERSEA PARK LONDON,5,EPSOM,EWELL EAST,stop,1.65,42.6,4,1
DORKING - BATTERSEA PARK LONDON,6,EWELL EAST,CHEAM,stop,1.54,17.2,3,1
DORKING - BATTERSEA PARK LONDON,7,CHEAM,SUTTON (SURREY),stop,1.26,17.2,3,0.5
DORKING - BATTERSEA PARK LONDON (2),1,DORKING,BOX HILL & WESTHUMBLE,stop,0.97,17.8,3,0.5
DORKING - BATTERSEA PARK LONDON (2),2,BOX HILL & WESTHUMBLE,LEATHERHEAD,stop,3.31,39.9,4,0.5
DORKING - BATTERSEA PARK LONDON (2),3,LEATHERHEAD,ASHTEAD,stop,2.2,76,4,0.5
DORKING - BATTERSEA PARK LONDON (2),4,ASHTEAD,EPSOM,stop,3,79,4,1
DORKING - BATTERSEA PARK LONDON (2),5,EPSOM,EWELL EAST,stop,1.65,42.6,4,1
DORKING - BATTERSEA PARK LONDON (2),6,EWELL EAST,CHEAM,stop,1.54,17.2,3,0.5
DORKING - BATTERSEA PARK LONDON (2),7,CHEAM,SUTTON (SURREY),stop,1.26,17.2,3,0.5
DORKING - DORKING,1,EPSOM,DORKING,pass,7.84,42.9,10,0
DORKING - DORKING (2),1,DORKING,EPSOM,stop,7.84,42.9,12,0.5
DORKING - EARLSFIELD,1,DORKING,BOX HILL & WESTHUMBLE,stop,0.97,17.8,3,0.5
DORKING - EARLSFIELD,2,BOX HILL & WESTHUMBLE,LEATHERHEAD,stop,3.31,39.9,5,0.5
DORKING - EARLSFIELD,3,LEATHERHEAD,ASHTEAD,stop,2.2,76,3,0.5
DORKING - EARLSFIELD,4,ASHTEAD,EPSOM,stop,3,79,5,1
DORKING - EARLSFIELD,5,EPSOM,EWELL WEST,stop,1.36,42.6,3,1
DORKING - MITCHAM EASTFIELDS,1,DORKING,BOX HILL & WESTHUMBLE,stop,0.97,17.8,3,0.5
DORKING - MITCHAM EASTFIELDS,2,BOX HILL & WESTHUMBLE,LEATHERHEAD,stop,3.31,39.9,4,0.5
DORKING - MITCHAM EASTFIELDS,3,LEATHERHEAD,ASHTEAD,stop,2.2,76,4,0.5
DORKING - MITCHAM EASTFIELDS,4,ASHTEAD,EPSOM,stop,3,79,5,1
DORKING - MITCHAM EASTFIELDS,5,EPSOM,EWELL EAST,stop,1.65,42.6,5,0.5
DORKING - MITCHAM EASTFIELDS,6,EWELL EAST,CHEAM,stop,1.54,17.2,3,0.5
DORKING - MITCHAM EASTFIELDS,7,CHEAM,SUTTON (SURREY),stop,1.26,17.2,2,0.5
DORKING - MITCHAM EASTFIELDS (2),1,DORKING,LEATHERHEAD,stop,4.26,39.9,6,0.5
DORKING - MITCHAM EASTFIELDS (2),2,LEATHERHEAD,ASHTEAD,stop,2.2,76,4,0.5
DORKING - MITCHAM EASTFIELDS (2),3,ASHTEAD,EPSOM,stop,3,79,5,1
DORKING - MITCHAM EASTFIELDS (2),4,EPSOM,EWELL EAST,stop,1.65,42.6,5,0.5
DORKING - MITCHAM EASTFIELDS (2),5,EWELL EAST,CHEAM,stop,1.54,17.2,3,0.5
DORKING - MITCHAM EASTFIELDS (2),6,CHEAM,SUTTON (SURREY),stop,1.26,17.2,2,0.5
DORKING - STREATHAM HILL,1,DORKING,BOX HILL & WESTHUMBLE,stop,0.97,17.8,3,0.5
DORKING - STREATHAM HILL,2,BOX HILL & WESTHUMBLE,LEATHERHEAD,stop,3.31,39.9,4,0.5
DORKING - STREATHAM HILL,3,LEATHERHEAD,ASHTEAD,stop,2.2,76,4,0.5
DORKING - STREATHAM HILL,4,ASHTEAD,EPSOM,stop,3,79,4,1
DORKING - STREATHAM HILL,5,EPSOM,CHEAM,stop,3.19,42.6,5,0.5
DORKING - STREATHAM HILL,6,CHEAM,SUTTON (SURREY),stop,1.26,17.2,3,0.5
DORKING - SUTTON (SURREY),1,LEATHERHEAD,ASHTEAD,stop,2.2,76,11,0.5
DORKING - SUTTON (SURREY),2,ASHTEAD,EPSOM,stop,3,79,10,1
DORKING - SUTTON (SURREY),3,EPSOM,EWELL EAST,stop,1.65,42.6,9,0.5
DORKING - SUTTON (SURREY),4,EWELL EAST,CHEAM,stop,1.54,17.2,3,0.5
DORKING - SUTTON (SURREY),5,CHEAM,SUTTON (SURREY),stop,1.26,17.2,10,0.5
DORKING - WEST CROYDON,1,DORKING,BOX HILL & WESTHUMBLE,stop,0.97,17.8,3,0.5
DORKING - WEST CROYDON,2,BOX HILL & WESTHUMBLE,LEATHERHEAD,stop,3.31,39.9,4,0.5
DORKING - WEST CROYDON,3,LEATHERHEAD,ASHTEAD,stop,2.2,76,4,0.5
DORKING - WEST CROYDON,4,ASHTEAD,EPSOM,stop,3,79,4,1
DORKING - WEST CROYDON,5,EPSOM,CHEAM,stop,3.19,42.6,5,0.5
DORKING - WEST CROYDON,6,CHEAM,SUTTON (SURREY),stop,1.26,17.2,4,1
DORKING - WORCESTER PARK,1,DORKING,BOX HILL & WESTHUMBLE,stop,0.97,17.8,5,0.5
DORKING - WORCESTER PARK,2,BOX HILL & WESTHUMBLE,LEATHERHEAD,stop,3.31,39.9,10,0.5
DORKING - WORCESTER PARK,3,LEATHERHEAD,ASHTEAD,stop,2.2,76,11,0.5
DORKING - WORCESTER PARK,4,ASHTEAD,EPSOM,stop,3,79,10,1
DORKING - WORCESTER PARK,5,EPSOM,EWELL WEST,stop,1.36,42.6,8,0.5
EARLSFIELD - CHESSINGTON SOUTH,1,MALDEN MANOR,TOLWORTH,stop,0.3,29.6,3,0.5
EARLSFIELD - DORKING,1,EWELL WEST,EPSOM,stop,1.36,42.6,4,0.5
EARLSFIELD - DORKING,2,EPSOM,ASHTEAD,stop,3,79,4,1
EARLSFIELD - DORKING,3,ASHTEAD,LEATHERHEAD,stop,2.2,76,3,0.5
EARLSFIELD - DORKING,4,LEATHERHEAD,BOX HILL & WESTHUMBLE,stop,3.31,39.9,5,0.5
EARLSFIELD - DORKING,5,BOX HILL & WESTHUMBLE,DORKING,stop,0.97,17.8,5,0.5
EARLSFIELD - EPSOM,1,EWELL WEST,EPSOM,stop,1.36,42.6,3,0.5
EARLSFIELD - GUILDFORD,1,EWELL WEST,EPSOM,stop,1.36,42.6,3,0.5
EARLSFIELD - GUILDFORD,2,EPSOM,ASHTEAD,stop,3,79,4,1
EARLSFIELD - GUILDFORD,3,ASHTEAD,LEATHERHEAD,stop,2.2,76,3,0.5
EARLSFIELD - GUILDFORD,4,LEATHERHEAD,BOOKHAM,stop,2.74,39.8,6,0.5
EARLSFIELD - GUILDFORD,5,BOOKHAM,EFFINGHAM JUNCTION,stop,1.72,17.6,3,0.5
EARLSFIELD - GUILDFORD,6,EFFINGHAM JUNCTION,LONDON ROAD GUILDFORD,stop,8.29,17.6,9,1
EARLSFIELD - GUILDFORD,1,SURBITON,HINCHLEY WOOD,stop,2.29,17.1,4,1
EARLSFIELD - GUILDFORD,2,HINCHLEY WOOD,CLAYGATE,stop,1.2,17.1,2,0.5
EARLSFIELD - GUILDFORD,3,CLAYGATE,OXSHOTT,stop,2.03,17.2,4,0.5
EARLSFIELD - GUILDFORD,4,OXSHOTT,COBHAM AND STOKE D'ABERNON,stop,2.02,17.4,3,0.5
EARLSFIELD - GUILDFORD,5,COBHAM AND STOKE D'ABERNON,EFFINGHAM JUNCTION,stop,2.57,17.4,4,0.5
EARLSFIELD - GUILDFORD,6,EFFINGHAM JUNCTION,HORSLEY,stop,1.23,17.6,2,1
EARLSFIELD - GUILDFORD,7,HORSLEY,CLANDON,stop,3.65,17.6,4,0.5
EARLSFIELD - GUILDFORD,8,CLANDON,LONDON ROAD GUILDFORD,stop,3.57,17.8,5,0.5
EARLSFIELD - GUILDFORD (2),1,EWELL WEST,EPSOM,stop,1.36,42.6,3,0.5
EARLSFIELD - GUILDFORD (2),2,EPSOM,ASHTEAD,stop,3,79,4,4
EARLSFIELD - GUILDFORD (2),3,ASHTEAD,LEATHERHEAD,stop,2.2,76,3,0.5
EARLSFIELD - GUILDFORD (2),4,LEATHERHEAD,BOOKHAM,stop,2.74,39.8,6,2
EARLSFIELD - GUILDFORD (2),5,BOOKHAM,EFFINGHAM JUNCTION,stop,1.72,17.6,3,0.5
EARLSFIELD - GUILDFORD (2),6,EFFINGHAM JUNCTION,HORSLEY,stop,1.23,17.6,2,1
EARLSFIELD - GUILDFORD (2),7,HORSLEY,CLANDON,stop,3.65,17.6,4,0.5
EARLSFIELD - GUILDFORD (2),8,CLANDON,LONDON ROAD GUILDFORD,stop,3.57,17.8,5,0.5
EARLSFIELD - GUILDFORD (4),1,BERRYLANDS,SURBITON,stop,1.19,17,4,0.5
