Station,TSS
ASHTEAD,Leatherhead_424
BANSTEAD,Leatherhead_424
BELMONT SURREY,Leatherhead_424
BERRYLANDS,Leatherhead_425
BOOKHAM,Leatherhead_425
CHEAM,Leatherhead_424
CLANDON,Leatherhead_425
CLAYGATE,Leatherhead_425
COBHAM AND STOKE D'ABERNON,Leatherhead_425
DORKING,Leatherhead_425
EFFINGHAM JUNCTION,Leatherhead_425
EPSOM,Leatherhead_424
EPSOM DOWNS,Leatherhead_424
EWELL EAST,Leatherhead_424
EWELL WEST,Leatherhead_424
GUILDFORD,Leatherhead_425
HINCHLEY WOOD,Leatherhead_425
HOLMWOOD,Leatherhead_425
HORSLEY,Leatherhead_425
LEATHERHEAD,Leatherhead_425
LONDON ROAD GUILDFORD,Leatherhead_425
MALDEN MANOR,Leatherhead_424
NUTFIELD,Leatherhead_425
OCKLEY,Leatherhead_425
OXSHOTT,Leatherhead_425
REIGATE,Leatherhead_425
REDHILL,Leatherhead_425
SURBITON,Leatherhead_425
SUTTON (SURREY),Leatherhead_424
TOLWORTH,Leatherhead_424
BOX HILL & WESTHUMBLE,Leatherhead_425
NEW MALDEN,Leatherhead_425
