service_date,train_uid,stp_indicator,headcode,origin_tiploc,origin_departure,darwin_rid,matching_method,confidence,train_class,number_of_coaches,failure_reason,mileage_status
2026-03-08,L72598,P,1B15,WATRLMN,0835H,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72599,P,1B19,WATRLMN,0935H,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72600,P,1B23,WATRLMN,1035H,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72602,P,1B27,WATRLMN,1135H,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72604,P,1B31,WATRLMN,1235H,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72606,P,1B35,WATRLMN,1335H,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72608,P,1B39,WATRLMN,1435H,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72610,P,1B43,WATRLMN,1535H,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72612,P,1B47,WATRLMN,1645,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72614,P,1B51,WATRLMN,1745,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72615,P,1B52,POOLE,1546,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72616,P,1B55,WATRLMN,1845,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72617,P,1B56,POOLE,1646,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72618,P,1B59,WATRLMN,1945,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72619,P,1B60,POOLE,1746,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72620,P,1B63,WATRLMN,2045,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72621,P,1B64,POOLE,1846,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72624,P,1B72,POOLE,2046,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72625,P,1B76,POOLE,2146,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72626,P,1T60,PHBR,1758,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72629,P,1T24,PHBR,0857H,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72631,P,1T28,PHBR,0955,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72632,P,1T32,PHBR,1055,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72633,P,1T36,PHBR,1156,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72634,P,1T40,PHBR,1255,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72635,P,1T44,PHBR,1355,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72636,P,1T48,PHBR,1455,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72637,P,1T52,PHBR,1558,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72638,P,1T56,PHBR,1658,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72639,P,1T64,PHBR,1858,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72640,P,1T68,PHBR,1958,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72803,P,1B20,SOTON,0755,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72807,P,1B26,POOLE,0919,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72828,P,1B75,WATRLMN,2345,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L72833,P,1B81,WATRLMN,0047H,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L73606,P,1T47,WATRLMN,1632,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L73611,P,1T51,WATRLMN,1732,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L73616,P,1T55,WATRLMN,1832,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L73621,P,1T59,WATRLMN,1932,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L73626,P,1T63,WATRLMN,2032,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L73631,P,1T67,WATRLMN,2132,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L73637,P,1T71,WATRLMN,2232,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L73640,P,1T75,WATRLMN,2332,,disabled,FAILED,,,darwin_api_not_configured,
2026-03-08,L75512,P,2L13,WOKING,0759,,disabled,FAILED,,,darwin_api_not_configured,
