route_variant,seq,from_station,to_station,distance_miles,run_min,wait_min
WOKING - POOLE,1,WOKING,BASINGSTOKE,,18,2
WOKING - POOLE,2,BASINGSTOKE,MICHELDEVER,,10,2
WOKING - POOLE,3,MICHELDEVER,WINCHESTER,,9,0
WOKING - POOLE,4,WINCHESTER,SHAWFORD,,4,1
WOKING - POOLE,5,SHAWFORD,EASTLEIGH,,6,0
WOKING - POOLE,6,EASTLEIGH,SOUTHAMPTON AIRPORT (PARKWAY),,4,4
WOKING - POOLE,7,SOUTHAMPTON AIRPORT (PARKWAY),SOUTHAMPTON CENTRAL,,7,1
WOKING - POOLE,8,SOUTHAMPTON CENTRAL,TOTTON,,5,1
WOKING - POOLE,9,TOTTON,ASHURST NEW FOREST,,4,1
WOKING - POOLE,10,ASHURST NEW FOREST,BEAULIEU ROAD,,5,0
WOKING - POOLE,11,BEAULIEU ROAD,BROCKENHURST,,6,0
WOKING - POOLE,12,BROCKENHURST,SWAY,,4,1
WOKING - POOLE,13,SWAY,NEW MILTON,,5,0
WOKING - POOLE,14,NEW MILTON,HINTON ADMIRAL,,4,0
WOKING - POOLE,15,HINTON ADMIRAL,CHRISTCHURCH,,5,0
WOKING - POOLE,16,CHRISTCHURCH,POKESDOWN,,4,0
WOKING - POOLE,17,POKESDOWN,BOURNEMOUTH,,4,0
WOKING - POOLE,18,BOURNEMOUTH,POOLE,,9,1
WOKING - POOLE (2),1,WOKING,BASINGSTOKE,,19,1
WOKING - POOLE (2),2,BASINGSTOKE,WINCHESTER,,16,1
WOKING - POOLE (2),3,WINCHESTER,EASTLEIGH,,8,1
WOKING - POOLE (2),4,EASTLEIGH,SOUTHAMPTON AIRPORT (PARKWAY),,3,1
WOKING - POOLE (2),5,SOUTHAMPTON AIRPORT (PARKWAY),SOUTHAMPTON CENTRAL,,7,1
WOKING - POOLE (2),6,SOUTHAMPTON CENTRAL,TOTTON,,5,2
WOKING - POOLE (2),7,TOTTON,ASHURST NEW FOREST,,5,0
WOKING - POOLE (2),8,ASHURST NEW FOREST,BEAULIEU ROAD,,4,0
WOKING - POOLE (2),9,BEAULIEU ROAD,BROCKENHURST,,6,0
WOKING - POOLE (2),10,BROCKENHURST,SWAY,,4,1
WOKING - POOLE (2),11,SWAY,NEW MILTON,,5,0
WOKING - POOLE (2),12,NEW MILTON,HINTON ADMIRAL,,4,0
WOKING - POOLE (2),13,HINTON ADMIRAL,CHRISTCHURCH,,5,0
WOKING - POOLE (2),14,CHRISTCHURCH,POKESDOWN,,4,0
WOKING - POOLE (2),15,POKESDOWN,BOURNEMOUTH,,4,0
WOKING - POOLE (2),16,BOURNEMOUTH,POOLE,,9,1
POOLE - WOKING,1,POOLE,BOURNEMOUTH,,9,0
POOLE - WOKING,2,BOURNEMOUTH,POKESDOWN,,4,2
POOLE - WOKING,3,POKESDOWN,CHRISTCHURCH,,3,0
POOLE - WOKING,4,CHRISTCHURCH,HINTON ADMIRAL,,5,1
POOLE - WOKING,5,HINTON ADMIRAL,NEW MILTON,,4,0
POOLE - WOKING,6,NEW MILTON,SWAY,,5,0
POOLE - WOKING,7,SWAY,BROCKENHURST,,4,0
POOLE - WOKING,8,BROCKENHURST,BEAULIEU ROAD,,6,1
POOLE - WOKING,9,BEAULIEU ROAD,ASHURST NEW FOREST,,4,0
POOLE - WOKING,10,ASHURST NEW FOREST,TOTTON,,4,0
POOLE - WOKING,11,TOTTON,SOUTHAMPTON CENTRAL,,5,1
POOLE - WOKING,12,SOUTHAMPTON CENTRAL,SOUTHAMPTON AIRPORT (PARKWAY),,7,2
POOLE - WOKING,13,SOUTHAMPTON AIRPORT (PARKWAY),EASTLEIGH,,3,1
POOLE - WOKING,14,EASTLEIGH,WINCHESTER,,9,1
POOLE - WOKING,15,WINCHESTER,BASINGSTOKE,,16,1
POOLE - WOKING,16,BASINGSTOKE,WOKING,,18,2
PORTSMOUTH HARBOUR - WOKING,1,PORTSMOUTH HARBOUR,PORTSMOUTH & SOUTHSEA,,3,0
PORTSMOUTH HARBOUR - WOKING,2,PORTSMOUTH & SOUTHSEA,FRATTON PORTSMOUTH,,3,2
PORTSMOUTH HARBOUR - WOKING,3,FRATTON PORTSMOUTH,HILSEA PORTSMOUTH,,4,1
PORTSMOUTH HARBOUR - WOKING,4,HILSEA PORTSMOUTH,COSHAM,,5,0
PORTSMOUTH HARBOUR - WOKING,5,COSHAM,PORTCHESTER,,5,0
PORTSMOUTH HARBOUR - WOKING,6,PORTCHESTER,FAREHAM,,5,0
PORTSMOUTH HARBOUR - WOKING,7,FAREHAM,BOTLEY,,7,1
PORTSMOUTH HARBOUR - WOKING,8,BOTLEY,HEDGE END,,4,0
PORTSMOUTH HARBOUR - WOKING,9,HEDGE END,EASTLEIGH,,6,1
PORTSMOUTH HARBOUR - WOKING,10,EASTLEIGH,SHAWFORD,,6,7
PORTSMOUTH HARBOUR - WOKING,11,SHAWFORD,WINCHESTER,,5,0
PORTSMOUTH HARBOUR - WOKING,12,WINCHESTER,MICHELDEVER,,9,1
PORTSMOUTH HARBOUR - WOKING,13,MICHELDEVER,BASINGSTOKE,,10,0
PORTSMOUTH HARBOUR - WOKING,14,BASINGSTOKE,FARNBOROUGH (MAIN),,13,2
PORTSMOUTH HARBOUR - WOKING,15,FARNBOROUGH (MAIN),WOKING,,10,1
PORTSMOUTH HARBOUR - WOKING (2),1,PORTSMOUTH HARBOUR,PORTSMOUTH & SOUTHSEA,,3,0
PORTSMOUTH HARBOUR - WOKING (2),2,PORTSMOUTH & SOUTHSEA,FRATTON PORTSMOUTH,,3,2
PORTSMOUTH HARBOUR - WOKING (2),3,FRATTON PORTSMOUTH,HILSEA PORTSMOUTH,,4,1
PORTSMOUTH HARBOUR - WOKING (2),4,HILSEA PORTSMOUTH,COSHAM,,5,0
PORTSMOUTH HARBOUR - WOKING (2),5,COSHAM,PORTCHESTER,,5,0
PORTSMOUTH HARBOUR - WOKING (2),6,PORTCHESTER,FAREHAM,,5,0
PORTSMOUTH HARBOUR - WOKING (2),7,FAREHAM,BOTLEY,,7,1
PORTSMOUTH HARBOUR - WOKING (2),8,BOTLEY,HEDGE END,,4,0
PORTSMOUTH HARBOUR - WOKING (2),9,HEDGE END,EASTLEIGH,,6,1
PORTSMOUTH HARBOUR - WOKING (2),10,EASTLEIGH,SHAWFORD,,6,7
PORTSMOUTH HARBOUR - WOKING (2),11,SHAWFORD,WINCHESTER,,5,0
PORTSMOUTH HARBOUR - WOKING (2),12,WINCHESTER,MICHELDEVER,,9,1
PORTSMOUTH HARBOUR - WOKING (2),13,MICHELDEVER,BASINGSTOKE,,13,0
PORTSMOUTH HARBOUR - WOKING (2),14,BASINGSTOKE,WOKING,,18,1
SOUTHAMPTON CENTRAL - WOKING,1,SOUTHAMPTON CENTRAL,SOUTHAMPTON AIRPORT (PARKWAY),,7,0
SOUTHAMPTON CENTRAL - WOKING,2,SOUTHAMPTON AIRPORT (PARKWAY),EASTLEIGH,,4,1
SOUTHAMPTON CENTRAL - WOKING,3,EASTLEIGH,SHAWFORD,,6,4
SOUTHAMPTON CENTRAL - WOKING,4,SHAWFORD,WINCHESTER,,5,0
SOUTHAMPTON CENTRAL - WOKING,5,WINCHESTER,MICHELDEVER,,9,1
SOUTHAMPTON CENTRAL - WOKING,6,MICHELDEVER,BASINGSTOKE,,10,0
SOUTHAMPTON CENTRAL - WOKING,7,BASINGSTOKE,WOKING,,18,2
POOLE - WOKING (2),1,POOLE,PARKSTONE,,4,0
POOLE - WOKING (2),2,PARKSTONE,BRANKSOME,,3,0
POOLE - WOKING (2),3,BRANKSOME,BOURNEMOUTH,,5,0
POOLE - WOKING (2),4,BOURNEMOUTH,POKESDOWN,,4,4
POOLE - WOKING (2),5,POKESDOWN,CHRISTCHURCH,,3,0
POOLE - WOKING (2),6,CHRISTCHURCH,HINTON ADMIRAL,,5,1
POOLE - WOKING (2),7,HINTON ADMIRAL,NEW MILTON,,4,0
POOLE - WOKING (2),8,NEW MILTON,SWAY,,5,0
POOLE - WOKING (2),9,SWAY,BROCKENHURST,,4,0
POOLE - WOKING (2),10,BROCKENHURST,ASHURST NEW FOREST,,10,1
POOLE - WOKING (2),11,ASHURST NEW FOREST,TOTTON,,4,0
POOLE - WOKING (2),12,TOTTON,SOUTHAMPTON CENTRAL,,6,1
POOLE - WOKING (2),13,SOUTHAMPTON CENTRAL,SOUTHAMPTON AIRPORT (PARKWAY),,7,2
POOLE - WOKING (2),14,SOUTHAMPTON AIRPORT (PARKWAY),WINCHESTER,,8,1
POOLE - WOKING (2),15,WINCHESTER,BASINGSTOKE,,18,1
POOLE - WOKING (2),16,BASINGSTOKE,FLEET,,11,1
POOLE - WOKING (2),17,FLEET,FARNBOROUGH (MAIN),,5,0
POOLE - WOKING (2),18,FARNBOROUGH (MAIN),WOKING,,9,1
WOKING - POOLE (3),1,WOKING,BASINGSTOKE,,19,1
WOKING - POOLE (3),2,BASINGSTOKE,WINCHESTER,,16,1
WOKING - POOLE (3),3,WINCHESTER,EASTLEIGH,,8,1
WOKING - POOLE (3),4,EASTLEIGH,SOUTHAMPTON AIRPORT (PARKWAY),,4,1
WOKING - POOLE (3),5,SOUTHAMPTON AIRPORT (PARKWAY),ST DENYS,,4,1
WOKING - POOLE (3),6,ST DENYS,SOUTHAMPTON CENTRAL,,5,0
WOKING - POOLE (3),7,SOUTHAMPTON CENTRAL,TOTTON,,5,3
WOKING - POOLE (3),8,TOTTON,BROCKENHURST,,10,1
WOKING - POOLE (3),9,BROCKENHURST,NEW MILTON,,6,2
WOKING - POOLE (3),10,NEW MILTON,CHRISTCHURCH,,6,1
WOKING - POOLE (3),11,CHRISTCHURCH,POKESDOWN,,3,1
WOKING - POOLE (3),12,POKESDOWN,BOURNEMOUTH,,4,0
WOKING - POOLE (3),13,BOURNEMOUTH,BRANKSOME,,5,1
WOKING - POOLE (3),14,BRANKSOME,PARKSTONE,,2,1
WOKING - POOLE (3),15,PARKSTONE,POOLE,,3,1
WOKING - BOURNEMOUTH,1,WOKING,BASINGSTOKE,,18,1
WOKING - BOURNEMOUTH,2,BASINGSTOKE,WINCHESTER,,15,2
WOKING - BOURNEMOUTH,3,WINCHESTER,EASTLEIGH,,8,1
WOKING - BOURNEMOUTH,4,EASTLEIGH,SOUTHAMPTON AIRPORT (PARKWAY),,4,1
WOKING - BOURNEMOUTH,5,SOUTHAMPTON AIRPORT (PARKWAY),SOUTHAMPTON CENTRAL,,7,0
WOKING - BOURNEMOUTH,6,SOUTHAMPTON CENTRAL,TOTTON,,5,2
WOKING - BOURNEMOUTH,7,TOTTON,BROCKENHURST,,10,1
WOKING - BOURNEMOUTH,8,BROCKENHURST,NEW MILTON,,6,1
WOKING - BOURNEMOUTH,9,NEW MILTON,CHRISTCHURCH,,6,1
WOKING - BOURNEMOUTH,10,CHRISTCHURCH,POKESDOWN,,3,1
WOKING - BOURNEMOUTH,11,POKESDOWN,BOURNEMOUTH,,4,0
WOKING - PORTSMOUTH HARBOUR,1,WOKING,FARNBOROUGH (MAIN),,10,2
WOKING - PORTSMOUTH HARBOUR,2,FARNBOROUGH (MAIN),BASINGSTOKE,,13,1
WOKING - PORTSMOUTH HARBOUR,3,BASINGSTOKE,MICHELDEVER,,10,2
WOKING - PORTSMOUTH HARBOUR,4,MICHELDEVER,WINCHESTER,,9,0
WOKING - PORTSMOUTH HARBOUR,5,WINCHESTER,SHAWFORD,,5,1
WOKING - PORTSMOUTH HARBOUR,6,SHAWFORD,EASTLEIGH,,5,0
WOKING - PORTSMOUTH HARBOUR,7,EASTLEIGH,HEDGE END,,6,9
