route_variant,date,departure_time,train_class,number_of_coaches
WOKING - POOLE,2026-03-08,08:36:00,,
WOKING - POOLE,2026-03-08,09:36:00,,
WOKING - POOLE,2026-03-08,10:36:00,,
WOKING - POOLE,2026-03-08,11:36:00,,
WOKING - POOLE,2026-03-08,12:36:00,,
WOKING - POOLE,2026-03-08,13:36:00,,
WOKING - POOLE,2026-03-08,14:36:00,,
WOKING - POOLE,2026-03-08,15:36:00,,
WOKING - POOLE (2),2026-03-08,16:45:00,,
WOKING - POOLE (2),2026-03-08,17:45:00,,
POOLE - WOKING,2026-03-08,15:46:00,,
WOKING - POOLE (2),2026-03-08,18:45:00,,
POOLE - WOKING,2026-03-08,16:46:00,,
WOKING - POOLE (2),2026-03-08,19:45:00,,
POOLE - WOKING,2026-03-08,17:46:00,,
WOKING - POOLE (2),2026-03-08,20:45:00,,
POOLE - WOKING,2026-03-08,18:46:00,,
POOLE - WOKING,2026-03-08,20:46:00,,
POOLE - WOKING,2026-03-08,21:46:00,,
PORTSMOUTH HARBOUR - WOKING,2026-03-08,17:58:00,,
PORTSMOUTH HARBOUR - WOKING (2),2026-03-08,08:58:00,,
PORTSMOUTH HARBOUR - WOKING (2),2026-03-08,09:55:00,,
PORTSMOUTH HARBOUR - WOKING (2),2026-03-08,10:55:00,,
PORTSMOUTH HARBOUR - WOKING (2),2026-03-08,11:56:00,,
PORTSMOUTH HARBOUR - WOKING (2),2026-03-08,12:55:00,,
PORTSMOUTH HARBOUR - WOKING (2),2026-03-08,13:55:00,,
PORTSMOUTH HARBOUR - WOKING (2),2026-03-08,14:55:00,,
PORTSMOUTH HARBOUR - WOKING,2026-03-08,15:58:00,,
PORTSMOUTH HARBOUR - WOKING,2026-03-08,16:58:00,,
PORTSMOUTH HARBOUR - WOKING,2026-03-08,18:58:00,,
PORTSMOUTH HARBOUR - WOKING,2026-03-08,19:58:00,,
SOUTHAMPTON CENTRAL - WOKING,2026-03-08,07:55:00,,
POOLE - WOKING (2),2026-03-08,09:19:00,,
WOKING - POOLE (3),2026-03-08,23:45:00,,
WOKING - BOURNEMOUTH,2026-03-08,00:48:00,,
WOKING - PORTSMOUTH HARBOUR,2026-03-08,16:32:00,,
WOKING - PORTSMOUTH HARBOUR,2026-03-08,17:32:00,,
WOKING - PORTSMOUTH HARBOUR,2026-03-08,18:32:00,,
WOKING - PORTSMOUTH HARBOUR,2026-03-08,19:32:00,,
WOKING - PORTSMOUTH HARBOUR,2026-03-08,20:32:00,,
WOKING - PORTSMOUTH HARBOUR,2026-03-08,21:32:00,,
WOKING - PORTSMOUTH HARBOUR,2026-03-08,22:32:00,,
WOKING - PORTSMOUTH HARBOUR (2),2026-03-08,23:32:00,,
WOKING - BASINGSTOKE,2026-03-08,07:59:00,,
BASINGSTOKE - SURBITON,2026-03-08,07:38:00,,
SURBITON - BASINGSTOKE,2026-03-08,09:59:00,,
BASINGSTOKE - SURBITON,2026-03-08,08:38:00,,
SURBITON - BASINGSTOKE,2026-03-08,10:59:00,,
BASINGSTOKE - SURBITON,2026-03-08,09:38:00,,
SURBITON - BASINGSTOKE,2026-03-08,11:59:00,,
BASINGSTOKE - SURBITON,2026-03-08,10:38:00,,
SURBITON - BASINGSTOKE,2026-03-08,12:59:00,,
BASINGSTOKE - SURBITON,2026-03-08,11:38:00,,
SURBITON - BASINGSTOKE,2026-03-08,13:59:00,,
BASINGSTOKE - SURBITON,2026-03-08,12:38:00,,
SURBITON - BASINGSTOKE,2026-03-08,14:59:00,,
BASINGSTOKE - SURBITON,2026-03-08,13:38:00,,
SURBITON - BASINGSTOKE,2026-03-08,15:59:00,,
BASINGSTOKE - SURBITON (2),2026-03-08,14:08:00,,
SURBITON - BASINGSTOKE (2),2026-03-08,16:36:00,,
BASINGSTOKE - SURBITON,2026-03-08,14:38:00,,
SURBITON - BASINGSTOKE,2026-03-08,16:59:00,,
BASINGSTOKE - SURBITON (2),2026-03-08,15:08:00,,
SURBITON - BASINGSTOKE (2),2026-03-08,17:36:00,,
BASINGSTOKE - SURBITON,2026-03-08,15:38:00,,
SURBITON - BASINGSTOKE,2026-03-08,17:59:00,,
BASINGSTOKE - SURBITON (2),2026-03-08,16:08:00,,
SURBITON - BASINGSTOKE (2),2026-03-08,18:36:00,,
BASINGSTOKE - SURBITON,2026-03-08,16:38:00,,
SURBITON - BASINGSTOKE,2026-03-08,18:59:00,,
BASINGSTOKE - SURBITON (2),2026-03-08,17:08:00,,
SURBITON - BASINGSTOKE (2),2026-03-08,19:36:00,,
BASINGSTOKE - SURBITON,2026-03-08,17:38:00,,
SURBITON - BASINGSTOKE,2026-03-08,19:59:00,,
BASINGSTOKE - SURBITON (2),2026-03-08,18:08:00,,
SURBITON - BASINGSTOKE (2),2026-03-08,20:36:00,,
BASINGSTOKE - SURBITON,2026-03-08,18:38:00,,
SURBITON - BASINGSTOKE,2026-03-08,20:59:00,,
BASINGSTOKE - SURBITON (2),2026-03-08,19:08:00,,
SURBITON - BASINGSTOKE (2),2026-03-08,21:36:00,,
BASINGSTOKE - SURBITON,2026-03-08,19:38:00,,
SURBITON - BASINGSTOKE,2026-03-08,21:59:00,,
BASINGSTOKE - SURBITON,2026-03-08,20:38:00,,
SURBITON - BASINGSTOKE,2026-03-08,22:59:00,,
BASINGSTOKE - SURBITON (2),2026-03-08,21:08:00,,
SURBITON - BASINGSTOKE (2),2026-03-08,23:36:00,,
BASINGSTOKE - SURBITON,2026-03-08,21:38:00,,
SURBITON - BASINGSTOKE,2026-03-08,23:59:00,,
SURBITON - BASINGSTOKE (3),2026-03-08,01:07:00,,
BASINGSTOKE - WOKING,2026-03-08,23:38:00,,
,2026-03-08,18:30:00,,
,2026-03-08,23:41:00,,
,2026-03-08,07:25:00,,
SURBITON - SOUTHAMPTON CENTRAL,2026-03-08,01:59:00,,
WOKING - POOLE (4),2026-03-08,21:45:00,,
POOLE - WOKING,2026-03-08,19:46:00,,
WOKING - POOLE (5),2026-03-08,22:45:00,,
WOKING - EXETER ST DAVIDS,2026-03-08,08:54:00,,
SALISBURY - WOKING,2026-03-08,07:32:00,,
SALISBURY - WOKING (2),2026-03-08,08:21:00,,
WOKING - EXETER ST DAVIDS (2),2026-03-08,09:54:00,,
YEOVIL JUNCTION - WOKING,2026-03-08,09:16:00,,
WOKING - EXETER ST DAVIDS,2026-03-08,10:54:00,,
YEOVIL JUNCTION - WOKING,2026-03-08,10:16:00,,
WOKING - EXETER ST DAVIDS (2),2026-03-08,11:54:00,,
EXETER ST DAVIDS - WOKING,2026-03-08,11:16:00,,
WOKING - EXETER ST DAVIDS,2026-03-08,12:54:00,,
EXETER ST DAVIDS - WOKING (2),2026-03-08,12:16:00,,
WOKING - EXETER ST DAVIDS (2),2026-03-08,13:53:00,,
EXETER ST DAVIDS - WOKING,2026-03-08,13:16:00,,
WOKING - EXETER ST DAVIDS,2026-03-08,14:54:00,,
EXETER ST DAVIDS - WOKING (2),2026-03-08,14:16:00,,
WOKING - EXETER ST DAVIDS (2),2026-03-08,15:54:00,,
EXETER ST DAVIDS - WOKING,2026-03-08,15:16:00,,
WOKING - EXETER ST DAVIDS,2026-03-08,16:54:00,,
EXETER ST DAVIDS - WOKING (2),2026-03-08,16:16:00,,
WOKING - EXETER ST DAVIDS (2),2026-03-08,17:54:00,,
WOKING - SALISBURY,2026-03-08,18:21:00,,
EXETER ST DAVIDS - WOKING,2026-03-08,17:16:00,,
WOKING - EXETER ST DAVIDS,2026-03-08,18:54:00,,
YEOVIL PEN MILL - BASINGSTOKE,2026-03-08,17:39:00,,
WOKING - SALISBURY,2026-03-08,19:21:00,,
EXETER ST DAVIDS - WOKING (2),2026-03-08,18:16:00,,
WOKING - EXETER ST DAVIDS (3),2026-03-08,19:54:00,,
GILLINGHAM (DORSET) - BASINGSTOKE,2026-03-08,18:39:00,,
WOKING - SALISBURY,2026-03-08,20:21:00,,
EXETER ST DAVIDS - WOKING,2026-03-08,19:16:00,,
