route_variant,seq,from_station,to_station,distance_miles,run_min,wait_min
PORTSMOUTH HARBOUR - WOKING,1,PORTSMOUTH HARBOUR,PORTSMOUTH & SOUTHSEA,,3,0
PORTSMOUTH HARBOUR - WOKING,2,PORTSMOUTH & SOUTHSEA,FRATTON PORTSMOUTH,,3,2
PORTSMOUTH HARBOUR - WOKING,3,FRATTON PORTSMOUTH,HILSEA PORTSMOUTH,,4,1
PORTSMOUTH HARBOUR - WOKING,4,HILSEA PORTSMOUTH,COSHAM,,5,0
PORTSMOUTH HARBOUR - WOKING,5,COSHAM,PORTCHESTER,,5,0
PORTSMOUTH HARBOUR - WOKING,6,PORTCHESTER,FAREHAM,,5,0
PORTSMOUTH HARBOUR - WOKING,7,FAREHAM,BOTLEY,,7,1
PORTSMOUTH HARBOUR - WOKING,8,BOTLEY,HEDGE END,,4,0
PORTSMOUTH HARBOUR - WOKING,9,HEDGE END,EASTLEIGH,,6,1
PORTSMOUTH HARBOUR - WOKING,10,EASTLEIGH,SHAWFORD,,6,7
PORTSMOUTH HARBOUR - WOKING,11,SHAWFORD,WINCHESTER,,5,0
PORTSMOUTH HARBOUR - WOKING,12,WINCHESTER,MICHELDEVER,,9,1
PORTSMOUTH HARBOUR - WOKING,13,MICHELDEVER,BASINGSTOKE,,10,0
PORTSMOUTH HARBOUR - WOKING,14,BASINGSTOKE,FARNBOROUGH (MAIN),,13,2
PORTSMOUTH HARBOUR - WOKING,15,FARNBOROUGH (MAIN),WOKING,,10,1
POOLE - WOKING,1,POOLE,PARKSTONE,,4,0
POOLE - WOKING,2,PARKSTONE,BRANKSOME,,3,0
POOLE - WOKING,3,BRANKSOME,BOURNEMOUTH,,5,0
POOLE - WOKING,4,BOURNEMOUTH,POKESDOWN,,4,4
POOLE - WOKING,5,POKESDOWN,CHRISTCHURCH,,3,0
POOLE - WOKING,6,CHRISTCHURCH,HINTON ADMIRAL,,5,1
POOLE - WOKING,7,HINTON ADMIRAL,NEW MILTON,,4,0
POOLE - WOKING,8,NEW MILTON,SWAY,,5,0
POOLE - WOKING,9,SWAY,BROCKENHURST,,4,0
POOLE - WOKING,10,BROCKENHURST,ASHURST NEW FOREST,,10,1
POOLE - WOKING,11,ASHURST NEW FOREST,TOTTON,,4,0
POOLE - WOKING,12,TOTTON,SOUTHAMPTON CENTRAL,,6,1
POOLE - WOKING,13,SOUTHAMPTON CENTRAL,SOUTHAMPTON AIRPORT (PARKWAY),,7,2
POOLE - WOKING,14,SOUTHAMPTON AIRPORT (PARKWAY),WINCHESTER,,8,1
POOLE - WOKING,15,WINCHESTER,BASINGSTOKE,,18,1
POOLE - WOKING,16,BASINGSTOKE,FLEET,,11,1
POOLE - WOKING,17,FLEET,FARNBOROUGH (MAIN),,5,0
POOLE - WOKING,18,FARNBOROUGH (MAIN),WOKING,,9,1
WOKING - BASINGSTOKE,1,WOKING,BROOKWOOD,,5,0
WOKING - BASINGSTOKE,2,BROOKWOOD,FARNBOROUGH (MAIN),,7,0
WOKING - BASINGSTOKE,3,FARNBOROUGH (MAIN),FLEET,,5,1
WOKING - BASINGSTOKE,4,FLEET,WINCHFIELD,,5,0
