route_variant,date,departure_time,train_class,number_of_coaches
PORTSMOUTH HARBOUR - WOKING,2026-03-08,17:54:00,,
PORTSMOUTH HARBOUR - WOKING,2026-03-08,15:54:00,,
PORTSMOUTH HARBOUR - WOKING,2026-03-08,16:54:00,,
PORTSMOUTH HARBOUR - WOKING,2026-03-08,18:54:00,,
PORTSMOUTH HARBOUR - WOKING,2026-03-08,19:54:00,,
POOLE - WOKING,2026-03-08,09:13:00,,
WOKING - BASINGSTOKE,2026-03-08,08:04:00,,
BASINGSTOKE - SURBITON,2026-03-08,07:32:00,,
SURBITON - BASINGSTOKE,2026-03-08,10:04:00,,
BASINGSTOKE - SURBITON,2026-03-08,08:32:00,,
SURBITON - BASINGSTOKE,2026-03-08,11:04:00,,
BASINGSTOKE - SURBITON,2026-03-08,09:32:00,,
SURBITON - BASINGSTOKE,2026-03-08,12:04:00,,
BASINGSTOKE - SURBITON,2026-03-08,10:32:00,,
SURBITON - BASINGSTOKE,2026-03-08,13:04:00,,
BASINGSTOKE - SURBITON,2026-03-08,11:32:00,,
SURBITON - BASINGSTOKE,2026-03-08,14:04:00,,
BASINGSTOKE - SURBITON,2026-03-08,12:32:00,,
SURBITON - BASINGSTOKE,2026-03-08,15:04:00,,
BASINGSTOKE - SURBITON,2026-03-08,13:32:00,,
SURBITON - BASINGSTOKE,2026-03-08,16:04:00,,
BASINGSTOKE - SURBITON (2),2026-03-08,14:02:00,,
SURBITON - BASINGSTOKE (2),2026-03-08,16:42:00,,
BASINGSTOKE - SURBITON,2026-03-08,14:32:00,,
SURBITON - BASINGSTOKE,2026-03-08,17:04:00,,
BASINGSTOKE - SURBITON (2),2026-03-08,15:02:00,,
SURBITON - BASINGSTOKE (2),2026-03-08,17:42:00,,
BASINGSTOKE - SURBITON,2026-03-08,15:32:00,,
SURBITON - BASINGSTOKE,2026-03-08,18:04:00,,
BASINGSTOKE - SURBITON (2),2026-03-08,16:02:00,,
SURBITON - BASINGSTOKE (2),2026-03-08,18:42:00,,
BASINGSTOKE - SURBITON,2026-03-08,16:32:00,,
SURBITON - BASINGSTOKE,2026-03-08,19:04:00,,
BASINGSTOKE - SURBITON (2),2026-03-08,17:02:00,,
SURBITON - BASINGSTOKE (2),2026-03-08,19:42:00,,
BASINGSTOKE - SURBITON,2026-03-08,17:32:00,,
SURBITON - BASINGSTOKE,2026-03-08,20:04:00,,
BASINGSTOKE - SURBITON (2),2026-03-08,18:02:00,,
SURBITON - BASINGSTOKE (2),2026-03-08,20:42:00,,
BASINGSTOKE - SURBITON,2026-03-08,18:32:00,,
SURBITON - BASINGSTOKE,2026-03-08,21:04:00,,
BASINGSTOKE - SURBITON (2),2026-03-08,19:02:00,,
SURBITON - BASINGSTOKE (2),2026-03-08,21:42:00,,
BASINGSTOKE - SURBITON,2026-03-08,19:32:00,,
SURBITON - BASINGSTOKE,2026-03-08,22:04:00,,
BASINGSTOKE - SURBITON,2026-03-08,20:32:00,,
SURBITON - BASINGSTOKE,2026-03-08,23:04:00,,
BASINGSTOKE - SURBITON (2),2026-03-08,21:02:00,,
SURBITON - BASINGSTOKE (2),2026-03-08,23:42:00,,
BASINGSTOKE - SURBITON,2026-03-08,21:32:00,,
SURBITON - BASINGSTOKE,2026-03-08,00:04:00,,
SURBITON - BASINGSTOKE (3),2026-03-08,01:12:00,,
BASINGSTOKE - WOKING,2026-03-08,23:32:00,,
,2026-03-08,23:46:00,,
SURBITON - SOUTHAMPTON CENTRAL,2026-03-08,02:05:00,,
WOKING - SALISBURY,2026-03-08,00:24:00,,
PORTSMOUTH HARBOUR - WOKING,2026-03-08,20:54:00,,
PORTSMOUTH HARBOUR - WOKING,2026-03-08,21:54:00,,
PORTSMOUTH HARBOUR - WOKING,2026-03-08,22:54:00,,
SURBITON - BASINGSTOKE,2026-03-08,09:04:00,,
BASINGSTOKE - SURBITON (2),2026-03-08,20:02:00,,
SURBITON - BASINGSTOKE (2),2026-03-08,22:42:00,,
BASINGSTOKE - SURBITON (2),2026-03-08,22:02:00,,
BASINGSTOKE - SURBITON,2026-03-08,22:32:00,,
WOKING - PORTSMOUTH HARBOUR,2026-03-09,10:50:00,,
PORTSMOUTH HARBOUR - WOKING (2),2026-03-09,09:27:00,,
WOKING - PORTSMOUTH HARBOUR,2026-03-09,11:50:00,,
PORTSMOUTH HARBOUR - WOKING (3),2026-03-09,10:24:00,,
WOKING - PORTSMOUTH HARBOUR,2026-03-09,12:50:00,,
PORTSMOUTH HARBOUR - WOKING (3),2026-03-09,11:23:00,,
WOKING - PORTSMOUTH HARBOUR,2026-03-09,13:50:00,,
WOKING - PORTSMOUTH HARBOUR,2026-03-09,16:50:00,,
WOKING - PORTSMOUTH HARBOUR (2),2026-03-09,17:50:00,,
WOKING - PORTSMOUTH HARBOUR (2),2026-03-09,19:49:00,,
WOKING - PORTSMOUTH HARBOUR (2),2026-03-09,21:50:00,,
WOKING - PORTSMOUTH HARBOUR (2),2026-03-09,22:51:00,,
SOUTHAMPTON CENTRAL - WOKING,2026-03-09,05:51:00,,
SURBITON - SOUTHAMPTON CENTRAL (2),2026-03-09,17:10:00,,
WOKING - SOUTHAMPTON CENTRAL,2026-03-09,18:04:00,,
BASINGSTOKE - SURBITON,2026-03-09,05:10:00,,
SURBITON - BASINGSTOKE (3),2026-03-09,20:08:00,,
BASINGSTOKE - SURBITON,2026-03-09,06:06:00,,
