route_variant,date,departure_time,train_class,number_of_coaches
GUILDFORD - ASCOT,2026-03-08,07:51:00,,
GUILDFORD - ASCOT,2026-03-08,08:51:00,,
GUILDFORD - ASCOT,2026-03-08,09:51:00,,
GUILDFORD - ASCOT,2026-03-08,10:51:00,,
GUILDFORD - ASCOT,2026-03-08,11:51:00,,
GUILDFORD - ASCOT,2026-03-08,12:51:00,,
GUILDFORD - ASCOT,2026-03-08,13:51:00,,
GUILDFORD - ASCOT,2026-03-08,14:51:00,,
GUILDFORD - ASCOT,2026-03-08,15:51:00,,
GUILDFORD - ASCOT,2026-03-08,16:51:00,,
GUILDFORD - ASCOT,2026-03-08,17:51:00,,
GUILDFORD - ASCOT,2026-03-08,18:51:00,,
GUILDFORD - ASCOT,2026-03-08,19:51:00,,
GUILDFORD - ASCOT,2026-03-08,20:51:00,,
GUILDFORD - ASCOT,2026-03-08,21:51:00,,
ASCOT - FARNHAM,2026-03-08,23:29:00,,
GUILDFORD - ASCOT,2026-03-08,22:51:00,,
ASCOT - FARNHAM,2026-03-08,01:02:00,,
ASCOT - GUILDFORD,2026-03-08,08:29:00,,
ASCOT - GUILDFORD,2026-03-08,09:29:00,,
ASCOT - GUILDFORD,2026-03-08,10:29:00,,
ASCOT - GUILDFORD,2026-03-08,11:29:00,,
ASCOT - GUILDFORD,2026-03-08,12:29:00,,
ASCOT - GUILDFORD,2026-03-08,13:29:00,,
ASCOT - GUILDFORD,2026-03-08,14:29:00,,
ASCOT - GUILDFORD,2026-03-08,15:29:00,,
ASCOT - GUILDFORD,2026-03-08,16:29:00,,
ASCOT - GUILDFORD,2026-03-08,17:29:00,,
ASCOT - GUILDFORD,2026-03-08,18:29:00,,
ASCOT - GUILDFORD,2026-03-08,19:29:00,,
ASCOT - GUILDFORD,2026-03-08,20:29:00,,
ASCOT - GUILDFORD,2026-03-08,21:29:00,,
ASCOT - GUILDFORD,2026-03-08,22:29:00,,
FARNHAM - RICHMOND,2026-03-09,06:40:00,,
FARNHAM - RICHMOND,2026-03-09,07:10:00,,
PUTNEY - ALDERSHOT,2026-03-09,19:26:00,,
ASCOT - ALDERSHOT,2026-03-09,06:35:00,,
ASCOT - ALDERSHOT,2026-03-09,07:07:00,,
ASCOT - ALDERSHOT,2026-03-09,07:43:00,,
ALDERSHOT - ASCOT,2026-03-09,06:11:00,,
ASCOT - ALDERSHOT,2026-03-09,08:13:00,,
ALDERSHOT - ASCOT,2026-03-09,06:57:00,,
ASCOT - ALDERSHOT,2026-03-09,08:43:00,,
ALDERSHOT - ASCOT,2026-03-09,07:22:00,,
ASCOT - ALDERSHOT,2026-03-09,09:13:00,,
ALDERSHOT - ASCOT,2026-03-09,07:40:00,,
ASCOT - ALDERSHOT,2026-03-09,09:43:00,,
ALDERSHOT - ASCOT,2026-03-09,08:10:00,,
ASCOT - ALDERSHOT,2026-03-09,10:13:00,,
ALDERSHOT - ASCOT,2026-03-09,08:40:00,,
ASCOT - ALDERSHOT,2026-03-09,10:43:00,,
ALDERSHOT - ASCOT,2026-03-09,09:10:00,,
ASCOT - ALDERSHOT,2026-03-09,11:13:00,,
ALDERSHOT - ASCOT,2026-03-09,09:40:00,,
ASCOT - ALDERSHOT,2026-03-09,11:43:00,,
ALDERSHOT - ASCOT,2026-03-09,10:10:00,,
ASCOT - ALDERSHOT,2026-03-09,12:13:00,,
ALDERSHOT - ASCOT,2026-03-09,10:40:00,,
ASCOT - ALDERSHOT,2026-03-09,12:43:00,,
ALDERSHOT - ASCOT,2026-03-09,11:10:00,,
ASCOT - ALDERSHOT,2026-03-09,13:13:00,,
ALDERSHOT - ASCOT,2026-03-09,11:40:00,,
ASCOT - ALDERSHOT,2026-03-09,13:43:00,,
ALDERSHOT - ASCOT,2026-03-09,12:10:00,,
ASCOT - ALDERSHOT,2026-03-09,14:13:00,,
ALDERSHOT - ASCOT,2026-03-09,12:40:00,,
ASCOT - ALDERSHOT,2026-03-09,14:43:00,,
ALDERSHOT - ASCOT,2026-03-09,13:10:00,,
ASCOT - ALDERSHOT,2026-03-09,15:13:00,,
ALDERSHOT - ASCOT,2026-03-09,13:40:00,,
ASCOT - ALDERSHOT,2026-03-09,15:43:00,,
ALDERSHOT - ASCOT,2026-03-09,14:10:00,,
ASCOT - ALDERSHOT,2026-03-09,16:13:00,,
ALDERSHOT - ASCOT,2026-03-09,14:40:00,,
ASCOT - ALDERSHOT,2026-03-09,16:43:00,,
ALDERSHOT - ASCOT,2026-03-09,15:10:00,,
ASCOT - ALDERSHOT,2026-03-09,17:13:00,,
ALDERSHOT - ASCOT,2026-03-09,15:40:00,,
ASCOT - ALDERSHOT,2026-03-09,17:43:00,,
ALDERSHOT - ASCOT,2026-03-09,16:10:00,,
ASCOT - ALDERSHOT,2026-03-09,18:07:00,,
ALDERSHOT - ASCOT,2026-03-09,16:40:00,,
ASCOT - ALDERSHOT,2026-03-09,18:48:00,,
ALDERSHOT - ASCOT,2026-03-09,17:10:00,,
ASCOT - ALDERSHOT,2026-03-09,19:07:00,,
ALDERSHOT - ASCOT,2026-03-09,17:40:00,,
ASCOT - ALDERSHOT,2026-03-09,19:37:00,,
ALDERSHOT - ASCOT,2026-03-09,18:20:00,,
ASCOT - ALDERSHOT,2026-03-09,20:13:00,,
ALDERSHOT - ASCOT,2026-03-09,18:51:00,,
ASCOT - ALDERSHOT,2026-03-09,20:43:00,,
ALDERSHOT - ASCOT,2026-03-09,19:20:00,,
ASCOT - ALDERSHOT,2026-03-09,21:13:00,,
ALDERSHOT - ASCOT,2026-03-09,19:51:00,,
ASCOT - ALDERSHOT,2026-03-09,21:43:00,,
ALDERSHOT - ASCOT,2026-03-09,20:10:00,,
ASCOT - ALDERSHOT,2026-03-09,22:13:00,,
ALDERSHOT - ASCOT,2026-03-09,20:40:00,,
ASCOT - ALDERSHOT,2026-03-09,22:43:00,,
ALDERSHOT - ASCOT,2026-03-09,21:10:00,,
ASCOT - ALDERSHOT,2026-03-09,23:13:00,,
ALDERSHOT - ASCOT,2026-03-09,21:40:00,,
ASCOT - FARNHAM,2026-03-09,23:43:00,,
ALDERSHOT - ASCOT,2026-03-09,22:10:00,,
ASCOT - FARNHAM,2026-03-09,00:13:00,,
ALDERSHOT - ASCOT,2026-03-09,22:40:00,,
ALDERSHOT - ASCOT,2026-03-09,23:10:00,,
FARNHAM E M U T DPT - ASCOT,2026-03-09,05:22:00,,
FARNHAM E M U T DPT - ASCOT,2026-03-09,05:49:00,,
PUTNEY - ALDERSHOT,2026-03-09,18:37:00,,
FARNHAM - RICHMOND,2026-03-10,06:40:00,,
FARNHAM - RICHMOND,2026-03-10,07:10:00,,
PUTNEY - ALDERSHOT,2026-03-10,19:26:00,,
ASCOT - ALDERSHOT,2026-03-10,06:35:00,,
ASCOT - ALDERSHOT,2026-03-10,07:07:00,,
ASCOT - ALDERSHOT,2026-03-10,07:43:00,,
ALDERSHOT - ASCOT,2026-03-10,06:11:00,,
ASCOT - ALDERSHOT,2026-03-10,08:13:00,,
ALDERSHOT - ASCOT,2026-03-10,06:57:00,,
ASCOT - ALDERSHOT,2026-03-10,08:43:00,,
ALDERSHOT - ASCOT,2026-03-10,07:22:00,,
ASCOT - ALDERSHOT,2026-03-10,09:13:00,,
ALDERSHOT - ASCOT,2026-03-10,07:40:00,,
ASCOT - ALDERSHOT,2026-03-10,09:43:00,,
ALDERSHOT - ASCOT,2026-03-10,08:10:00,,
ASCOT - ALDERSHOT,2026-03-10,10:13:00,,
ALDERSHOT - ASCOT,2026-03-10,08:40:00,,
ASCOT - ALDERSHOT,2026-03-10,10:43:00,,
ALDERSHOT - ASCOT,2026-03-10,09:10:00,,
ASCOT - ALDERSHOT,2026-03-10,11:13:00,,
ALDERSHOT - ASCOT,2026-03-10,09:40:00,,
ASCOT - ALDERSHOT,2026-03-10,11:43:00,,
ALDERSHOT - ASCOT,2026-03-10,10:10:00,,
ASCOT - ALDERSHOT,2026-03-10,12:13:00,,
ALDERSHOT - ASCOT,2026-03-10,10:40:00,,
ASCOT - ALDERSHOT,2026-03-10,12:43:00,,
ALDERSHOT - ASCOT,2026-03-10,11:10:00,,
ASCOT - ALDERSHOT,2026-03-10,13:13:00,,
ALDERSHOT - ASCOT,2026-03-10,11:40:00,,
ASCOT - ALDERSHOT,2026-03-10,13:43:00,,
ALDERSHOT - ASCOT,2026-03-10,12:10:00,,
ASCOT - ALDERSHOT,2026-03-10,14:13:00,,
ALDERSHOT - ASCOT,2026-03-10,12:40:00,,
ASCOT - ALDERSHOT,2026-03-10,14:43:00,,
ALDERSHOT - ASCOT,2026-03-10,13:10:00,,
ASCOT - ALDERSHOT,2026-03-10,15:13:00,,
ALDERSHOT - ASCOT,2026-03-10,13:40:00,,
ASCOT - ALDERSHOT,2026-03-10,15:43:00,,
ALDERSHOT - ASCOT,2026-03-10,14:10:00,,
ASCOT - ALDERSHOT,2026-03-10,16:13:00,,
ALDERSHOT - ASCOT,2026-03-10,14:40:00,,
ASCOT - ALDERSHOT,2026-03-10,16:43:00,,
ALDERSHOT - ASCOT,2026-03-10,15:10:00,,
ASCOT - ALDERSHOT,2026-03-10,17:13:00,,
ALDERSHOT - ASCOT,2026-03-10,15:40:00,,
ASCOT - ALDERSHOT,2026-03-10,17:43:00,,
ALDERSHOT - ASCOT,2026-03-10,16:10:00,,
ASCOT - ALDERSHOT,2026-03-10,18:07:00,,
ALDERSHOT - ASCOT,2026-03-10,16:40:00,,
ASCOT - ALDERSHOT,2026-03-10,18:48:00,,
ALDERSHOT - ASCOT,2026-03-10,17:10:00,,
ASCOT - ALDERSHOT,2026-03-10,19:07:00,,
ALDERSHOT - ASCOT,2026-03-10,17:40:00,,
ASCOT - ALDERSHOT,2026-03-10,19:37:00,,
ALDERSHOT - ASCOT,2026-03-10,18:20:00,,
ASCOT - ALDERSHOT,2026-03-10,20:13:00,,
ALDERSHOT - ASCOT,2026-03-10,18:51:00,,
ASCOT - ALDERSHOT,2026-03-10,20:43:00,,
ALDERSHOT - ASCOT,2026-03-10,19:20:00,,
ASCOT - ALDERSHOT,2026-03-10,21:13:00,,
ALDERSHOT - ASCOT,2026-03-10,19:51:00,,
ASCOT - ALDERSHOT,2026-03-10,21:43:00,,
ALDERSHOT - ASCOT,2026-03-10,20:10:00,,
ASCOT - ALDERSHOT,2026-03-10,22:13:00,,
ALDERSHOT - ASCOT,2026-03-10,20:40:00,,
ASCOT - ALDERSHOT,2026-03-10,22:43:00,,
ALDERSHOT - ASCOT,2026-03-10,21:10:00,,
ASCOT - ALDERSHOT,2026-03-10,23:13:00,,
ALDERSHOT - ASCOT,2026-03-10,21:40:00,,
ASCOT - FARNHAM,2026-03-10,23:43:00,,
ALDERSHOT - ASCOT,2026-03-10,22:10:00,,
ASCOT - FARNHAM,2026-03-10,00:13:00,,
ALDERSHOT - ASCOT,2026-03-10,22:40:00,,
ALDERSHOT - ASCOT,2026-03-10,23:10:00,,
FARNHAM E M U T DPT - ASCOT,2026-03-10,05:22:00,,
FARNHAM E M U T DPT - ASCOT,2026-03-10,05:49:00,,
PUTNEY - ALDERSHOT,2026-03-10,18:37:00,,
ASCOT - FARNHAM,2026-03-10,00:41:00,,
FARNHAM - RICHMOND,2026-03-11,06:40:00,,
FARNHAM - RICHMOND,2026-03-11,07:10:00,,
PUTNEY - ALDERSHOT,2026-03-11,19:26:00,,
ASCOT - ALDERSHOT,2026-03-11,06:35:00,,
ASCOT - ALDERSHOT,2026-03-11,07:07:00,,
ASCOT - ALDERSHOT,2026-03-11,07:43:00,,
ALDERSHOT - ASCOT,2026-03-11,06:11:00,,
ASCOT - ALDERSHOT,2026-03-11,08:13:00,,
ALDERSHOT - ASCOT,2026-03-11,06:57:00,,
ASCOT - ALDERSHOT,2026-03-11,08:43:00,,
ALDERSHOT - ASCOT,2026-03-11,07:22:00,,
ASCOT - ALDERSHOT,2026-03-11,09:13:00,,
ALDERSHOT - ASCOT,2026-03-11,07:40:00,,
ASCOT - ALDERSHOT,2026-03-11,09:43:00,,
ALDERSHOT - ASCOT,2026-03-11,08:10:00,,
ASCOT - ALDERSHOT,2026-03-11,10:13:00,,
ALDERSHOT - ASCOT,2026-03-11,08:40:00,,
ASCOT - ALDERSHOT,2026-03-11,10:43:00,,
ALDERSHOT - ASCOT,2026-03-11,09:10:00,,
ASCOT - ALDERSHOT,2026-03-11,11:13:00,,
ALDERSHOT - ASCOT,2026-03-11,09:40:00,,
ASCOT - ALDERSHOT,2026-03-11,11:43:00,,
ALDERSHOT - ASCOT,2026-03-11,10:10:00,,
ASCOT - ALDERSHOT,2026-03-11,12:13:00,,
ALDERSHOT - ASCOT,2026-03-11,10:40:00,,
ASCOT - ALDERSHOT,2026-03-11,12:43:00,,
ALDERSHOT - ASCOT,2026-03-11,11:10:00,,
ASCOT - ALDERSHOT,2026-03-11,13:13:00,,
ALDERSHOT - ASCOT,2026-03-11,11:40:00,,
ASCOT - ALDERSHOT,2026-03-11,13:43:00,,
ALDERSHOT - ASCOT,2026-03-11,12:10:00,,
ASCOT - ALDERSHOT,2026-03-11,14:13:00,,
ALDERSHOT - ASCOT,2026-03-11,12:40:00,,
ASCOT - ALDERSHOT,2026-03-11,14:43:00,,
ALDERSHOT - ASCOT,2026-03-11,13:10:00,,
ASCOT - ALDERSHOT,2026-03-11,15:13:00,,
ALDERSHOT - ASCOT,2026-03-11,13:40:00,,
ASCOT - ALDERSHOT,2026-03-11,15:43:00,,
ALDERSHOT - ASCOT,2026-03-11,14:10:00,,
ASCOT - ALDERSHOT,2026-03-11,16:13:00,,
ALDERSHOT - ASCOT,2026-03-11,14:40:00,,
ASCOT - ALDERSHOT,2026-03-11,16:43:00,,
ALDERSHOT - ASCOT,2026-03-11,15:10:00,,
ASCOT - ALDERSHOT,2026-03-11,17:13:00,,
ALDERSHOT - ASCOT,2026-03-11,15:40:00,,
ASCOT - ALDERSHOT,2026-03-11,17:43:00,,
ALDERSHOT - ASCOT,2026-03-11,16:10:00,,
ASCOT - ALDERSHOT,2026-03-11,18:07:00,,
ALDERSHOT - ASCOT,2026-03-11,16:40:00,,
ASCOT - ALDERSHOT,2026-03-11,18:48:00,,
ALDERSHOT - ASCOT,2026-03-11,17:10:00,,
ASCOT - ALDERSHOT,2026-03-11,19:07:00,,
ALDERSHOT - ASCOT,2026-03-11,17:40:00,,
ASCOT - ALDERSHOT,2026-03-11,19:37:00,,
ALDERSHOT - ASCOT,2026-03-11,18:20:00,,
ASCOT - ALDERSHOT,2026-03-11,20:13:00,,
ALDERSHOT - ASCOT,2026-03-11,18:51:00,,
ASCOT - ALDERSHOT,2026-03-11,20:43:00,,
ALDERSHOT - ASCOT,2026-03-11,19:20:00,,
ASCOT - ALDERSHOT,2026-03-11,21:13:00,,
ALDERSHOT - ASCOT,2026-03-11,19:51:00,,
ASCOT - ALDERSHOT,2026-03-11,21:43:00,,
ALDERSHOT - ASCOT,2026-03-11,20:10:00,,
ASCOT - ALDERSHOT,2026-03-11,22:13:00,,
ALDERSHOT - ASCOT,2026-03-11,20:40:00,,
ASCOT - ALDERSHOT,2026-03-11,22:43:00,,
ALDERSHOT - ASCOT,2026-03-11,21:10:00,,
ASCOT - ALDERSHOT,2026-03-11,23:13:00,,
ALDERSHOT - ASCOT,2026-03-11,21:40:00,,
ASCOT - FARNHAM,2026-03-11,23:43:00,,
ALDERSHOT - ASCOT,2026-03-11,22:10:00,,
ASCOT - FARNHAM,2026-03-11,00:13:00,,
ALDERSHOT - ASCOT,2026-03-11,22:40:00,,
ALDERSHOT - ASCOT,2026-03-11,23:10:00,,
FARNHAM E M U T DPT - ASCOT,2026-03-11,05:22:00,,
FARNHAM E M U T DPT - ASCOT,2026-03-11,05:49:00,,
PUTNEY - ALDERSHOT,2026-03-11,18:37:00,,
ASCOT - FARNHAM,2026-03-11,00:41:00,,
FARNHAM - RICHMOND,2026-03-12,06:40:00,,
FARNHAM - RICHMOND,2026-03-12,07:10:00,,
PUTNEY - ALDERSHOT,2026-03-12,19:26:00,,
ASCOT - ALDERSHOT,2026-03-12,06:35:00,,
ASCOT - ALDERSHOT,2026-03-12,07:07:00,,
ASCOT - ALDERSHOT,2026-03-12,07:43:00,,
ALDERSHOT - ASCOT,2026-03-12,06:11:00,,
ASCOT - ALDERSHOT,2026-03-12,08:13:00,,
ALDERSHOT - ASCOT,2026-03-12,06:57:00,,
ASCOT - ALDERSHOT,2026-03-12,08:43:00,,
ALDERSHOT - ASCOT,2026-03-12,07:22:00,,
ASCOT - ALDERSHOT,2026-03-12,09:13:00,,
ALDERSHOT - ASCOT,2026-03-12,07:40:00,,
ASCOT - ALDERSHOT,2026-03-12,09:43:00,,
ALDERSHOT - ASCOT,2026-03-12,08:10:00,,
ASCOT - ALDERSHOT,2026-03-12,10:13:00,,
ALDERSHOT - ASCOT,2026-03-12,08:40:00,,
ASCOT - ALDERSHOT,2026-03-12,10:43:00,,
ALDERSHOT - ASCOT,2026-03-12,09:10:00,,
ASCOT - ALDERSHOT,2026-03-12,11:13:00,,
ALDERSHOT - ASCOT,2026-03-12,09:40:00,,
ASCOT - ALDERSHOT,2026-03-12,11:43:00,,
ALDERSHOT - ASCOT,2026-03-12,10:10:00,,
ASCOT - ALDERSHOT,2026-03-12,12:13:00,,
ALDERSHOT - ASCOT,2026-03-12,10:40:00,,
ASCOT - ALDERSHOT,2026-03-12,12:43:00,,
ALDERSHOT - ASCOT,2026-03-12,11:10:00,,
ASCOT - ALDERSHOT,2026-03-12,13:13:00,,
ALDERSHOT - ASCOT,2026-03-12,11:40:00,,
ASCOT - ALDERSHOT,2026-03-12,13:43:00,,
ALDERSHOT - ASCOT,2026-03-12,12:10:00,,
ASCOT - ALDERSHOT,2026-03-12,14:13:00,,
ALDERSHOT - ASCOT,2026-03-12,12:40:00,,
ASCOT - ALDERSHOT,2026-03-12,14:43:00,,
ALDERSHOT - ASCOT,2026-03-12,13:10:00,,
ASCOT - ALDERSHOT,2026-03-12,15:13:00,,
ALDERSHOT - ASCOT,2026-03-12,13:40:00,,
ASCOT - ALDERSHOT,2026-03-12,15:43:00,,
ALDERSHOT - ASCOT,2026-03-12,14:10:00,,
ASCOT - ALDERSHOT,2026-03-12,16:13:00,,
ALDERSHOT - ASCOT,2026-03-12,14:40:00,,
ASCOT - ALDERSHOT,2026-03-12,16:43:00,,
ALDERSHOT - ASCOT,2026-03-12,15:10:00,,
ASCOT - ALDERSHOT,2026-03-12,17:13:00,,
ALDERSHOT - ASCOT,2026-03-12,15:40:00,,
ASCOT - ALDERSHOT,2026-03-12,17:43:00,,
ALDERSHOT - ASCOT,2026-03-12,16:10:00,,
ASCOT - ALDERSHOT,2026-03-12,18:07:00,,
ALDERSHOT - ASCOT,2026-03-12,16:40:00,,
ASCOT - ALDERSHOT,2026-03-12,18:48:00,,
ALDERSHOT - ASCOT,2026-03-12,17:10:00,,
ASCOT - ALDERSHOT,2026-03-12,19:07:00,,
ALDERSHOT - ASCOT,2026-03-12,17:40:00,,
ASCOT - ALDERSHOT,2026-03-12,19:37:00,,
ALDERSHOT - ASCOT,2026-03-12,18:20:00,,
ASCOT - ALDERSHOT,2026-03-12,20:13:00,,
ALDERSHOT - ASCOT,2026-03-12,18:51:00,,
ASCOT - ALDERSHOT,2026-03-12,20:43:00,,
ALDERSHOT - ASCOT,2026-03-12,19:20:00,,
ASCOT - ALDERSHOT,2026-03-12,21:13:00,,
ALDERSHOT - ASCOT,2026-03-12,19:51:00,,
ASCOT - ALDERSHOT,2026-03-12,21:43:00,,
ALDERSHOT - ASCOT,2026-03-12,20:10:00,,
ASCOT - ALDERSHOT,2026-03-12,22:13:00,,
ALDERSHOT - ASCOT,2026-03-12,20:40:00,,
ASCOT - ALDERSHOT,2026-03-12,22:43:00,,
ALDERSHOT - ASCOT,2026-03-12,21:10:00,,
ASCOT - ALDERSHOT,2026-03-12,23:13:00,,
ALDERSHOT - ASCOT,2026-03-12,21:40:00,,
ASCOT - FARNHAM,2026-03-12,23:43:00,,
ALDERSHOT - ASCOT,2026-03-12,22:10:00,,
ASCOT - FARNHAM,2026-03-12,00:13:00,,
ALDERSHOT - ASCOT,2026-03-12,22:40:00,,
