route_variant,seq,from_station,to_station,distance_miles,run_min,wait_min
GUILDFORD - ASCOT,1,GUILDFORD,WANBOROUGH,,6,0
GUILDFORD - ASCOT,2,WANBOROUGH,ASH,,4,0
GUILDFORD - ASCOT,3,ASH,ALDERSHOT,,7,0
GUILDFORD - ASCOT,4,ALDERSHOT,ASH VALE,,4,6
GUILDFORD - ASCOT,5,ASH VALE,FRIMLEY,,6,1
GUILDFORD - ASCOT,6,FRIMLEY,CAMBERLEY,,4,0
GUILDFORD - ASCOT,7,CAMBERLEY,BAGSHOT,,6,0
GUILDFORD - ASCOT,8,BAGSHOT,ASCOT,,6,0
ASCOT - FARNHAM,1,ASCOT,BAGSHOT,,6,0
ASCOT - FARNHAM,2,BAGSHOT,CAMBERLEY,,6,0
ASCOT - FARNHAM,3,CAMBERLEY,FRIMLEY,,4,0
ASCOT - FARNHAM,4,FRIMLEY,ASH VALE,,7,0
ASCOT - FARNHAM,5,ASH VALE,ALDERSHOT,,5,0
ASCOT - FARNHAM,6,ALDERSHOT,FARNHAM,,5,1
ASCOT - GUILDFORD,1,ASCOT,BAGSHOT,,6,0
ASCOT - GUILDFORD,2,BAGSHOT,CAMBERLEY,,6,0
ASCOT - GUILDFORD,3,CAMBERLEY,FRIMLEY,,4,0
ASCOT - GUILDFORD,4,FRIMLEY,ASH VALE,,7,0
ASCOT - GUILDFORD,5,ASH VALE,ALDERSHOT,,5,0
ASCOT - GUILDFORD,6,ALDERSHOT,ASH,,7,7
ASCOT - GUILDFORD,7,ASH,WANBOROUGH,,4,0
ASCOT - GUILDFORD,8,WANBOROUGH,GUILDFORD,,7,0
FARNHAM - RICHMOND,1,FARNHAM,ALDERSHOT,,6,0
FARNHAM - RICHMOND,2,ALDERSHOT,ASH VALE,,4,1
FARNHAM - RICHMOND,3,ASH VALE,FRIMLEY,,6,0
FARNHAM - RICHMOND,4,FRIMLEY,CAMBERLEY,,4,4
FARNHAM - RICHMOND,5,CAMBERLEY,BAGSHOT,,5,3
FARNHAM - RICHMOND,6,BAGSHOT,ASCOT,,6,0
FARNHAM - RICHMOND,7,ASCOT,SUNNINGDALE,,3,1
FARNHAM - RICHMOND,8,SUNNINGDALE,LONGCROSS,,3,0
FARNHAM - RICHMOND,9,LONGCROSS,VIRGINIA WATER,,4,0
FARNHAM - RICHMOND,10,VIRGINIA WATER,EGHAM,,3,0
FARNHAM - RICHMOND,11,EGHAM,STAINES,,5,0
FARNHAM - RICHMOND,12,STAINES,ASHFORD (MIDDLESEX),,3,1
FARNHAM - RICHMOND,13,ASHFORD (MIDDLESEX),FELTHAM,,4,0
FARNHAM - RICHMOND,14,FELTHAM,WHITTON,,4,1
FARNHAM - RICHMOND,15,WHITTON,TWICKENHAM,,3,0
FARNHAM - RICHMOND,16,TWICKENHAM,RICHMOND,,4,1
PUTNEY - ALDERSHOT,1,PUTNEY,RICHMOND,,5,1
PUTNEY - ALDERSHOT,2,RICHMOND,TWICKENHAM,,3,1
PUTNEY - ALDERSHOT,3,TWICKENHAM,FELTHAM,,5,1
PUTNEY - ALDERSHOT,4,FELTHAM,ASHFORD (MIDDLESEX),,4,1
PUTNEY - ALDERSHOT,5,ASHFORD (MIDDLESEX),STAINES,,3,0
PUTNEY - ALDERSHOT,6,STAINES,EGHAM,,4,1
PUTNEY - ALDERSHOT,7,EGHAM,VIRGINIA WATER,,4,0
PUTNEY - ALDERSHOT,8,VIRGINIA WATER,SUNNINGDALE,,6,0
PUTNEY - ALDERSHOT,9,SUNNINGDALE,ASCOT,,4,0
PUTNEY - ALDERSHOT,10,ASCOT,BAGSHOT,,6,0
PUTNEY - ALDERSHOT,11,BAGSHOT,CAMBERLEY,,6,0
PUTNEY - ALDERSHOT,12,CAMBERLEY,FRIMLEY,,4,1
PUTNEY - ALDERSHOT,13,FRIMLEY,ASH VALE,,6,0
PUTNEY - ALDERSHOT,14,ASH VALE,ALDERSHOT,,7,1
ASCOT - ALDERSHOT,1,ASCOT,BAGSHOT,,6,0
ASCOT - ALDERSHOT,2,BAGSHOT,CAMBERLEY,,6,0
ASCOT - ALDERSHOT,3,CAMBERLEY,FRIMLEY,,4,0
ASCOT - ALDERSHOT,4,FRIMLEY,ASH VALE,,6,0
ASCOT - ALDERSHOT,5,ASH VALE,ALDERSHOT,,6,0
ALDERSHOT - ASCOT,1,ALDERSHOT,ASH VALE,,4,0
ALDERSHOT - ASCOT,2,ASH VALE,FRIMLEY,,6,1
ALDERSHOT - ASCOT,3,FRIMLEY,CAMBERLEY,,4,2
ALDERSHOT - ASCOT,4,CAMBERLEY,BAGSHOT,,6,1
ALDERSHOT - ASCOT,5,BAGSHOT,ASCOT,,7,2
FARNHAM E M U T DPT - ASCOT,1,FARNHAM E M U T DPT,ASCOT,,37,0
